@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

0.0,0.0,?,0.0,?,very_low
0.08,0.08,0.1,0.24,0.9,High
0.06,0.06,0.05,0.25,0.33,Low
?,0.1,?,0.65,0.3,Middle
0.08,?,?,0.98,0.24,Low
?,?,?,0.1,0.66,?
?,0.1,?,0.29,0.56,Middle
0.15,?,0.34,?,0.01,?
0.2,?,0.35,0.72,0.25,Low
?,0.0,0.5,0.2,0.85,High
0.18,0.18,0.55,0.3,0.81,High
0.06,0.06,?,0.41,0.3,?
?,0.1,?,?,0.34,Middle
0.1,0.1,0.7,0.15,?,High
0.2,0.2,0.7,0.3,0.6,Middle
0.12,?,0.75,0.35,0.8,?
0.05,?,0.7,0.01,?,very_low
0.1,0.25,0.1,0.08,0.33,Low
0.15,?,0.05,0.27,0.29,Low
?,?,0.25,?,?,Middle
?,?,0.2,?,0.2,Low
?,0.3,0.37,?,0.66,Middle
0.1,0.27,0.31,0.29,0.65,?
0.18,0.31,0.32,0.42,0.28,Low
0.06,?,0.35,?,?,?
0.09,0.3,0.68,0.18,?,?
?,0.28,0.55,0.25,0.1,very_low
0.09,0.255,0.6,0.45,0.25,Low
0.08,0.325,?,?,0.56,High
0.15,0.275,?,0.21,0.81,?
?,?,0.75,0.31,0.59,Middle
0.15,0.295,0.75,?,0.24,Low
?,0.256,0.7,0.76,?,Low
0.18,?,0.04,0.19,0.82,?
0.2,?,?,0.31,0.78,?
?,?,0.12,?,0.29,?
0.1,0.42,0.22,0.72,0.26,Low
0.18,?,0.32,0.08,0.33,Low
0.09,?,0.31,0.26,0.0,very_low
0.19,0.38,0.38,?,0.45,Middle
?,0.33,0.36,?,0.1,Low
0.2,0.49,0.6,0.2,?,High
?,0.49,?,?,?,?
0.18,0.33,0.61,0.64,0.25,?
0.115,0.35,0.65,0.27,?,?
?,?,?,0.14,0.66,Middle
0.1,0.39,0.75,0.31,?,Middle
