@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

0.0,0.0,?,?,0.0,very_low
?,0.08,0.1,0.24,0.9,High
0.06,?,0.05,0.25,?,Low
0.1,?,?,0.65,0.3,?
?,0.08,0.08,0.98,0.24,Low
0.09,0.15,?,0.1,?,?
?,0.1,0.43,0.29,?,?
0.15,?,0.34,0.4,?,?
0.2,0.14,0.35,0.72,0.25,?
0.0,0.0,0.5,0.2,0.85,High
0.18,0.18,?,0.3,0.81,High
0.06,0.06,0.51,0.41,?,?
0.1,?,0.52,?,0.34,Middle
0.1,0.1,?,?,0.9,High
0.2,0.2,0.7,0.3,0.6,Middle
0.12,0.12,0.75,?,0.8,High
?,0.07,0.7,?,0.05,very_low
0.1,0.25,0.1,0.08,?,Low
?,?,0.05,?,0.29,Low
0.2,0.29,?,0.49,?,Middle
0.12,?,?,0.78,0.2,Low
0.18,0.3,0.37,0.12,?,Middle
0.1,0.27,0.31,0.29,0.65,Middle
?,?,0.32,0.42,0.28,?
?,?,0.35,?,0.25,Low
0.09,0.3,0.68,0.18,?,High
0.04,0.28,?,?,0.1,very_low
0.09,0.255,0.6,0.45,0.25,Low
0.08,?,0.62,0.94,0.56,?
0.15,?,?,0.21,0.81,?
0.12,?,0.75,0.31,0.59,Middle
?,0.295,0.75,?,0.24,Low
0.1,0.256,0.7,?,0.16,Low
?,?,0.04,0.19,0.82,High
0.2,0.45,0.28,0.31,?,?
?,?,?,?,0.29,?
0.1,0.42,?,?,?,Low
0.18,0.4,0.32,0.08,0.33,?
0.09,?,0.31,0.26,?,very_low
?,0.38,0.38,0.49,0.45,Middle
0.02,0.33,0.36,0.76,?,?
0.2,0.49,0.6,0.2,0.78,High
0.14,0.49,?,0.29,?,Middle
?,0.33,0.61,?,0.25,Middle
0.115,0.35,0.65,0.27,?,very_low
0.17,0.36,0.8,0.14,0.66,?
0.1,?,0.75,0.31,?,Middle
