@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

alfa-romero,gas,?,two,convertible,rwd,front,?,?,64.1,48.8,?,dohc,?,130.0,mpfi,?,2.68,9.0,111.0,5000.0,?,27.0,?,3
alfa-romero,?,std,?,?,rwd,front,88.6,168.8,?,48.8,2548.0,dohc,?,130.0,mpfi,?,?,9.0,111.0,5000.0,?,?,16500.0,3
alfa-romero,?,std,?,hatchback,?,front,94.5,?,65.5,?,2823.0,?,six,?,mpfi,2.68,3.47,?,?,?,19.0,26.0,16500.0,?
?,gas,std,four,?,fwd,?,?,176.6,66.2,?,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,?,?,?,?,13950.0,2
audi,gas,?,four,sedan,?,front,99.4,176.6,66.4,54.3,?,ohc,?,136.0,mpfi,3.19,3.4,8.0,?,5500.0,18.0,22.0,17450.0,?
?,?,std,?,sedan,fwd,front,99.8,177.3,66.3,?,?,?,five,136.0,?,3.19,?,8.5,?,5500.0,?,25.0,?,?
?,gas,std,four,?,fwd,?,?,192.7,71.4,55.7,2844.0,?,five,136.0,mpfi,?,?,?,110.0,5500.0,?,25.0,17710.0,1
audi,gas,?,four,wagon,?,front,?,?,71.4,?,?,ohc,five,136.0,mpfi,3.19,3.4,?,110.0,5500.0,?,25.0,?,1
audi,gas,turbo,four,?,?,front,105.8,192.7,?,?,3086.0,?,five,131.0,mpfi,3.13,?,?,140.0,?,17.0,20.0,?,?
?,gas,std,two,?,?,front,101.2,176.8,64.8,?,2395.0,ohc,four,108.0,?,?,2.8,8.8,?,5800.0,?,29.0,16430.0,2
?,?,std,four,?,rwd,?,101.2,176.8,64.8,?,?,ohc,four,108.0,mpfi,3.5,2.8,8.8,101.0,5800.0,?,29.0,16925.0,?
bmw,?,std,?,sedan,rwd,?,101.2,?,?,54.3,2710.0,ohc,six,164.0,mpfi,3.31,?,?,121.0,4250.0,21.0,28.0,?,0
?,?,std,four,?,rwd,front,?,176.8,?,?,2765.0,ohc,?,164.0,mpfi,3.31,?,9.0,?,4250.0,?,28.0,?,0
bmw,gas,?,?,sedan,?,front,?,?,?,?,?,ohc,six,?,mpfi,3.31,3.19,9.0,121.0,?,20.0,25.0,?,1
