@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

?,0.0,0.0,0.0,?,very_low
0.08,?,0.1,0.24,0.9,High
?,?,0.05,0.25,0.33,Low
?,?,0.15,?,?,Middle
0.08,0.08,?,0.98,0.24,Low
?,0.15,?,?,?,?
0.1,0.1,0.43,0.29,0.56,Middle
0.15,0.02,0.34,?,?,?
?,0.14,?,?,0.25,Low
0.0,0.0,0.5,?,?,High
0.18,?,?,0.3,0.81,High
0.06,0.06,0.51,0.41,0.3,Low
0.1,0.1,0.52,0.78,0.34,Middle
0.1,0.1,0.7,0.15,0.9,High
?,0.2,?,0.3,0.6,Middle
0.12,0.12,?,0.35,?,High
0.05,0.07,0.7,0.01,0.05,?
0.1,?,0.1,0.08,0.33,Low
?,0.32,0.05,?,?,Low
?,?,?,0.49,0.56,Middle
0.12,?,0.2,0.78,0.2,Low
0.18,0.3,0.37,?,?,?
?,0.27,0.31,0.29,?,?
?,?,0.32,0.42,?,?
0.06,0.29,0.35,0.76,0.25,Low
?,0.3,0.68,0.18,0.85,High
0.04,0.28,?,0.25,0.1,very_low
?,?,?,0.45,?,?
0.08,?,0.62,0.94,?,?
0.15,0.275,?,?,0.81,High
0.12,?,0.75,?,0.59,?
?,0.295,0.75,?,0.24,Low
?,0.256,0.7,0.76,?,Low
?,?,0.04,0.19,0.82,?
?,?,0.28,0.31,?,?
?,0.35,?,?,?,Low
?,0.42,0.22,0.72,?,?
0.18,0.4,0.32,0.08,0.33,?
0.09,0.33,0.31,0.26,?,?
0.19,?,?,?,0.45,?
0.02,?,?,?,?,?
?,?,0.6,0.2,?,High
0.14,0.49,0.55,?,0.6,?
0.18,?,0.61,?,?,?
0.115,0.35,0.65,0.27,?,very_low
?,0.36,0.8,?,0.66,Middle
?,?,0.75,?,?,Middle
?,0.39,0.85,?,0.77,?
?,0.34,0.71,?,0.9,High
?,0.51,?,0.18,0.67,Middle
