@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data

0.0,0.0,?,?,0.0,3
?,?,0.1,0.24,0.9,0
0.06,?,0.05,0.25,?,1
0.1,?,?,?,0.3,?
?,0.08,0.08,0.98,0.24,1
?,0.15,?,0.1,?,?
?,0.1,0.43,0.29,?,?
0.15,?,?,0.4,?,?
0.2,0.14,0.35,?,?,?
0.0,0.0,?,0.2,0.85,0
?,0.18,?,0.3,?,0
0.06,?,?,0.41,?,?
0.1,?,0.52,?,0.34,2
0.1,0.1,?,?,0.9,0
?,0.2,0.7,0.3,0.6,2
0.12,0.12,0.75,?,0.8,0
?,?,0.7,?,0.05,3
0.1,0.25,0.1,?,?,1
?,?,0.05,?,0.29,1
0.2,0.29,?,0.49,?,2
0.12,?,?,0.78,0.2,?
?,0.3,0.37,0.12,?,2
?,0.27,0.31,0.29,0.65,2
?,?,?,?,0.28,?
?,?,0.35,?,0.25,1
?,0.3,0.68,0.18,?,0
0.04,0.28,?,?,0.1,3
0.09,0.255,0.6,0.45,?,1
0.08,?,?,0.94,0.56,?
0.15,?,?,0.21,0.81,?
0.12,?,0.75,0.31,0.59,?
?,0.295,?,?,0.24,1
?,0.256,0.7,?,0.16,1
?,?,0.04,0.19,0.82,?
0.2,0.45,0.28,0.31,?,?
?,?,?,?,0.29,?
0.1,0.42,?,?,?,1
0.18,?,0.32,?,0.33,?
?,?,0.31,0.26,?,3
?,0.38,0.38,0.49,?,2
0.02,0.33,0.36,0.76,?,?
0.2,0.49,0.6,0.2,0.78,?
?,0.49,?,0.29,?,2
?,0.33,0.61,?,0.25,2
0.115,0.35,0.65,0.27,?,3
0.17,0.36,0.8,0.14,0.66,?
?,?,0.75,0.31,?,2
0.13,0.39,0.85,0.38,0.77,?
?,0.34,?,0.71,?,?
?,0.51,?,0.18,0.67,?
0.06,0.5,0.09,?,0.25,1
0.23,?,0.19,0.51,?,2
0.09,0.55,?,0.78,?,1
?,0.75,?,?,0.86,0
?,0.72,?,?,0.55,?
?,0.6,0.33,?,0.26,1
0.2,?,0.36,?,0.25,?
?,?,0.66,0.19,0.59,2
0.18,0.51,0.58,0.33,?,0
?,0.58,0.6,?,?,?
?,?,?,0.75,0.01,1
?,0.77,?,?,?,2
0.15,?,?,0.3,0.51,2
0.2,0.68,0.73,0.48,?,?
0.24,?,?,?,0.28,2
0.25,0.1,0.03,0.09,0.15,?
0.32,0.2,0.06,0.26,?,3
0.29,0.06,0.19,?,0.51,2
0.28,?,?,0.28,?,?
?,?,0.4,?,0.67,?
0.27,?,0.37,?,?,2
?,?,0.41,0.42,0.75,0
?,0.15,?,0.66,0.08,3
0.3,0.2,0.52,0.3,?,?
?,0.16,0.69,?,?,0
0.255,0.18,?,?,?,?
0.265,?,0.57,?,?,1
0.275,0.1,?,0.1,0.3,1
?,0.1,0.71,0.26,0.2,3
?,0.2,0.86,0.44,?,1
?,0.12,0.79,0.76,0.24,1
0.295,?,0.26,0.12,?,2
?,0.32,0.29,0.29,0.62,?
?,?,0.15,0.48,0.26,1
0.27,?,0.1,?,0.25,?
0.248,0.3,0.31,0.2,0.03,3
0.325,0.25,0.38,?,0.79,?
0.27,?,0.32,?,0.28,?
?,0.29,?,0.78,0.18,?
0.29,0.3,?,0.09,?,2
0.258,0.28,0.64,0.29,?,?
0.32,0.255,?,0.78,0.34,?
0.251,0.265,?,?,0.09,3
?,0.31,?,0.23,?,1
?,?,0.89,0.32,0.8,0
?,0.305,?,?,0.15,1
0.295,0.25,0.73,?,0.19,1
?,0.25,?,0.33,0.77,0
0.29,0.25,?,?,?,?
0.243,0.27,?,0.42,0.29,1
0.27,0.28,0.18,?,?,1
0.299,0.32,0.31,0.33,?,0
?,?,0.31,0.31,?,2
?,0.26,0.38,?,0.27,1
?,0.29,0.31,0.76,0.1,1
?,0.3,?,?,0.67,2
0.26,0.28,?,?,?,?
?,?,?,0.4,0.54,?
0.32,0.27,?,?,?,?
?,0.295,0.8,?,?,0
0.276,?,?,0.27,?,?
0.258,0.31,0.88,?,?,?
0.32,?,?,0.89,?,0
0.329,0.55,0.02,0.4,?,0
0.295,?,0.29,?,0.55,?
?,0.64,?,?,0.45,2
0.265,0.6,0.28,0.66,0.07,3
0.315,?,0.28,0.8,0.7,0
?,0.78,0.44,0.17,?,?
0.325,0.61,0.46,0.32,0.81,0
0.28,?,0.4,?,?,?
?,0.75,?,0.72,?,?
0.305,0.55,0.5,?,?,?
0.3,?,0.54,0.25,0.83,2
0.325,?,0.52,0.49,?,?
0.312,?,?,0.92,0.5,0
0.299,0.7,?,0.22,0.66,?
0.265,?,?,?,?,1
?,0.72,?,0.63,?,1
?,?,?,0.88,0.28,?
0.39,0.05,0.02,0.06,0.34,?
0.4,0.18,0.26,0.26,0.67,?
0.45,0.04,?,0.55,0.07,3
?,0.12,?,?,0.71,?
?,?,0.41,0.1,?,2
?,?,?,?,0.5,?
0.38,0.1,?,?,0.26,?
?,0.06,?,?,0.1,1
0.41,0.09,0.58,0.18,0.58,2
0.38,0.01,?,0.27,0.3,1
0.33,?,0.5,0.55,0.1,3
0.42,0.15,?,0.78,0.4,2
0.44,0.08,?,0.22,0.56,2
0.39,0.15,0.81,0.22,0.29,1
0.42,0.21,0.87,?,?,2
0.46,0.2,?,0.95,?,0
0.365,0.243,0.19,?,0.35,1
?,?,0.2,0.33,0.1,3
0.345,?,0.1,?,0.13,1
0.48,0.3,0.15,0.65,?,0
0.49,0.245,?,0.14,0.86,0
0.334,?,0.33,0.32,?,1
0.36,0.29,?,0.48,0.13,3
0.39,0.26,0.39,?,0.14,?
0.43,0.305,0.51,0.09,0.64,2
?,0.32,0.55,?,?,?
?,0.299,0.63,?,?,?
0.495,0.276,?,?,0.83,?
0.465,?,0.73,0.18,0.59,?
?,0.32,0.79,?,0.54,?
0.348,0.329,0.83,0.61,0.18,?
0.385,0.26,0.76,?,?,2
?,?,0.02,?,0.88,0
0.43,0.45,0.27,0.27,0.89,?
?,?,?,0.49,0.12,3
0.4,?,?,?,?,0
?,?,0.38,0.2,0.61,2
0.38,?,0.46,0.49,0.78,0
0.35,0.38,0.32,0.6,0.16,1
0.41,0.49,?,?,0.92,?
?,0.36,0.63,0.04,0.25,?
0.43,0.38,?,?,0.49,2
0.44,0.33,?,0.53,0.85,?
0.4,?,?,0.75,0.16,1
0.46,0.44,0.89,?,0.66,2
0.38,0.39,?,?,0.3,?
0.39,?,?,?,?,?
?,0.34,0.88,0.75,?,0
?,?,0.22,0.22,0.6,2
0.44,?,?,?,0.83,0
?,0.68,?,0.63,?,?
?,0.65,?,0.99,0.55,0
?,?,0.38,?,?,?
0.37,0.55,0.41,?,0.3,?
0.38,0.59,0.31,?,0.2,?
0.49,0.64,?,0.78,0.21,1
0.495,?,0.67,0.01,?,?
0.44,?,?,0.29,0.57,?
0.365,0.57,?,?,?,?
0.49,0.9,0.52,?,?,?
?,0.7,0.82,0.16,0.64,2
0.42,?,0.72,?,0.8,0
?,?,0.77,?,0.5,2
?,0.61,0.71,0.88,0.67,?
?,0.14,?,0.11,0.66,?
0.55,0.1,?,?,0.29,?
0.68,?,0.19,0.48,?,3
?,0.2,?,0.72,0.26,1
?,0.15,?,?,?,2
?,0.1,0.34,0.3,0.1,?
?,?,0.31,0.55,0.09,3
?,0.09,0.33,?,0.5,?
0.6,0.19,0.55,?,0.1,3
0.69,0.02,0.62,0.3,0.29,?
