@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {0, 1, 2, 3}


@data

0.0,?,0.0,?,0.0,3
0.08,0.08,0.1,0.24,?,?
0.06,?,?,0.25,?,1
0.1,?,0.15,0.65,0.3,?
?,0.08,0.08,0.98,0.24,1
?,0.15,?,0.1,?,2
?,0.1,0.43,0.29,?,2
0.15,0.02,?,?,?,?
?,?,0.35,0.72,?,1
?,0.0,?,0.2,0.85,0
0.18,0.18,0.55,0.3,0.81,?
0.06,?,?,?,?,?
0.1,?,0.52,0.78,?,?
0.1,0.1,0.7,0.15,?,0
?,0.2,?,0.3,0.6,2
0.12,0.12,?,0.35,?,?
0.05,?,0.7,0.01,0.05,?
0.1,0.25,0.1,?,?,?
0.15,0.32,?,0.27,0.29,1
0.2,0.29,?,?,0.56,2
?,?,0.2,0.78,0.2,1
?,?,?,0.12,?,?
0.1,0.27,0.31,0.29,?,?
0.18,0.31,?,?,?,1
0.06,0.29,0.35,0.76,0.25,1
0.09,?,0.68,?,?,0
0.04,0.28,?,?,0.1,3
?,0.255,?,?,?,?
?,?,0.62,0.94,0.56,?
0.15,?,0.8,?,0.81,0
0.12,0.245,?,?,0.59,2
0.15,?,?,0.65,0.24,1
?,0.256,0.7,0.76,0.16,1
?,0.32,0.04,0.19,0.82,0
?,?,?,0.31,?,0
0.06,?,0.12,0.43,0.29,?
?,0.42,?,?,0.26,1
0.18,0.4,0.32,?,?,?
0.09,?,0.31,0.26,?,?
?,0.38,?,?,0.45,?
?,?,?,?,0.1,1
?,0.49,0.6,0.2,0.78,0
0.14,0.49,?,0.29,?,2
0.18,0.33,0.61,?,0.25,2
?,0.35,?,0.27,?,3
0.17,0.36,0.8,0.14,0.66,2
0.1,0.39,0.75,?,?,?
?,?,?,0.38,?,?
0.18,0.34,?,?,?,?
0.09,0.51,?,?,0.67,2
?,0.5,0.09,?,?,1
0.23,0.7,?,0.51,0.45,2
0.09,0.55,?,0.78,?,?
0.24,?,0.32,0.18,0.86,0
0.18,0.72,0.37,0.29,0.55,2
0.1,0.6,?,0.42,0.26,1
0.2,?,0.36,?,0.25,?
?,0.6,0.66,0.19,?,?
0.18,?,0.58,?,?,?
?,0.58,?,?,0.1,1
0.09,?,?,0.75,0.01,?
0.06,?,0.72,?,0.56,2
0.15,0.79,0.78,?,0.51,2
0.2,0.68,?,0.48,?,?
0.24,0.58,0.76,0.8,?,2
?,0.1,0.03,0.09,0.15,?
0.32,0.2,?,?,0.24,3
0.29,?,0.19,?,?,2
0.28,0.1,0.12,0.28,0.32,?
0.3,?,?,?,?,2
?,0.12,?,0.29,?,?
0.31,0.1,?,0.42,?,0
?,?,?,0.66,0.08,3
?,?,0.52,?,0.53,2
?,?,?,0.33,0.78,?
0.255,0.18,0.5,?,0.1,?
?,?,0.57,?,0.1,?
0.275,?,0.72,0.1,0.3,?
0.245,0.1,0.71,0.26,0.2,3
?,0.2,0.86,?,0.28,1
0.32,0.12,?,?,0.24,1
0.295,?,?,?,0.67,?
?,0.32,0.29,?,0.62,2
0.25,0.29,0.15,?,0.26,1
0.27,0.1,?,?,0.25,1
0.248,0.3,?,0.2,0.03,3
?,?,0.38,0.31,?,0
0.27,?,0.32,?,?,?
0.29,?,0.4,?,?,1
0.29,0.3,0.52,0.09,0.67,?
0.258,0.28,0.64,0.29,?,?
?,?,0.55,0.78,?,2
0.251,0.265,?,0.6,?,3
0.288,0.31,?,0.23,?,?
0.323,?,?,?,0.8,0
?,0.305,0.86,0.62,0.15,1
?,?,0.73,0.77,?,1
0.258,0.25,0.295,0.33,?,0
0.29,0.25,?,0.29,0.57,2
0.243,?,0.08,?,?,1
?,0.28,0.18,0.48,?,1
0.299,?,?,0.33,?,0
?,0.27,?,?,0.54,?
0.245,?,?,0.49,?,?
0.295,0.29,0.31,0.76,0.1,?
?,0.3,0.56,?,0.67,2
?,?,0.6,0.29,0.59,2
0.305,?,0.63,0.4,?,?
?,0.27,0.52,?,0.3,2
0.299,0.295,0.8,?,0.84,?
?,0.255,?,0.27,?,1
?,?,?,0.4,0.3,1
0.32,0.28,0.72,0.89,?,?
?,?,?,?,?,0
0.295,?,0.29,?,?,2
0.285,?,?,0.61,?,?
0.265,0.6,?,?,?,?
0.315,0.69,?,0.8,0.7,?
0.28,0.78,0.44,?,?,2
?,?,?,0.32,0.81,?
0.28,?,?,?,?,1
0.255,0.75,?,0.72,0.25,?
0.305,?,?,0.11,0.333,1
?,0.85,0.54,0.25,0.83,2
?,?,0.52,0.49,?,0
0.312,0.8,0.67,0.92,0.5,0
?,?,?,0.22,?,0
?,?,?,?,0.28,1
?,0.72,?,0.63,?,1
0.295,0.6,0.72,0.88,0.28,2
0.39,?,0.02,0.06,?,1
?,0.18,0.26,?,0.67,2
0.45,0.04,?,?,?,?
0.48,0.12,0.28,?,?,0
0.4,0.12,?,0.1,?,?
0.41,?,0.33,?,0.5,2
0.38,0.1,0.4,0.48,0.26,?
?,0.06,?,?,?,1
0.41,?,0.58,0.18,?,2
?,0.01,0.53,0.27,0.3,1
?,0.04,?,0.55,?,?
0.42,0.15,0.66,?,0.4,2
0.44,0.08,0.8,0.22,?,2
0.39,?,0.81,0.22,0.29,1
?,0.21,?,?,?,?
0.46,?,?,0.95,0.65,?
0.365,0.243,0.19,?,0.35,?
0.33,0.27,0.2,?,0.1,3
?,0.299,?,0.64,?,1
0.48,?,0.15,0.65,0.77,?
0.49,?,0.38,0.14,0.86,0
0.334,0.295,0.33,0.32,0.3,?
0.36,?,0.37,0.48,?,3
0.39,0.26,?,?,?,?
0.43,0.305,0.51,?,0.64,?
0.44,0.32,0.55,0.33,0.52,?
0.45,?,?,?,?,2
0.495,?,0.58,0.77,0.83,0
0.465,?,0.73,?,0.59,?
?,0.32,0.79,0.31,0.54,2
0.348,0.329,?,0.61,?,1
?,0.26,?,?,0.3,2
0.445,?,0.02,0.24,0.88,0
0.43,0.45,0.27,?,0.89,?
0.33,0.34,0.1,?,?,?
0.4,0.33,?,0.3,0.9,0
0.34,0.4,?,0.2,0.61,?
?,0.36,0.46,0.49,0.78,?
0.35,0.38,?,?,0.16,1
0.41,?,0.34,?,0.92,0
0.42,0.36,0.63,?,?,?
0.43,0.38,?,0.33,0.49,2
0.44,?,0.59,?,?,0
0.4,0.42,0.58,?,0.16,1
0.46,?,0.89,?,0.66,2
?,?,?,0.33,0.3,1
0.39,0.42,?,?,0.19,1
0.49,0.34,?,0.75,0.71,0
0.46,?,?,?,0.6,2
?,0.55,?,0.26,?,0
?,0.68,?,0.63,0.18,?
?,?,0.19,?,0.55,?
0.46,?,?,?,?,0
?,?,0.41,0.29,?,1
0.38,?,0.31,0.62,0.2,?
?,?,?,?,0.21,1
0.495,0.82,0.67,?,0.93,?
?,0.69,0.61,?,?,2
0.365,?,?,0.55,0.25,1
0.49,0.9,0.52,?,0.47,0
0.445,?,?,0.16,0.64,2
0.42,0.7,0.72,?,0.8,0
0.37,?,0.77,0.4,0.5,?
?,?,0.71,?,?,?
0.6,0.14,0.22,0.11,0.66,2
?,?,0.27,0.25,0.29,1
0.68,?,?,?,0.1,?
0.73,0.2,0.07,0.72,?,?
0.78,0.15,0.38,0.18,?,2
0.55,?,0.34,?,0.1,3
0.59,?,0.31,0.55,?,3
0.64,?,?,?,0.5,2
0.6,0.19,?,0.08,?,3
?,0.02,0.62,0.3,0.29,1
?,0.21,?,0.65,?,?
?,?,0.52,0.81,?,?
