@relation dataset

@attribute parents {usual, pretentious, great_pret}
@attribute has_nurs {proper, less_proper, improper, critical, very_crit}
@attribute form {complete, completed, incomplete, foster}
@attribute children {1, 2, 3, more}
@attribute housing {convenient, less_conv, critical}
@attribute finance {convenient, inconv}
@attribute social {nonprob, slightly_prob, problematic}
@attribute health {recommended, priority, not_recom}
@attribute class {not_recom, recommend, very_recom, priority, spec_prior}


@data

?,?,complete,?,convenient,?,?,recommended,recommend
usual,proper,complete,1,?,?,nonprob,priority,priority
?,proper,complete,1,convenient,convenient,?,not_recom,?
usual,?,?,1,convenient,convenient,slightly_prob,recommended,?
?,proper,complete,?,convenient,convenient,?,?,?
usual,proper,?,?,convenient,convenient,slightly_prob,?,not_recom
usual,proper,complete,1,convenient,convenient,problematic,recommended,priority
usual,proper,complete,1,convenient,convenient,?,?,?
usual,proper,complete,1,convenient,?,?,not_recom,not_recom
usual,proper,complete,1,convenient,inconv,?,?,?
?,?,?,?,?,inconv,nonprob,?,?
?,proper,?,1,?,?,?,not_recom,?
usual,proper,complete,1,convenient,inconv,?,recommended,very_recom
usual,proper,?,?,?,?,slightly_prob,priority,priority
?,proper,?,?,?,inconv,slightly_prob,not_recom,not_recom
?,?,complete,?,convenient,inconv,?,recommended,priority
?,proper,complete,1,convenient,inconv,problematic,?,?
usual,proper,?,?,?,?,?,?,not_recom
usual,?,complete,1,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,?,?,less_conv,?,nonprob,priority,priority
?,proper,complete,1,?,convenient,nonprob,not_recom,not_recom
usual,proper,complete,?,less_conv,?,slightly_prob,?,very_recom
usual,?,?,?,less_conv,?,?,priority,?
usual,proper,complete,1,?,?,slightly_prob,not_recom,not_recom
usual,proper,complete,?,less_conv,convenient,problematic,recommended,?
usual,proper,?,?,less_conv,convenient,?,priority,?
usual,proper,?,1,?,?,problematic,not_recom,not_recom
?,?,?,1,less_conv,inconv,nonprob,recommended,?
?,?,complete,1,less_conv,inconv,?,priority,priority
usual,proper,complete,?,?,inconv,?,not_recom,not_recom
