@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,75.0,27.17,3.32,0.46,1.32,0.43,0.88,0.73,0.72,2.35,1.68,0.56,0.9,0.37,2.74,0.01,0.02
6.0,0.0,4.83,0.83,0.5,0.0,0.0,0.0,0.0,0.17,0.5,0.0,0.17,0.33,0.17,0.83,0.0,0.0
78.0,78.0,37.42,7.42,0.5,0.06,0.31,2.95,0.76,2.46,5.58,2.05,0.86,1.33,0.62,2.96,0.03,0.01
8.0,0.0,3.75,0.13,0.17,0.0,0.0,0.25,0.67,0.25,0.38,0.25,0.13,0.0,0.13,1.13,0.0,0.0
51.0,3.0,8.98,0.9,0.4,0.02,0.17,0.24,0.92,0.71,0.9,0.31,0.22,0.43,0.1,1.33,0.0,0.0
80.0,80.0,35.15,5.8,0.48,1.81,0.36,2.89,0.91,0.56,2.6,2.64,0.8,1.61,0.31,2.28,0.01,0.0
54.0,8.0,16.46,2.39,0.51,0.0,0.0,1.33,0.61,0.96,1.72,1.33,1.09,1.22,0.35,2.02,0.02,0.0
52.0,38.0,27.38,2.98,0.35,1.12,0.35,1.13,0.73,0.25,2.23,3.38,0.96,1.83,0.19,1.98,0.0,0.02
79.0,0.0,14.75,1.92,0.55,0.0,0.0,0.85,0.54,1.62,2.76,0.39,0.3,0.72,0.92,2.14,0.01,0.03
76.0,0.0,22.28,1.87,0.57,0.0,0.0,2.16,0.69,1.93,4.42,0.43,0.55,0.78,1.89,2.25,0.01,0.01
63.0,0.0,14.16,2.33,0.43,0.43,0.35,0.73,0.69,0.86,2.44,0.7,0.24,0.59,0.19,1.89,0.0,0.02
1.0,0.0,15.0,1.0,0.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
63.0,6.0,14.57,2.68,0.44,1.24,0.37,1.13,0.87,1.11,2.1,0.59,0.4,0.89,0.22,1.29,0.0,0.0
69.0,69.0,38.2,9.97,0.46,0.86,0.32,7.36,0.83,2.2,4.38,3.22,1.28,3.03,0.43,3.26,0.03,0.17
80.0,16.0,16.48,0.95,0.48,0.0,0.0,0.83,0.72,1.54,1.58,0.15,0.25,0.56,1.36,1.98,0.01,0.0
32.0,32.0,36.47,7.91,0.41,1.97,0.35,4.78,0.74,0.53,3.63,7.19,1.28,3.66,0.28,2.97,0.06,0.09
72.0,71.0,36.54,5.47,0.39,1.89,0.33,2.06,0.65,1.08,4.51,3.83,1.76,2.24,0.56,2.25,0.0,0.03
33.0,0.0,10.18,0.85,0.35,0.0,0.0,0.45,0.47,0.82,1.64,0.64,0.45,0.67,0.36,1.79,0.03,0.0
72.0,34.0,21.97,2.47,0.47,0.1,0.28,1.06,0.84,0.36,1.44,3.13,0.5,0.75,0.08,1.42,0.0,0.0
77.0,77.0,33.84,3.97,0.41,1.36,0.35,1.66,0.69,1.29,3.01,3.04,1.39,1.57,0.27,2.14,0.01,0.08
32.0,1.0,14.22,1.97,0.43,0.0,0.0,0.53,0.57,1.16,2.28,0.47,0.44,0.69,0.44,1.88,0.0,0.03
40.0,11.0,16.05,1.43,0.36,0.55,0.3,0.63,0.93,0.13,0.6,2.28,0.43,0.8,0.0,1.33,0.03,0.0
80.0,2.0,18.4,2.1,0.39,0.88,0.39,1.28,0.78,0.14,1.08,2.41,0.56,0.93,0.06,1.59,0.0,0.0
9.0,7.0,25.67,5.33,0.55,1.11,0.37,2.11,0.68,1.33,3.22,1.11,0.56,0.78,1.0,1.78,0.0,0.11
13.0,1.0,7.0,0.46,0.33,0.0,0.0,0.15,0.33,0.31,1.46,0.54,0.62,0.46,0.15,1.23,0.0,0.0
22.0,0.0,11.09,1.77,0.53,0.32,0.29,1.09,0.83,0.14,0.91,1.18,0.55,0.91,0.09,1.36,0.0,0.05
44.0,5.0,17.8,3.52,0.42,1.0,0.32,1.45,0.88,0.25,1.32,1.45,0.52,1.05,0.27,1.61,0.0,0.0
78.0,18.0,19.81,2.97,0.44,0.72,0.36,0.97,0.84,0.22,1.65,3.31,0.45,1.31,0.08,1.53,0.01,0.03
80.0,80.0,34.98,6.71,0.47,1.51,0.37,2.26,0.77,1.31,4.85,1.16,0.31,1.5,1.39,2.69,0.04,0.04
81.0,58.0,25.8,3.35,0.49,0.81,0.32,1.33,0.74,1.31,4.17,1.65,0.73,1.38,0.37,2.28,0.01,0.11
7.0,6.0,33.14,4.29,0.44,0.0,0.0,3.14,0.76,4.43,6.57,1.14,0.57,1.57,0.57,3.43,0.0,0.0
50.0,3.0,12.92,2.38,0.51,0.0,0.0,1.04,0.83,1.08,1.48,0.38,0.24,0.62,0.54,1.38,0.0,0.02
15.0,0.0,8.87,0.93,0.36,0.07,0.25,0.47,0.7,0.27,1.27,0.2,0.27,0.2,0.13,1.27,0.0,0.0
67.0,62.0,32.37,2.66,0.4,1.51,0.36,1.15,0.73,1.1,3.55,2.45,0.78,0.96,1.13,2.07,0.0,0.01
37.0,25.0,24.84,3.76,0.52,1.46,0.41,1.16,0.84,0.86,2.95,1.19,0.65,0.73,0.68,2.24,0.03,0.0
74.0,11.0,17.62,2.7,0.41,0.39,0.32,2.72,0.83,0.24,1.38,2.32,0.35,1.27,0.07,2.05,0.01,0.03
78.0,78.0,29.83,6.0,0.45,0.36,0.27,2.46,0.8,1.59,4.81,1.28,1.03,1.68,0.63,2.83,0.03,0.04
56.0,16.0,12.54,2.77,0.52,0.8,0.41,0.75,0.81,0.21,1.18,1.32,0.52,0.96,0.21,1.5,0.02,0.0
66.0,1.0,16.97,2.33,0.41,0.91,0.38,1.53,0.83,0.21,1.23,1.35,0.64,0.91,0.08,1.21,0.02,0.0
71.0,39.0,22.77,2.38,0.38,1.03,0.37,0.68,0.72,0.44,1.42,1.46,0.55,0.76,0.17,1.92,0.0,0.0
6.0,5.0,30.17,4.67,0.46,2.0,0.44,0.5,1.0,0.83,3.0,2.17,0.67,0.83,0.33,2.5,0.0,0.17
25.0,1.0,11.68,1.6,0.4,0.56,0.36,0.96,0.92,0.6,1.48,0.64,0.08,1.12,0.68,1.32,0.0,0.0
