@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

?,1.8,?,?,0.8,?,3.19,2.79,?,2.42
?,?,2.66,0.64,1.42,?,3.21,?,?,2.32
1.22,0.8,0.54,0.53,?,1.54,3.18,2.8,1.31,2.5
0.45,1.8,0.29,?,?,1.52,3.18,?,1.57,?
0.51,?,1.18,0.57,1.54,2.02,3.18,2.78,?,2.54
0.99,1.28,?,0.27,?,1.26,3.17,2.89,1.66,?
0.9,1.36,?,?,?,1.58,?,2.66,?,3.22
0.74,1.4,0.22,0.41,?,?,?,2.81,?,2.88
1.12,1.76,1.04,?,0.82,?,3.18,2.79,?,?
?,1.36,?,0.26,?,1.54,3.17,?,2.24,?
?,1.0,?,?,1.66,?,?,2.89,?,2.62
0.96,?,0.29,?,0.88,2.08,?,?,1.66,3.42
?,?,?,0.45,?,?,3.2,2.87,?,2.34
0.58,?,?,0.45,1.26,?,3.19,2.91,2.3,?
?,?,2.29,0.51,?,?,3.2,2.82,?,?
1.25,2.52,?,0.5,1.46,?,3.19,?,?,?
?,1.04,?,0.34,?,1.1,3.18,?,1.15,?
0.61,1.96,?,?,?,1.78,3.2,3.04,1.15,?
?,?,1.36,?,0.82,3.38,3.18,?,1.79,2.8
0.8,?,?,?,?,1.98,?,2.93,1.22,?
0.86,?,1.12,0.41,1.2,?,3.18,2.7,?,2.94
0.96,1.44,?,0.42,1.06,2.08,3.17,?,1.15,?
0.93,1.16,0.29,?,1.02,1.36,?,2.74,1.34,3.66
?,1.44,0.3,0.41,1.02,1.46,3.17,?,?,?
?,0.96,1.15,0.54,?,2.02,3.18,?,1.92,2.46
0.61,2.84,?,0.48,0.56,?,?,2.54,1.6,2.54
?,?,2.24,?,?,2.64,?,2.57,?,2.38
?,?,1.22,?,?,1.9,3.18,2.79,?,2.4
?,?,0.18,?,?,0.76,3.17,2.69,?,?
0.64,1.16,?,0.45,?,3.16,3.2,?,?,2.46
0.74,1.28,?,0.5,0.94,2.26,3.2,2.78,1.5,2.34
?,?,2.32,0.63,?,2.12,3.19,2.65,1.28,2.42
?,2.0,?,?,2.08,?,3.19,?,1.76,?
