@relation dataset

@attribute realvaluedinputfeature_1 real
@attribute realvaluedinputfeature_2 real
@attribute realvaluedinputfeature_3 real
@attribute realvaluedinputfeature_4 real
@attribute realvaluedinputfeature_5 real
@attribute realvaluedinputfeature_6 real
@attribute realvaluedinputfeature_7 real
@attribute realvaluedinputfeature_8 real
@attribute realvaluedinputfeature_9 real
@attribute realvaluedinputfeature_10 real
@attribute realvaluedinputfeature_11 real
@attribute realvaluedinputfeature_12 real
@attribute realvaluedinputfeature_13 real
@attribute realvaluedinputfeature_14 real
@attribute realvaluedinputfeature_15 real
@attribute realvaluedinputfeature_16 real
@attribute realvaluedinputfeature_17 real
@attribute realvaluedinputfeature_18 real
@attribute realvaluedinputfeature_19 real
@attribute realvaluedinputfeature_20 real
@attribute realvaluedinputfeature_21 real
@attribute realvaluedinputfeature_22 real
@attribute realvaluedinputfeature_23 real
@attribute realvaluedinputfeature_24 real
@attribute realvaluedinputfeature_25 real
@attribute realvaluedinputfeature_26 real
@attribute realvaluedinputfeature_27 real
@attribute realvaluedinputfeature_28 real
@attribute realvaluedinputfeature_29 real
@attribute realvaluedinputfeature_30 real


@data

17.99,10.38,122.8,1001.0,?,0.2776,?,0.1471,0.2419,?,1.095,?,?,153.4,?,0.04904,?,0.01587,0.03003,?,25.38,?,184.6,2019.0,?,?,0.7119,0.2654,0.4601,?
?,?,132.9,1326.0,?,0.07864,0.0869,?,?,0.05667,0.5435,0.7339,?,?,0.005225,0.01308,0.0186,0.0134,0.01389,0.003532,24.99,23.41,?,?,0.1238,?,?,0.186,?,0.08902
19.69,?,?,?,0.1096,?,0.1974,?,?,0.05999,0.7456,0.7869,4.585,?,0.00615,0.04006,?,0.02058,0.0225,?,23.57,?,152.5,?,0.1444,0.4245,0.4504,0.243,0.3613,?
?,?,77.58,386.1,0.1425,?,?,0.1052,0.2597,0.09744,0.4956,1.156,3.445,?,?,0.07458,0.05661,0.01867,0.05963,?,14.91,?,98.87,?,0.2098,?,?,?,?,0.173
20.29,14.34,?,?,?,?,?,0.1043,0.1809,?,?,?,?,94.44,0.01149,0.02461,0.05688,0.01885,0.01756,0.005115,?,?,152.2,1575.0,0.1374,0.205,0.4,?,0.2364,?
12.45,15.7,82.57,477.1,0.1278,?,0.1578,0.08089,0.2087,0.07613,?,0.8902,2.217,27.19,0.00751,0.03345,?,?,0.02165,?,15.47,?,?,?,0.1791,0.5249,0.5355,0.1741,0.3985,0.1244
18.25,?,119.6,1040.0,0.09463,?,0.1127,0.074,0.1794,0.05742,0.4467,0.7732,3.18,53.91,?,?,?,?,?,0.002179,22.88,?,153.2,?,0.1442,?,?,?,0.3063,0.08368
13.71,20.83,90.2,577.9,?,?,0.09366,0.05985,?,0.07451,?,1.377,3.856,50.96,0.008805,?,0.02488,0.01448,0.01486,0.005412,17.06,28.14,110.6,?,?,0.3682,0.2678,0.1556,0.3196,?
13.0,21.82,87.5,?,0.1273,?,?,0.09353,0.235,?,0.3063,?,2.406,?,0.005731,0.03502,0.03553,?,0.02143,?,15.49,?,106.2,739.3,?,?,?,0.206,?,0.1072
