@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

?,1.8,2.29,0.62,0.8,2.42,3.19,2.79,1.82,?
1.02,2.2,2.66,0.64,1.42,3.18,3.21,2.63,1.86,2.32
1.22,0.8,0.54,0.53,0.24,1.54,?,2.8,1.31,2.5
0.45,1.8,?,0.57,0.46,1.52,3.18,2.96,1.57,?
0.51,?,?,0.57,?,?,3.18,2.78,1.18,2.54
0.99,1.28,0.72,0.27,0.74,1.26,3.17,2.89,1.66,3.66
0.9,1.36,0.26,0.32,0.86,1.58,3.17,?,1.22,?
?,?,0.22,0.41,?,?,3.17,2.81,1.54,?
1.12,?,1.04,?,0.82,?,3.18,?,?,2.54
0.7,?,0.22,0.26,1.5,?,3.17,2.82,2.24,3.12
?,1.0,0.7,?,1.66,2.76,3.18,2.89,1.66,2.62
0.96,?,0.29,0.38,0.88,2.08,3.17,?,1.66,3.42
?,1.44,2.75,0.45,0.98,?,?,?,?,2.34
?,1.64,2.27,0.45,?,1.72,?,?,?,?
0.96,?,?,0.51,1.2,2.84,?,?,?,?
1.25,2.52,1.76,0.5,?,2.08,3.19,2.74,?,2.32
0.86,?,1.76,?,?,1.1,3.18,?,?,2.98
0.61,1.96,2.49,0.66,?,?,3.2,3.04,?,2.42
0.67,1.36,1.36,?,0.82,3.38,?,2.86,1.79,2.8
0.8,?,2.1,0.58,1.18,?,?,?,1.22,2.48
0.86,1.44,?,0.41,?,?,3.18,?,1.06,2.94
?,1.44,0.14,0.42,1.06,2.08,3.17,2.74,1.15,3.22
?,1.16,?,?,?,1.36,3.16,2.74,1.34,?
0.54,1.44,0.3,0.41,1.02,1.46,?,2.71,1.73,3.04
1.22,0.96,?,0.54,1.1,2.02,3.18,2.77,1.92,2.46
0.61,2.84,2.8,0.48,0.56,1.52,?,2.54,1.6,?
0.77,1.68,2.24,0.75,?,2.64,?,2.57,?,2.38
0.99,1.28,?,0.59,?,?,3.18,2.79,1.22,?
0.58,1.2,0.18,?,0.54,0.76,3.17,2.69,1.63,2.94
0.64,1.16,?,0.45,1.84,3.16,3.2,2.75,1.54,?
0.74,1.28,2.14,0.5,0.94,2.26,3.2,?,?,2.34
0.7,2.24,2.32,?,0.72,?,?,2.65,?,?
0.64,2.0,1.6,0.41,?,2.22,3.19,2.8,?,2.72
?,?,0.21,0.58,0.98,2.5,3.18,2.9,1.92,2.74
0.96,?,?,0.29,?,1.42,3.18,2.94,2.02,3.02
0.88,0.96,?,?,0.74,?,3.18,3.01,?,2.94
0.7,?,1.15,0.32,?,?,3.18,2.78,1.76,?
?,?,0.91,?,?,1.22,3.18,?,1.92,?
0.7,1.52,2.37,?,0.86,?,3.2,2.86,1.6,2.58
1.38,1.08,?,0.62,0.14,1.46,3.18,2.88,?,2.42
?,1.24,0.15,0.24,1.38,?,?,2.61,?,3.06
0.58,1.48,0.19,0.41,?,0.98,3.16,?,?,3.38
0.67,?,?,?,?,1.9,?,?,1.25,?
?,2.0,0.42,0.56,0.46,?,3.18,2.86,2.05,?
0.64,1.64,0.34,?,0.64,2.22,3.18,3.1,1.98,?
?,1.4,?,0.39,0.7,1.46,3.17,2.9,1.82,3.38
?,1.08,?,0.34,?,1.46,?,?,2.18,?
0.9,1.2,1.24,0.35,0.88,?,?,2.86,1.47,2.94
?,2.96,0.26,0.4,0.56,?,3.18,?,1.44,2.72
0.61,1.08,2.22,0.65,1.2,2.06,3.19,2.62,1.31,2.34
1.02,?,?,0.38,1.1,1.9,3.17,2.93,1.34,3.42
0.42,1.48,2.06,?,0.96,?,3.18,?,1.76,2.86
?,?,?,?,2.54,2.18,3.18,?,?,?
?,0.64,1.12,?,0.8,1.82,3.18,?,1.5,2.56
1.02,?,0.37,?,0.54,?,3.17,2.78,1.66,?
0.61,1.68,0.46,0.37,0.86,?,?,2.94,?,3.12
0.8,1.16,2.43,0.54,1.06,2.28,?,?,1.44,?
0.93,?,?,0.39,0.7,1.7,?,2.82,?,2.88
0.64,1.2,2.27,0.64,?,2.83,3.2,2.79,1.47,?
?,1.4,?,0.64,1.2,2.54,3.18,2.81,1.6,?
?,?,?,0.55,?,3.24,3.2,2.62,?,?
1.98,0.96,?,?,0.16,0.82,?,3.03,1.02,2.78
0.9,1.12,?,?,?,?,3.18,?,2.08,?
0.51,?,?,0.42,?,1.36,?,3.1,?,3.04
1.41,?,0.68,0.37,1.14,1.76,?,2.9,1.5,3.01
?,?,?,?,0.48,1.9,3.18,2.78,1.63,2.88
0.99,1.28,2.32,0.43,?,?,3.18,2.79,1.09,?
0.93,1.0,0.61,0.5,0.8,1.52,3.18,2.77,1.28,2.94
0.51,?,1.92,?,1.04,1.3,3.18,2.8,1.09,2.88
0.54,?,0.72,0.48,0.7,1.36,3.18,2.74,1.5,2.54
?,0.8,0.38,0.67,0.5,1.5,3.18,2.82,?,2.46
0.83,1.04,2.94,0.96,0.88,1.86,3.2,?,?,?
0.74,2.24,?,?,1.22,1.88,?,2.81,1.98,2.58
0.9,1.08,2.48,0.41,0.82,?,3.18,2.83,1.41,3.46
1.31,1.36,1.47,0.56,0.78,2.0,?,2.86,1.63,2.42
0.99,2.96,1.71,0.45,1.36,1.96,?,?,?,2.32
1.28,1.12,1.04,0.42,0.7,1.3,3.18,?,1.86,3.36
0.8,1.76,2.53,?,?,2.22,3.19,2.79,?,2.46
0.83,1.08,0.67,0.35,0.54,?,3.17,?,1.25,3.06
?,1.04,?,0.47,?,2.42,3.17,2.7,1.12,?
2.08,0.92,?,0.4,0.54,?,?,?,1.54,3.42
0.74,?,0.93,0.46,?,?,3.18,?,1.86,2.54
0.7,1.52,0.45,1.65,0.32,0.86,?,2.62,2.05,3.04
1.25,0.92,0.86,0.58,0.66,?,?,2.88,?,2.66
1.92,?,1.12,0.5,0.88,1.96,3.18,2.96,?,2.58
?,1.84,0.24,?,?,1.66,3.17,?,?,3.34
0.7,?,0.72,1.1,0.42,1.54,3.18,?,1.41,2.56
0.64,1.08,0.19,0.39,0.5,0.9,3.17,2.79,?,3.12
0.64,2.36,0.14,?,1.02,1.76,3.18,2.71,1.22,2.42
0.67,?,1.04,0.54,0.74,1.64,3.18,2.86,1.57,2.64
1.38,?,?,0.53,0.88,?,3.18,?,?,3.26
0.56,1.16,0.13,0.49,0.54,0.9,?,2.91,1.54,2.64
1.1,2.04,?,0.54,?,2.28,?,2.74,1.63,2.42
0.64,1.2,2.27,?,?,?,3.2,?,1.47,2.38
?,2.0,2.13,?,?,2.6,3.19,2.67,1.5,2.46
1.12,0.96,?,0.46,0.56,?,3.18,2.98,1.22,2.94
?,?,?,?,0.94,2.14,?,2.79,1.79,2.82
0.9,0.56,1.38,?,0.8,1.9,?,2.91,1.41,?
