@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

0.93,?,2.29,0.62,0.8,?,3.19,2.79,?,2.42
1.02,2.2,2.66,?,?,3.18,3.21,2.63,1.86,?
1.22,0.8,?,0.53,0.24,1.54,?,2.8,?,2.5
?,1.8,0.29,0.57,0.46,?,3.18,2.96,?,2.86
0.51,1.2,1.18,?,?,2.02,3.18,2.78,1.18,?
0.99,?,0.72,0.27,0.74,1.26,3.17,2.89,?,3.66
0.9,1.36,0.26,?,0.86,1.58,3.17,?,?,3.22
?,?,0.22,0.41,0.82,?,3.17,2.81,1.54,2.88
1.12,1.76,1.04,0.64,?,2.14,3.18,?,1.41,2.54
0.7,1.36,?,?,1.5,1.54,3.17,2.82,2.24,3.12
?,1.0,?,0.75,1.66,2.76,?,2.89,1.66,2.62
?,2.96,?,?,0.88,?,?,2.93,?,3.42
0.74,?,2.75,0.45,0.98,?,3.2,2.87,1.38,2.34
?,?,?,0.45,1.26,1.72,?,2.91,2.3,2.74
0.96,1.68,2.29,?,1.2,2.84,?,2.82,2.02,?
?,2.52,1.76,?,1.46,?,?,?,1.41,?
0.86,1.04,1.76,?,?,1.1,3.18,2.73,1.15,?
0.61,1.96,?,0.66,1.34,1.78,3.2,?,?,?
0.67,1.36,?,?,?,3.38,3.18,?,?,2.8
?,1.04,?,0.58,?,1.98,?,2.93,?,2.48
0.86,1.44,1.12,0.41,1.2,2.18,3.18,?,1.06,2.94
0.96,1.44,0.14,0.42,1.06,2.08,3.17,2.74,1.15,3.22
?,1.16,0.29,0.41,1.02,1.36,?,?,1.34,3.66
0.54,1.44,0.3,?,1.02,1.46,?,2.71,1.73,?
1.22,0.96,1.15,0.54,1.1,2.02,3.18,2.77,?,2.46
?,2.84,2.8,0.48,0.56,1.52,3.19,?,1.6,?
0.77,1.68,2.24,0.75,1.28,2.64,?,2.57,1.34,2.38
?,1.28,?,0.59,0.94,?,3.18,?,?,?
0.58,1.2,0.18,0.38,0.54,0.76,3.17,2.69,1.63,?
0.64,?,3.12,0.45,1.84,3.16,3.2,2.75,1.54,2.46
0.74,?,2.14,0.5,0.94,2.26,?,2.78,?,2.34
?,2.24,2.32,0.63,0.72,2.12,?,2.65,?,2.42
0.64,2.0,1.6,0.41,2.08,2.22,3.19,2.8,?,2.72
?,?,?,0.58,0.98,2.5,3.18,2.9,1.92,2.74
