@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,?,?,?,68.0,95.0
2.0,?,76.0,?,?,68.0
2.0,?,97.0,?,?,75.0
2.0,68.0,77.0,95.0,76.0,?
2.0,98.0,54.0,59.0,95.0,86.0
3.0,?,?,93.0,52.0,76.0
3.0,?,85.0,82.0,?,69.0
?,54.0,?,92.0,54.0,?
?,?,?,?,54.0,93.0
?,86.0,?,74.0,?,?
?,107.0,54.0,64.0,103.0,?
3.0,103.0,60.0,?,?,?
3.0,?,?,?,75.0,69.0
3.0,?,54.0,?,103.0,69.0
3.0,63.0,?,?,?,69.0
?,?,79.0,75.0,?,?
5.0,59.0,?,103.0,54.0,86.0
?,?,?,?,56.0,85.0
4.0,?,?,?,65.0,72.0
5.0,?,?,?,?,102.0
?,?,82.0,?,?,?
4.0,105.0,52.0,?,?,78.0
5.0,69.0,?,?,66.0,101.0
?,71.0,123.0,64.0,59.0,?
?,?,?,?,?,91.0
5.0,?,99.0,?,74.0,91.0
5.0,?,133.0,?,54.0,?
5.0,?,53.0,?,117.0,?
?,?,123.0,69.0,61.0,101.0
5.0,79.0,93.0,118.0,90.0,?
?,51.0,115.0,110.0,?,84.0
?,69.0,?,93.0,81.0,79.0
4.0,100.0,?,86.0,112.0,?
?,88.0,?,108.0,71.0,77.0
?,?,84.0,75.0,?,112.0
4.0,79.0,86.0,110.0,?,?
?,87.0,?,?,63.0,71.0
5.0,?,?,?,?,101.0
4.0,?,66.0,?,69.0,71.0
4.0,93.0,79.0,74.0,92.0,90.0
5.0,?,118.0,108.0,63.0,?
?,65.0,103.0,90.0,?,79.0
?,?,89.0,?,89.0,?
4.0,?,?,79.0,85.0,?
5.0,?,?,?,79.0,113.0
?,?,130.0,74.0,53.0,101.0
?,118.0,59.0,?,?,97.0
4.0,101.0,61.0,76.0,113.0,78.0
?,88.0,?,?,83.0,?
?,74.0,87.0,87.0,79.0,?
14.0,148.0,?,104.0,208.0,119.0
?,?,89.0,74.0,89.0,?
?,?,103.0,?,?,85.0
4.0,76.0,92.0,?,90.0,71.0
8.0,94.0,140.0,?,118.0,92.0
8.0,108.0,109.0,?,?,?
6.0,98.0,89.0,?,79.0,79.0
8.0,84.0,?,?,?,?
?,?,74.0,?,143.0,118.0
6.0,74.0,109.0,?,89.0,88.0
?,?,?,94.0,94.0,?
8.0,?,128.0,?,128.0,?
?,64.0,155.0,?,?,?
?,84.0,?,138.0,?,79.0
8.0,108.0,?,94.0,99.0,?
?,89.0,108.0,128.0,116.0,81.0
6.0,103.0,?,?,74.0,79.0
6.0,103.0,109.0,99.0,?,108.0
8.0,?,99.0,94.0,?,?
8.0,108.0,109.0,?,?,?
8.0,?,59.0,84.0,?,?
8.0,?,143.0,?,?,109.0
?,?,153.0,?,?,113.0
?,74.0,?,?,?,104.0
8.0,74.0,?,?,59.0,99.0
?,?,64.0,?,133.0,92.0
?,?,153.0,?,?,99.0
6.0,123.0,68.0,?,128.0,90.0
6.0,?,?,?,64.0,78.0
?,?,59.0,84.0,?,88.0
?,84.0,?,128.0,93.0,?
6.0,?,?,89.0,?,?
?,118.0,?,99.0,134.0,88.0
8.0,?,143.0,84.0,64.0,118.0
?,?,89.0,133.0,?,?
?,98.0,104.0,109.0,?,101.0
8.0,?,143.0,74.0,74.0,?
8.0,?,?,93.0,148.0,?
6.0,?,?,141.0,?,81.0
6.0,?,148.0,?,?,?
?,143.0,69.0,79.0,?,123.0
?,94.0,133.0,84.0,125.0,?
?,84.0,?,113.0,?,90.0
?,84.0,138.0,89.0,?,123.0
6.0,84.0,108.0,133.0,98.0,81.0
6.0,?,84.0,?,?,83.0
8.0,?,?,84.0,?,?
?,148.0,64.0,74.0,?,128.0
?,84.0,?,?,?,?
?,98.0,?,138.0,79.0,79.0
?,133.0,?,84.0,133.0,118.0
6.0,?,113.0,106.0,87.0,88.0
?,?,104.0,84.0,94.0,?
6.0,?,?,?,?,99.0
6.0,?,103.0,98.0,99.0,90.0
8.0,69.0,?,123.0,71.0,97.0
8.0,118.0,94.0,99.0,99.0,143.0
6.0,74.0,?,99.0,?,113.0
?,?,94.0,?,?,92.0
?,?,?,109.0,114.0,168.0
12.0,94.0,?,157.0,133.0,?
?,104.0,123.0,?,?,?
14.0,99.0,?,89.0,?,?
?,113.0,148.0,?,148.0,110.0
?,94.0,163.0,?,94.0,?
?,133.0,104.0,119.0,?,?
14.0,?,69.0,?,?,143.0
12.0,74.0,?,?,74.0,119.0
12.0,?,124.0,?,129.0,?
12.0,?,137.0,148.0,113.0,?
