@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,77.0,79.0,69.0,?,?
2.0,62.0,?,76.0,69.0,68.0
2.0,50.0,97.0,87.0,?,75.0
?,?,?,95.0,76.0,61.0
2.0,98.0,54.0,?,95.0,86.0
3.0,52.0,109.0,93.0,?,?
?,64.0,85.0,82.0,73.0,69.0
3.0,?,107.0,?,?,76.0
3.0,64.0,108.0,?,54.0,?
?,86.0,76.0,74.0,74.0,103.0
3.0,107.0,54.0,64.0,103.0,94.0
3.0,?,?,?,102.0,93.0
?,64.0,?,?,75.0,69.0
?,93.0,54.0,?,103.0,69.0
3.0,63.0,82.0,81.0,78.0,?
?,82.0,79.0,?,?,82.0
5.0,59.0,131.0,?,54.0,86.0
5.0,?,124.0,?,56.0,?
4.0,85.0,?,?,65.0,?
5.0,?,83.0,65.0,114.0,102.0
4.0,93.0,82.0,?,?,?
4.0,105.0,52.0,75.0,113.0,?
?,69.0,118.0,74.0,?,?
?,71.0,123.0,64.0,?,102.0
5.0,88.0,?,?,79.0,91.0
5.0,?,?,89.0,74.0,?
?,69.0,?,74.0,54.0,101.0
?,128.0,53.0,74.0,?,105.0
5.0,74.0,123.0,?,61.0,101.0
5.0,79.0,?,?,90.0,72.0
4.0,51.0,?,110.0,51.0,84.0
?,69.0,?,?,81.0,?
?,100.0,?,?,112.0,?
?,88.0,?,?,?,77.0
?,?,?,75.0,84.0,?
4.0,?,86.0,110.0,?,73.0
?,?,?,112.0,63.0,?
5.0,65.0,128.0,?,56.0,?
4.0,?,66.0,?,?,?
4.0,?,79.0,?,?,?
?,59.0,118.0,108.0,?,?
?,65.0,?,90.0,80.0,79.0
4.0,?,?,?,89.0,111.0
?,93.0,85.0,79.0,85.0,91.0
?,93.0,94.0,79.0,?,113.0
?,74.0,130.0,?,53.0,101.0
?,?,59.0,69.0,?,97.0
4.0,?,61.0,76.0,?,78.0
5.0,88.0,99.0,79.0,83.0,114.0
4.0,74.0,87.0,87.0,?,79.0
14.0,?,?,?,208.0,119.0
5.0,?,?,74.0,89.0,?
4.0,79.0,103.0,68.0,103.0,85.0
4.0,?,92.0,111.0,90.0,71.0
8.0,94.0,140.0,89.0,118.0,92.0
8.0,108.0,?,?,?,143.0
?,98.0,89.0,133.0,79.0,79.0
?,84.0,?,102.0,94.0,90.0
8.0,?,?,?,143.0,118.0
?,74.0,109.0,103.0,89.0,?
8.0,118.0,104.0,?,94.0,118.0
?,?,?,89.0,128.0,?
?,64.0,155.0,?,64.0,97.0
?,?,108.0,138.0,?,79.0
?,?,109.0,94.0,99.0,138.0
?,89.0,108.0,?,116.0,?
?,103.0,79.0,?,?,79.0
?,103.0,109.0,99.0,89.0,108.0
8.0,?,99.0,94.0,94.0,138.0
?,?,109.0,?,?,?
?,138.0,59.0,84.0,138.0,?
?,79.0,143.0,?,69.0,?
8.0,84.0,153.0,79.0,64.0,113.0
8.0,?,148.0,?,64.0,104.0
