@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,?,27.17,?,0.46,?,?,0.88,?,?,?,1.68,?,0.9,0.37,?,0.01,0.02
6.0,0.0,?,0.83,0.5,0.0,?,0.0,?,0.17,0.5,0.0,0.17,?,?,?,0.0,0.0
78.0,78.0,?,7.42,0.5,?,?,2.95,0.76,?,?,2.05,?,?,?,?,?,0.01
8.0,0.0,3.75,0.13,?,0.0,0.0,0.25,0.67,?,0.38,?,0.13,0.0,0.13,1.13,?,0.0
?,?,8.98,0.9,?,0.02,0.17,0.24,?,0.71,?,?,0.22,?,0.1,1.33,0.0,0.0
80.0,?,35.15,5.8,?,?,0.36,2.89,0.91,0.56,2.6,?,0.8,?,0.31,2.28,0.01,0.0
54.0,8.0,16.46,2.39,0.51,?,?,?,0.61,0.96,1.72,1.33,?,1.22,0.35,2.02,0.02,0.0
?,?,27.38,2.98,0.35,?,0.35,1.13,0.73,0.25,?,3.38,0.96,1.83,0.19,?,0.0,?
79.0,0.0,?,1.92,0.55,0.0,?,?,?,1.62,2.76,0.39,?,0.72,0.92,2.14,0.01,0.03
76.0,0.0,22.28,1.87,0.57,?,?,?,?,1.93,?,0.43,?,0.78,?,2.25,?,0.01
63.0,?,14.16,?,0.43,?,?,0.73,?,0.86,?,0.7,0.24,0.59,?,?,?,0.02
1.0,?,15.0,1.0,0.33,0.0,?,?,?,1.0,0.0,?,0.0,1.0,0.0,1.0,?,0.0
63.0,?,14.57,2.68,0.44,?,0.37,?,0.87,1.11,2.1,0.59,?,0.89,0.22,?,?,0.0
69.0,69.0,38.2,?,0.46,0.86,?,?,?,2.2,?,?,1.28,?,?,?,?,0.17
?,16.0,16.48,?,0.48,?,?,?,0.72,1.54,1.58,?,?,0.56,1.36,?,?,?
32.0,32.0,36.47,?,?,?,?,4.78,0.74,0.53,3.63,7.19,1.28,3.66,0.28,?,0.06,0.09
72.0,?,36.54,5.47,?,?,?,2.06,?,1.08,4.51,3.83,1.76,2.24,0.56,?,?,0.03
33.0,?,?,?,?,?,?,0.45,0.47,0.82,?,0.64,?,0.67,0.36,1.79,?,?
72.0,?,?,?,?,?,0.28,1.06,0.84,?,?,3.13,0.5,?,0.08,1.42,0.0,0.0
77.0,?,33.84,?,0.41,1.36,?,?,0.69,?,?,?,1.39,1.57,?,2.14,?,0.08
?,?,?,1.97,?,0.0,?,?,?,1.16,?,0.47,?,?,0.44,1.88,0.0,0.03
?,?,?,?,0.36,0.55,0.3,?,?,?,0.6,?,?,?,?,1.33,?,0.0
?,?,18.4,?,0.39,0.88,0.39,1.28,?,?,?,2.41,?,0.93,0.06,?,?,?
?,7.0,25.67,?,?,?,0.37,?,?,1.33,3.22,?,?,0.78,?,1.78,0.0,?
13.0,1.0,?,0.46,0.33,0.0,0.0,0.15,?,0.31,?,0.54,0.62,?,?,1.23,0.0,?
?,0.0,11.09,1.77,0.53,0.32,0.29,1.09,0.83,?,?,1.18,0.55,0.91,?,1.36,?,0.05
44.0,5.0,?,?,?,?,?,?,0.88,?,1.32,1.45,?,1.05,?,1.61,0.0,0.0
78.0,?,19.81,?,0.44,0.72,0.36,0.97,0.84,?,1.65,3.31,?,1.31,0.08,1.53,?,0.03
80.0,80.0,?,6.71,0.47,1.51,?,2.26,0.77,1.31,?,1.16,?,1.5,?,2.69,?,0.04
81.0,?,25.8,?,?,?,0.32,1.33,0.74,1.31,4.17,1.65,?,?,0.37,?,0.01,?
7.0,?,?,?,?,0.0,0.0,3.14,?,4.43,?,?,0.57,?,0.57,?,?,?
?,3.0,?,2.38,?,?,0.0,1.04,0.83,?,?,?,?,0.62,?,?,?,?
15.0,0.0,8.87,0.93,?,?,?,?,0.7,0.27,?,?,?,?,0.13,?,0.0,?
?,62.0,32.37,2.66,?,1.51,?,?,0.73,?,3.55,2.45,?,?,1.13,?,?,?
37.0,?,?,?,?,1.46,?,?,0.84,0.86,?,?,0.65,0.73,0.68,?,?,0.0
?,?,17.62,?,?,0.39,0.32,2.72,?,?,1.38,2.32,?,1.27,0.07,2.05,?,?
78.0,78.0,29.83,?,?,?,0.27,2.46,?,?,4.81,1.28,?,?,?,2.83,0.03,0.04
?,?,12.54,2.77,0.52,0.8,?,?,0.81,?,1.18,1.32,0.52,?,0.21,1.5,?,?
66.0,?,?,2.33,?,?,0.38,1.53,?,?,?,1.35,?,0.91,?,?,?,?
?,?,?,2.38,0.38,?,?,0.68,?,0.44,1.42,1.46,0.55,?,?,?,0.0,?
6.0,?,?,4.67,?,?,0.44,0.5,1.0,?,?,2.17,?,0.83,0.33,2.5,?,?
25.0,1.0,?,?,0.4,?,?,?,?,0.6,1.48,0.64,0.08,?,?,1.32,0.0,0.0
