@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,75.0,27.17,3.32,0.46,1.32,0.43,0.88,0.73,?,2.35,1.68,0.56,?,0.37,2.74,?,0.02
6.0,0.0,?,0.83,?,0.0,0.0,0.0,?,?,?,0.0,?,?,?,?,?,?
?,78.0,37.42,7.42,0.5,0.06,0.31,2.95,0.76,?,5.58,2.05,?,1.33,?,2.96,0.03,?
?,?,?,0.13,?,0.0,0.0,0.25,0.67,0.25,0.38,?,0.13,0.0,0.13,1.13,0.0,0.0
?,3.0,?,0.9,0.4,?,0.17,?,?,0.71,0.9,0.31,0.22,?,?,?,0.0,?
?,80.0,35.15,?,0.48,?,0.36,?,0.91,?,2.6,?,?,?,0.31,2.28,?,0.0
?,?,?,?,?,0.0,?,1.33,?,?,1.72,?,1.09,?,?,2.02,0.02,0.0
52.0,38.0,?,?,0.35,1.12,0.35,1.13,0.73,0.25,2.23,3.38,0.96,1.83,0.19,?,0.0,?
?,0.0,14.75,1.92,0.55,?,0.0,?,?,1.62,?,0.39,?,0.72,0.92,2.14,0.01,0.03
76.0,0.0,22.28,1.87,0.57,0.0,0.0,2.16,0.69,1.93,4.42,0.43,0.55,0.78,1.89,2.25,?,?
?,0.0,?,2.33,?,0.43,?,?,0.69,0.86,2.44,0.7,?,0.59,0.19,1.89,0.0,?
?,0.0,?,1.0,?,0.0,0.0,0.0,0.0,?,?,0.0,0.0,?,?,?,0.0,?
63.0,6.0,14.57,2.68,0.44,1.24,?,?,0.87,?,2.1,0.59,?,0.89,0.22,1.29,0.0,0.0
69.0,69.0,38.2,?,0.46,0.86,0.32,7.36,?,2.2,?,3.22,1.28,?,0.43,?,?,0.17
?,16.0,16.48,?,0.48,?,0.0,0.83,0.72,?,?,0.15,0.25,0.56,?,1.98,?,0.0
32.0,32.0,36.47,?,0.41,?,?,4.78,?,?,?,7.19,1.28,3.66,0.28,2.97,0.06,0.09
72.0,71.0,?,?,0.39,1.89,0.33,?,?,1.08,?,3.83,?,2.24,0.56,?,?,0.03
33.0,0.0,10.18,?,0.35,?,?,0.45,0.47,0.82,1.64,0.64,0.45,0.67,?,1.79,0.03,0.0
?,34.0,?,?,0.47,0.1,0.28,1.06,?,?,1.44,?,?,0.75,?,1.42,0.0,0.0
?,?,33.84,3.97,0.41,?,?,1.66,0.69,1.29,?,3.04,?,?,0.27,?,?,0.08
?,?,?,?,0.43,?,0.0,0.53,?,1.16,2.28,?,0.44,?,?,1.88,0.0,0.03
40.0,?,16.05,?,0.36,0.55,?,0.63,?,0.13,0.6,?,0.43,0.8,?,?,?,0.0
?,2.0,?,2.1,0.39,0.88,0.39,1.28,0.78,0.14,1.08,2.41,?,0.93,0.06,1.59,0.0,?
?,?,?,5.33,0.55,1.11,0.37,2.11,?,?,?,?,?,0.78,1.0,?,?,0.11
?,1.0,7.0,0.46,?,0.0,?,0.15,0.33,0.31,1.46,0.54,0.62,0.46,?,1.23,?,?
22.0,?,11.09,?,0.53,?,0.29,?,0.83,?,?,?,0.55,?,?,?,?,0.05
44.0,5.0,17.8,3.52,?,1.0,0.32,?,0.88,0.25,?,?,?,1.05,0.27,1.61,0.0,0.0
78.0,18.0,?,?,0.44,?,0.36,0.97,?,0.22,?,3.31,?,1.31,0.08,?,?,?
80.0,80.0,34.98,?,0.47,?,?,?,?,1.31,?,1.16,0.31,?,1.39,2.69,?,0.04
81.0,58.0,25.8,?,?,?,0.32,1.33,0.74,1.31,4.17,?,0.73,?,?,2.28,?,?
?,?,?,4.29,?,0.0,?,?,0.76,4.43,6.57,?,?,1.57,?,3.43,?,0.0
50.0,?,?,?,?,?,0.0,1.04,0.83,?,1.48,?,0.24,0.62,?,1.38,?,0.02
?,?,?,0.93,0.36,?,0.25,0.47,?,0.27,1.27,0.2,?,?,0.13,1.27,0.0,?
67.0,62.0,32.37,2.66,?,?,0.36,1.15,0.73,1.1,?,2.45,0.78,0.96,?,2.07,?,?
37.0,25.0,24.84,3.76,0.52,1.46,0.41,?,0.84,0.86,2.95,?,?,?,?,?,0.03,?
74.0,?,?,?,0.41,?,?,2.72,?,0.24,1.38,2.32,0.35,?,?,?,0.01,?
78.0,?,29.83,?,?,0.36,?,2.46,?,?,?,1.28,?,?,?,2.83,0.03,0.04
56.0,?,12.54,?,?,0.8,?,0.75,0.81,?,1.18,?,?,0.96,0.21,1.5,?,0.0
?,?,?,?,0.41,?,0.38,?,0.83,0.21,1.23,1.35,?,?,?,?,?,?
71.0,39.0,22.77,2.38,0.38,?,?,0.68,?,0.44,?,?,0.55,0.76,0.17,?,?,0.0
?,5.0,30.17,?,0.46,?,0.44,0.5,?,0.83,3.0,2.17,0.67,?,0.33,?,?,?
?,?,11.68,?,?,?,0.36,0.96,?,?,?,0.64,0.08,1.12,?,1.32,?,0.0
?,?,?,?,?,1.58,0.39,0.85,?,?,2.05,3.88,0.84,1.13,?,?,?,0.04
33.0,29.0,23.15,?,0.59,?,0.0,?,0.16,?,5.94,?,0.61,?,1.33,3.55,?,0.0
?,?,34.1,5.51,0.42,2.15,?,?,0.91,?,2.78,5.6,1.12,?,0.12,2.1,?,?
82.0,24.0,?,3.35,?,?,0.0,?,0.55,?,3.99,?,0.61,?,?,?,?,0.02
80.0,38.0,?,?,?,1.45,0.39,?,0.75,?,?,?,0.73,?,?,?,0.0,0.04
?,?,27.78,5.9,0.48,?,0.3,2.15,0.74,?,?,?,?,2.23,0.88,2.69,0.0,?
79.0,?,19.75,1.52,0.4,?,0.36,0.47,?,?,?,1.2,0.57,?,?,1.97,?,0.01
69.0,69.0,32.3,6.86,?,?,?,?,0.63,3.01,7.14,?,?,?,?,?,0.07,?
65.0,?,?,2.55,?,?,?,0.54,?,0.8,?,?,?,?,0.37,?,?,?
?,?,?,1.86,?,?,?,0.3,?,?,?,?,0.48,?,0.76,1.76,0.0,?
?,?,?,7.91,0.56,?,0.0,3.65,?,?,8.88,?,?,2.72,0.46,3.46,?,?
70.0,70.0,36.07,?,0.52,0.11,0.36,6.71,0.8,?,7.91,2.37,0.61,?,0.97,?,?,?
?,0.0,?,?,?,?,0.0,?,?,?,?,0.0,1.0,0.0,?,?,0.0,?
?,1.0,16.7,?,?,0.28,0.32,?,0.87,0.25,0.87,2.55,0.36,1.03,0.04,0.72,?,0.0
76.0,?,?,5.42,?,0.0,0.0,2.26,?,2.36,?,?,?,1.72,?,?,?,?
82.0,82.0,?,4.99,?,1.0,?,?,?,0.84,2.55,2.35,?,2.01,0.35,2.73,?,?
?,52.0,?,?,0.49,?,0.26,1.47,0.64,?,2.45,?,?,0.91,?,1.38,0.0,?
?,0.0,?,?,0.35,0.0,?,0.05,?,0.57,?,0.05,0.05,0.1,?,0.9,0.0,?
?,4.0,?,?,?,0.0,?,?,?,2.02,?,?,0.27,0.44,0.08,2.21,0.0,?
82.0,?,35.59,7.01,?,?,?,?,0.82,0.66,1.96,?,0.84,?,?,?,?,0.11
45.0,0.0,11.56,?,?,?,0.27,0.29,0.87,?,0.64,1.96,?,?,?,?,?,0.0
57.0,?,?,1.19,0.46,?,0.29,0.84,0.67,?,0.82,0.33,?,?,?,?,0.0,0.0
