@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,75.0,27.17,3.32,0.46,?,0.43,?,0.73,?,2.35,?,?,?,?,2.74,?,?
6.0,0.0,4.83,0.83,0.5,?,?,0.0,?,0.17,0.5,0.0,0.17,0.33,0.17,0.83,0.0,0.0
78.0,78.0,37.42,?,?,?,0.31,?,0.76,?,?,?,0.86,1.33,?,2.96,?,?
?,?,3.75,?,0.17,?,?,0.25,?,?,?,?,0.13,?,0.13,1.13,0.0,?
?,?,8.98,0.9,?,?,?,0.24,0.92,?,0.9,0.31,0.22,0.43,0.1,1.33,0.0,0.0
80.0,80.0,35.15,5.8,0.48,1.81,?,2.89,?,0.56,?,2.64,0.8,1.61,0.31,2.28,0.01,?
54.0,8.0,16.46,2.39,0.51,0.0,0.0,?,0.61,0.96,1.72,1.33,1.09,?,0.35,2.02,0.02,0.0
52.0,?,27.38,?,0.35,?,0.35,1.13,?,0.25,2.23,3.38,0.96,1.83,0.19,1.98,?,0.02
?,0.0,14.75,1.92,0.55,0.0,?,0.85,?,1.62,2.76,0.39,0.3,0.72,0.92,?,0.01,0.03
76.0,?,22.28,1.87,0.57,?,?,2.16,?,1.93,?,0.43,0.55,0.78,1.89,?,?,?
63.0,?,14.16,2.33,?,0.43,0.35,?,0.69,0.86,2.44,?,0.24,?,?,?,0.0,?
1.0,0.0,15.0,1.0,?,?,?,?,?,1.0,0.0,?,?,1.0,0.0,1.0,?,0.0
63.0,6.0,14.57,2.68,0.44,?,0.37,1.13,?,1.11,2.1,0.59,0.4,0.89,0.22,1.29,0.0,?
69.0,?,?,9.97,0.46,?,0.32,7.36,?,?,4.38,?,1.28,3.03,0.43,3.26,0.03,0.17
80.0,?,16.48,0.95,?,0.0,0.0,0.83,0.72,?,1.58,0.15,?,0.56,?,1.98,?,0.0
32.0,?,?,?,0.41,?,0.35,?,0.74,0.53,3.63,7.19,1.28,?,?,?,0.06,?
72.0,?,36.54,?,?,?,?,2.06,0.65,1.08,?,3.83,?,2.24,0.56,?,?,0.03
33.0,0.0,10.18,0.85,?,0.0,?,0.45,0.47,0.82,1.64,?,0.45,?,0.36,1.79,?,0.0
72.0,34.0,?,2.47,?,?,?,?,0.84,?,1.44,3.13,0.5,?,0.08,?,?,?
77.0,77.0,33.84,3.97,?,1.36,0.35,1.66,0.69,1.29,3.01,?,1.39,1.57,0.27,?,0.01,?
?,?,?,1.97,0.43,0.0,0.0,0.53,0.57,?,?,?,?,?,0.44,?,0.0,?
40.0,?,?,1.43,?,0.55,0.3,?,0.93,0.13,?,2.28,?,?,0.0,?,0.03,0.0
?,2.0,18.4,2.1,?,?,?,?,?,?,?,2.41,?,?,?,1.59,?,0.0
9.0,?,?,5.33,?,?,0.37,?,0.68,1.33,?,1.11,?,0.78,?,?,?,?
13.0,1.0,7.0,0.46,?,0.0,?,0.15,0.33,?,?,?,0.62,?,0.15,1.23,?,?
22.0,?,11.09,?,?,?,?,1.09,?,0.14,?,1.18,?,?,?,1.36,?,?
44.0,?,?,?,?,?,?,1.45,?,?,?,?,0.52,?,0.27,1.61,0.0,?
?,?,?,?,0.44,0.72,0.36,?,?,0.22,1.65,?,?,?,?,?,0.01,0.03
80.0,?,34.98,6.71,?,?,0.37,2.26,?,?,?,?,0.31,1.5,?,2.69,0.04,?
81.0,58.0,?,3.35,0.49,0.81,0.32,1.33,?,1.31,4.17,1.65,0.73,1.38,?,2.28,0.01,0.11
7.0,?,?,?,0.44,?,?,?,?,4.43,6.57,?,?,1.57,0.57,3.43,0.0,0.0
50.0,3.0,?,?,0.51,0.0,?,1.04,?,?,1.48,0.38,?,?,0.54,?,?,?
?,0.0,8.87,?,?,0.07,0.25,0.47,?,?,1.27,0.2,0.27,?,0.13,?,?,?
?,62.0,?,?,?,?,?,?,0.73,?,?,?,?,0.96,1.13,?,?,0.01
37.0,?,?,3.76,?,1.46,0.41,1.16,?,0.86,2.95,?,0.65,0.73,?,?,0.03,0.0
?,11.0,?,2.7,?,0.39,0.32,2.72,0.83,0.24,?,2.32,0.35,?,?,2.05,0.01,0.03
?,78.0,29.83,6.0,0.45,0.36,?,2.46,0.8,1.59,?,?,?,1.68,?,?,?,?
?,16.0,12.54,?,?,?,?,?,?,?,?,1.32,?,0.96,0.21,?,0.02,0.0
?,1.0,?,?,?,?,?,1.53,0.83,0.21,?,?,0.64,?,0.08,1.21,0.02,?
