@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,?,?,3.32,?,1.32,?,0.88,0.73,?,?,1.68,?,?,?,?,0.01,0.02
6.0,0.0,?,?,?,?,?,0.0,?,0.17,?,0.0,0.17,0.33,?,?,0.0,?
78.0,78.0,37.42,?,0.5,?,?,?,?,2.46,?,?,?,?,?,2.96,?,0.01
?,0.0,3.75,?,?,0.0,?,0.25,0.67,?,?,0.25,?,0.0,0.13,1.13,0.0,?
51.0,3.0,?,0.9,0.4,0.02,0.17,0.24,?,0.71,0.9,?,0.22,?,0.1,1.33,0.0,0.0
?,80.0,35.15,5.8,0.48,?,0.36,2.89,0.91,0.56,?,2.64,0.8,1.61,0.31,?,0.01,0.0
54.0,8.0,16.46,2.39,?,?,0.0,1.33,0.61,0.96,1.72,1.33,1.09,1.22,0.35,?,0.02,0.0
?,38.0,27.38,?,?,?,0.35,1.13,0.73,?,2.23,3.38,0.96,?,?,?,?,0.02
79.0,0.0,14.75,?,0.55,?,?,0.85,?,?,2.76,?,0.3,?,0.92,2.14,0.01,0.03
76.0,?,?,1.87,?,?,?,2.16,0.69,?,4.42,0.43,0.55,?,?,2.25,?,?
63.0,0.0,14.16,2.33,0.43,0.43,?,0.73,0.69,?,2.44,?,?,?,0.19,?,0.0,0.02
?,?,15.0,?,0.33,0.0,?,0.0,0.0,1.0,0.0,0.0,?,1.0,0.0,1.0,?,0.0
63.0,?,14.57,2.68,?,?,?,?,?,1.11,2.1,0.59,0.4,?,0.22,1.29,?,0.0
69.0,?,38.2,?,0.46,?,0.32,7.36,0.83,2.2,4.38,?,1.28,?,0.43,3.26,0.03,0.17
80.0,16.0,16.48,0.95,?,?,?,0.83,?,1.54,?,?,?,?,?,?,0.01,0.0
32.0,32.0,?,?,0.41,1.97,0.35,4.78,?,0.53,3.63,?,?,?,0.28,2.97,0.06,?
