@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

?,?,27.17,?,?,1.32,?,0.88,0.73,0.72,?,1.68,0.56,0.9,?,2.74,0.01,0.02
6.0,0.0,?,0.83,0.5,?,?,?,0.0,0.17,?,0.0,0.17,?,?,?,0.0,?
?,78.0,?,?,0.5,0.06,?,2.95,0.76,?,5.58,?,?,?,0.62,2.96,0.03,0.01
8.0,?,3.75,0.13,0.17,?,?,0.25,0.67,?,0.38,0.25,0.13,0.0,0.13,1.13,?,0.0
51.0,3.0,8.98,?,0.4,?,0.17,0.24,?,?,0.9,?,0.22,0.43,?,1.33,0.0,?
80.0,80.0,35.15,5.8,0.48,?,0.36,2.89,?,0.56,2.6,?,?,?,?,2.28,?,?
54.0,8.0,16.46,2.39,?,?,?,1.33,0.61,0.96,1.72,1.33,?,?,0.35,2.02,?,?
?,38.0,?,?,0.35,1.12,?,1.13,0.73,?,2.23,3.38,?,1.83,?,1.98,0.0,?
?,0.0,?,?,0.55,0.0,0.0,?,?,1.62,2.76,0.39,?,?,0.92,2.14,0.01,?
?,0.0,22.28,1.87,0.57,0.0,0.0,2.16,?,?,?,0.43,?,0.78,?,?,0.01,0.01
63.0,0.0,?,2.33,0.43,?,0.35,0.73,0.69,0.86,?,?,?,?,0.19,1.89,?,0.02
1.0,0.0,15.0,1.0,0.33,0.0,?,?,?,?,0.0,0.0,0.0,1.0,0.0,?,?,0.0
?,?,14.57,2.68,?,1.24,0.37,1.13,0.87,1.11,2.1,?,0.4,0.89,0.22,1.29,0.0,?
?,69.0,38.2,?,?,0.86,0.32,7.36,0.83,2.2,4.38,?,?,3.03,0.43,?,?,0.17
80.0,16.0,?,?,0.48,0.0,?,0.83,?,1.54,1.58,?,?,0.56,?,1.98,?,?
32.0,32.0,36.47,?,0.41,1.97,0.35,?,0.74,0.53,?,7.19,?,3.66,0.28,?,0.06,0.09
72.0,?,?,5.47,0.39,1.89,0.33,2.06,?,?,4.51,3.83,1.76,2.24,0.56,2.25,?,?
?,0.0,10.18,?,0.35,0.0,0.0,0.45,0.47,0.82,?,0.64,0.45,?,0.36,1.79,0.03,0.0
72.0,34.0,?,2.47,?,0.1,?,1.06,?,0.36,1.44,?,?,?,0.08,1.42,0.0,0.0
77.0,77.0,33.84,3.97,0.41,?,0.35,1.66,0.69,?,3.01,?,1.39,?,0.27,2.14,0.01,?
