@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

?,?,2.29,0.62,0.8,2.42,3.19,2.79,?,?
1.02,?,2.66,0.64,?,3.18,?,2.63,?,?
?,0.8,0.54,0.53,?,?,?,?,1.31,2.5
0.45,1.8,?,0.57,?,1.52,?,2.96,?,2.86
?,1.2,1.18,0.57,?,2.02,3.18,2.78,1.18,?
?,1.28,0.72,?,0.74,?,3.17,2.89,?,3.66
0.9,1.36,0.26,0.32,?,?,3.17,?,1.22,3.22
0.74,?,0.22,?,0.82,1.5,3.17,?,1.54,2.88
1.12,1.76,?,0.64,0.82,2.14,?,?,1.41,?
0.7,1.36,0.22,?,1.5,?,?,?,2.24,3.12
1.47,?,?,0.75,1.66,?,3.18,?,1.66,2.62
?,?,?,0.38,0.88,2.08,?,?,1.66,?
0.74,?,?,0.45,0.98,?,3.2,2.87,?,?
0.58,?,2.27,0.45,1.26,1.72,?,?,2.3,2.74
?,?,2.29,?,?,?,3.2,?,?,?
1.25,2.52,?,?,1.46,2.08,3.19,2.74,?,2.32
?,1.04,?,?,?,?,3.18,2.73,1.15,2.98
0.61,?,2.49,0.66,?,?,3.2,?,?,?
?,1.36,1.36,?,?,3.38,3.18,2.86,1.79,2.8
0.8,1.04,2.1,?,1.18,?,?,2.93,?,?
0.86,1.44,?,?,?,2.18,3.18,2.7,?,?
0.96,1.44,0.14,?,1.06,2.08,?,?,?,3.22
0.93,1.16,0.29,?,?,1.36,?,?,?,3.66
0.54,?,?,?,?,?,3.17,2.71,?,3.04
1.22,0.96,1.15,0.54,1.1,2.02,3.18,2.77,?,?
?,?,?,0.48,0.56,1.52,3.19,2.54,?,?
?,?,?,0.75,?,?,?,?,?,?
0.99,1.28,?,?,0.94,1.9,3.18,?,?,2.4
?,1.2,0.18,0.38,0.54,?,?,2.69,?,?
?,?,?,?,?,?,?,?,1.54,2.46
?,?,2.14,?,0.94,2.26,3.2,2.78,?,2.34
0.7,?,2.32,?,?,2.12,?,?,?,2.42
?,2.0,1.6,0.41,?,?,?,2.8,1.76,?
?,1.12,?,0.58,0.98,?,?,2.9,1.92,?
0.96,?,?,?,0.98,?,?,2.94,2.02,3.02
0.88,0.96,1.18,0.43,?,?,3.18,3.01,?,?
?,?,?,0.32,0.4,1.1,?,?,1.76,?
1.02,1.36,0.91,?,?,1.22,3.18,?,?,3.2
0.7,?,?,0.62,?,1.68,?,?,1.6,2.58
?,1.08,?,0.62,?,1.46,?,?,1.66,2.42
?,1.24,0.15,0.24,?,?,?,?,1.02,?
?,?,0.19,?,?,0.98,3.16,?,?,3.38
?,1.24,0.61,0.24,?,1.9,3.18,?,?,2.88
1.02,?,0.42,0.56,0.46,?,3.18,?,2.05,2.66
0.64,?,?,?,0.64,2.22,3.18,?,?,?
?,?,?,?,0.7,1.46,3.17,?,?,3.38
?,1.08,0.77,0.34,1.06,?,?,3.15,?,3.22
?,?,?,0.35,?,?,3.18,?,1.47,2.94
0.45,?,?,0.4,?,1.68,3.18,?,1.44,?
?,?,?,0.65,?,2.06,3.19,2.62,1.31,2.34
?,1.2,?,?,1.1,?,3.17,2.93,?,3.42
?,1.48,2.06,0.48,?,?,?,2.71,?,?
0.8,1.88,0.66,0.47,?,2.18,3.18,2.59,?,?
1.02,0.64,1.12,?,0.8,1.82,3.18,2.82,?,?
1.02,1.2,0.37,0.58,0.54,?,?,?,?,?
0.61,1.68,0.46,?,?,?,3.17,2.94,?,3.12
0.8,?,?,?,?,?,3.19,2.86,1.44,2.48
?,1.48,?,0.39,?,?,?,2.82,?,2.88
?,?,2.27,0.64,1.42,2.83,3.2,?,?,2.38
0.83,1.4,1.23,0.64,?,2.54,3.18,2.81,1.6,2.54
?,1.92,3.11,?,1.46,?,3.2,2.62,?,?
?,0.96,?,?,0.16,0.82,3.18,3.03,1.02,?
?,1.12,?,0.45,?,1.1,3.18,?,?,2.96
?,1.6,?,?,?,1.36,?,3.1,1.34,3.04
1.41,1.12,?,0.37,1.14,1.76,3.18,2.9,?,3.01
1.47,0.72,?,0.62,0.48,1.9,3.18,?,?,2.88
?,1.28,?,?,?,1.06,3.18,2.79,?,?
?,?,?,?,?,?,3.18,2.77,?,?
0.51,?,?,?,1.04,1.3,3.18,2.8,1.09,2.88
?,1.44,0.72,?,0.7,1.36,?,?,1.5,2.54
1.6,?,?,0.67,?,?,3.18,?,?,2.46
0.83,1.04,2.94,0.96,0.88,?,?,2.82,?,2.34
?,2.24,0.14,?,?,?,3.17,2.81,?,?
0.9,1.08,2.48,?,0.82,1.78,3.18,2.83,?,3.46
1.31,?,1.47,?,0.78,2.0,?,2.86,1.63,?
0.99,2.96,?,0.45,1.36,?,?,2.69,?,2.32
1.28,1.12,1.04,?,0.7,?,3.18,2.81,?,?
0.8,1.76,?,?,?,?,?,2.79,1.63,2.46
?,1.08,0.67,?,0.54,1.06,3.17,2.78,?,?
0.7,?,?,0.47,0.78,?,3.17,?,?,?
2.08,?,?,?,0.54,?,?,?,1.54,?
?,1.32,0.93,?,0.66,1.82,?,2.83,?,2.54
?,?,?,1.65,0.32,0.86,?,?,?,3.04
?,?,0.86,?,?,?,3.18,2.88,1.12,2.66
?,?,?,?,?,?,?,2.96,1.86,?
