@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

M,0.455,0.365,0.095,0.514,0.2245,?,0.15,15
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
?,?,0.42,?,?,0.2565,0.1415,0.21,?
M,0.44,0.365,0.125,0.516,?,0.114,?,10
I,0.33,0.255,?,?,?,0.0395,0.055,7
?,0.425,?,0.095,0.3515,0.141,?,0.12,8
F,?,0.415,0.15,?,0.237,0.1415,0.33,20
?,?,0.425,0.125,0.768,0.294,0.1495,?,16
M,0.475,0.37,?,0.5095,?,0.1125,0.165,9
F,?,0.44,0.15,0.8945,0.3145,0.151,0.32,19
?,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
M,0.43,?,0.11,0.406,0.1675,?,0.135,10
M,?,?,?,?,0.2175,?,?,11
F,?,0.405,?,?,?,?,0.205,10
?,0.47,?,?,0.4755,0.1675,0.0805,?,10
?,?,0.4,0.13,0.6645,?,?,0.24,12
I,0.355,0.28,0.085,?,0.095,?,?,7
?,0.44,?,?,0.451,?,0.087,0.13,10
M,?,0.295,0.08,?,?,?,?,7
M,?,0.32,0.1,0.381,0.1705,?,?,?
?,0.355,0.28,0.095,?,?,?,?,?
?,?,0.275,0.1,0.2255,?,0.049,?,10
F,0.565,0.44,?,0.9395,0.4275,?,0.27,12
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,9
F,?,?,?,1.1615,?,0.301,0.305,?
?,?,0.44,?,0.9285,0.3825,0.188,0.3,?
F,0.58,?,0.185,?,0.3945,?,0.285,11
?,0.59,0.445,?,?,0.356,?,?,?
?,0.605,0.475,?,0.9365,?,?,?,?
?,?,0.425,?,?,0.393,0.227,?,11
M,?,0.47,?,0.9975,?,?,?,10
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15
?,?,?,0.165,?,?,0.3575,0.35,18
?,0.68,?,?,1.798,?,0.3925,0.455,19
?,?,0.55,0.2,1.7095,?,?,0.49,13
M,?,0.355,?,0.4795,?,0.124,0.125,?
?,?,0.475,0.155,1.217,0.5305,0.3075,?,16
?,?,0.355,0.105,0.5225,?,0.1165,0.145,8
F,0.575,?,?,?,?,?,0.26,11
?,0.355,0.29,0.09,?,0.134,0.086,?,9
?,?,?,0.105,?,0.1865,0.091,0.115,?
F,?,?,0.135,0.8515,0.362,?,0.27,14
I,0.24,0.175,0.045,?,?,0.0235,0.02,5
?,0.205,?,?,0.042,0.0255,0.015,0.012,5
?,?,0.15,0.05,0.042,?,?,0.015,?
I,?,?,0.095,0.203,0.0875,?,?,?
M,?,0.37,?,0.5795,0.293,?,?,9
F,?,0.375,0.12,0.4605,0.1775,0.11,?,?
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,?
F,0.525,?,0.16,?,0.3545,?,?,9
?,0.52,?,0.12,?,?,0.111,0.19,?
M,?,0.32,0.095,0.303,0.1335,0.06,0.1,?
?,0.485,0.36,0.13,?,0.2595,?,?,10
F,?,0.36,0.12,?,0.2105,0.1055,0.15,?
M,0.405,0.31,0.1,?,0.173,0.0915,?,7
F,0.5,?,?,0.6615,?,0.1755,0.22,?
M,?,?,?,?,0.192,?,?,?
?,?,0.385,0.135,0.5895,0.2765,0.12,?,8
I,?,?,0.06,0.086,?,0.014,?,4
?,0.505,?,?,0.583,0.246,0.13,0.175,7
M,?,0.345,0.105,?,0.18,?,0.135,7
?,0.505,?,0.11,0.625,?,?,0.175,9
F,?,0.41,0.13,?,?,0.1935,0.2,10
M,0.425,0.325,?,0.3785,0.1705,?,0.1,7
M,?,?,0.12,?,?,?,0.185,8
M,?,?,?,0.48,0.234,0.1015,?,8
F,0.565,?,0.16,0.915,?,?,?,?
?,0.595,0.495,0.185,1.285,0.416,0.224,0.485,?
F,0.475,0.39,0.12,?,0.2135,?,?,10
?,?,?,0.07,?,?,0.0405,0.045,?
M,0.555,0.425,0.13,?,?,0.168,?,13
?,0.4,?,0.11,?,?,0.0985,?,8
?,?,0.475,?,?,0.48,?,0.425,20
?,?,0.48,0.175,1.185,0.474,0.261,?,11
F,0.605,0.45,?,1.098,0.481,0.2895,?,13
F,0.6,?,0.15,?,0.4425,?,?,15
M,?,0.475,0.14,0.944,0.3625,0.189,0.315,9
?,0.6,0.47,?,?,0.363,0.194,0.305,?
?,?,?,0.14,?,?,?,0.285,11
F,0.615,?,0.17,?,0.4695,?,0.345,?
F,0.575,?,0.14,0.941,?,?,?,9
?,0.62,0.51,?,?,?,0.192,?,12
F,?,?,?,?,?,0.225,0.32,16
M,0.595,0.475,?,?,?,0.234,?,21
M,0.58,0.45,?,1.013,?,?,0.36,14
F,0.57,0.465,?,1.295,?,?,?,?
?,?,0.465,0.14,?,0.4825,0.205,?,13
M,?,?,0.16,?,0.3305,0.2075,?,?
F,0.46,0.355,?,0.517,0.2205,0.114,?,?
?,0.575,0.45,0.16,?,0.3135,?,0.33,12
?,?,?,?,?,0.341,0.1675,0.255,?
M,?,?,?,?,0.307,0.1525,0.26,12
M,0.595,0.465,0.175,?,0.4015,?,0.39,13
F,0.625,?,?,1.262,0.507,?,0.39,10
M,?,0.56,?,?,0.588,0.3425,?,15
?,?,0.535,0.195,?,?,0.388,?,14
M,?,0.435,?,0.725,?,0.1385,?,?
?,0.47,0.375,?,0.523,0.214,?,0.145,8
M,0.47,?,?,0.5225,0.201,0.133,0.165,7
?,0.475,0.375,0.125,?,?,0.085,0.155,10
?,?,?,?,0.2315,0.105,0.046,0.075,7
M,0.55,?,0.145,0.843,0.328,0.1915,0.255,15
M,?,0.435,?,0.883,?,0.164,0.335,15
M,?,0.415,?,?,?,0.1675,0.205,10
M,0.605,?,0.16,1.1735,0.4975,0.2405,?,12
F,?,0.41,0.155,0.727,0.291,0.1835,0.235,?
?,?,0.43,?,0.802,0.2935,0.183,?,?
F,0.5,0.4,0.125,?,0.261,0.1315,0.22,?
?,0.51,0.39,0.135,?,?,0.179,?,9
F,0.435,0.395,?,0.3635,0.136,0.098,?,9
M,0.495,0.395,?,?,?,0.1345,?,9
?,?,?,?,0.431,0.172,0.107,0.175,9
?,?,0.32,?,0.3325,?,0.0635,0.105,?
M,0.425,?,?,0.393,0.13,0.063,0.165,?
F,?,0.41,?,?,?,?,?,?
F,?,0.415,0.115,?,0.233,0.1585,0.18,?
F,?,0.375,0.135,?,?,0.102,0.22,?
M,0.44,0.34,0.105,0.402,?,0.0955,?,?
F,0.56,0.43,?,0.8825,0.3465,?,0.31,9
M,?,0.305,0.085,?,?,0.0595,0.085,?
?,0.47,?,?,0.4205,?,?,?,?
?,0.385,0.295,0.085,?,?,0.0575,0.085,?
F,?,0.425,?,0.766,0.304,?,0.255,14
?,?,0.265,0.075,?,0.09,0.051,0.07,6
I,0.36,?,0.08,0.1755,?,0.0505,0.07,6
I,?,?,?,?,0.0285,0.0235,0.03,?
I,0.375,0.275,0.09,?,0.1075,0.0545,?,6
I,0.385,0.29,0.085,?,0.112,0.061,?,8
M,0.7,0.535,0.16,1.7255,0.63,0.2635,?,?
?,?,?,0.165,1.959,0.7665,?,0.78,?
M,?,0.48,0.165,1.262,0.4835,0.283,0.41,17
F,?,0.35,0.125,0.4035,0.175,0.063,0.129,9
?,0.325,0.26,0.09,0.1915,0.085,?,0.062,7
I,0.35,0.26,0.095,0.211,?,?,0.068,7
?,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7
F,?,0.33,?,?,0.1635,0.081,0.1355,?
F,?,0.23,0.08,0.156,0.0675,?,0.048,?
M,0.345,?,?,?,?,0.0295,?,?
?,0.405,0.325,?,?,0.151,0.063,?,?
M,0.375,?,?,0.253,?,0.0575,0.0925,?
?,?,0.445,?,?,0.341,0.2055,?,?
?,0.55,0.45,0.145,?,?,0.1435,?,?
?,?,?,?,1.3445,0.519,?,0.4465,16
M,?,0.455,0.155,0.797,0.34,0.19,?,?
M,?,0.375,0.13,0.5175,0.2075,?,?,?
F,0.49,?,0.125,0.549,?,?,0.174,10
?,0.46,?,0.12,0.515,0.224,?,0.1565,?
?,0.28,?,?,0.127,0.052,?,?,9
I,0.175,0.13,?,0.0315,0.0105,0.0065,0.0125,?
I,0.17,0.13,0.095,?,0.013,0.008,?,4
M,0.59,?,?,?,?,?,?,15
?,0.605,?,?,1.1185,0.469,0.2585,0.335,?
F,0.635,0.515,?,?,0.5065,0.305,0.45,?
F,0.605,0.485,0.16,?,0.37,0.2355,0.355,10
F,?,?,?,?,0.387,?,0.31,?
?,?,0.405,0.13,0.722,0.32,?,?,10
F,0.575,0.46,?,0.994,0.392,?,0.34,?
?,?,0.485,?,1.514,0.546,0.2615,?,16
?,0.58,0.455,?,?,?,0.2135,?,?
?,0.575,0.46,0.165,1.124,0.2985,0.1785,?,13
?,?,?,?,1.056,?,0.2475,?,13
F,0.605,?,0.16,?,0.53,0.2575,0.28,?
?,?,0.485,?,1.2445,0.544,0.297,?,?
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
?,0.65,?,0.23,?,?,0.2895,0.815,16
M,0.725,0.57,?,2.55,?,0.483,0.725,?
F,?,?,0.175,?,0.765,?,?,20
?,?,0.57,?,?,0.625,?,?,20
M,0.705,0.56,0.22,1.981,?,0.3085,0.76,?
F,0.68,0.515,0.175,1.6185,0.5125,0.409,?,12
?,?,0.55,?,1.9565,0.7125,0.541,0.59,14
F,?,?,?,0.775,0.308,0.169,0.255,7
M,0.525,?,0.155,1.065,?,0.233,0.285,8
?,0.52,?,0.115,0.776,?,?,?,?
I,0.235,0.16,0.04,0.048,?,?,?,5
I,0.36,0.26,0.09,0.1785,?,?,0.075,?
I,0.315,0.21,?,?,0.06,0.0375,?,5
I,0.315,0.245,0.085,?,?,0.0475,0.05,8
?,0.225,?,0.045,0.0465,?,?,?,?
M,0.58,?,0.15,?,0.385,0.2165,0.35,?
?,0.57,0.48,0.18,0.9395,?,0.2,0.295,14
?,?,0.51,?,1.368,?,0.266,0.57,?
