@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

?,0.455,0.365,?,0.514,0.2245,0.101,?,?
M,0.35,?,0.09,?,?,0.0485,0.07,7
?,0.53,?,?,0.677,0.2565,?,?,9
M,?,0.365,?,?,0.2155,0.114,0.155,10
?,0.33,?,0.08,?,0.0895,?,0.055,?
?,0.425,0.3,?,0.3515,0.141,0.0775,0.12,8
?,?,0.415,?,0.7775,0.237,0.1415,0.33,20
F,?,0.425,?,?,?,?,?,?
M,?,0.37,?,0.5095,?,0.1125,0.165,9
F,0.55,0.44,0.15,?,?,0.151,0.32,?
?,?,?,?,?,?,0.1475,?,14
M,0.43,0.35,0.11,?,0.1675,0.081,0.135,10
?,?,?,0.135,0.5415,?,0.095,0.19,?
F,?,?,0.145,0.6845,0.2725,0.171,0.205,?
?,?,?,0.1,0.4755,?,0.0805,?,?
M,0.5,0.4,?,?,?,?,?,12
?,?,?,?,?,0.095,?,0.115,7
?,0.44,0.34,?,?,?,?,0.13,?
?,?,?,?,?,0.097,?,0.1,7
?,0.45,0.32,?,?,?,0.075,0.115,?
M,0.355,0.28,?,0.2455,?,?,?,?
I,?,?,0.1,?,?,?,0.085,?
?,0.565,?,0.155,0.9395,?,?,?,?
?,?,0.415,?,0.7635,0.318,0.21,0.2,?
?,0.615,0.48,0.165,?,0.513,0.301,0.305,10
?,0.56,0.44,?,?,0.3825,?,?,?
?,?,0.45,?,?,?,0.272,?,?
M,?,?,0.14,0.931,0.356,0.234,?,?
M,?,?,?,0.9365,?,?,?,?
M,0.575,0.425,?,?,?,0.227,?,?
M,0.58,?,0.165,?,0.3935,?,?,10
F,?,?,?,1.639,?,0.2805,?,15
M,?,0.525,0.165,?,0.5515,0.3575,0.35,18
?,?,0.55,?,1.798,?,0.3925,0.455,?
F,0.705,0.55,?,1.7095,0.633,0.4115,0.49,13
M,?,0.355,?,?,0.227,0.124,?,?
F,?,?,?,?,0.5305,0.3075,?,16
F,0.45,?,?,0.5225,0.237,?,0.145,8
?,?,0.445,?,0.883,?,0.2035,?,11
?,0.355,0.29,0.09,?,0.134,0.086,?,9
?,0.45,0.335,?,?,0.1865,?,?,9
?,0.55,?,?,0.8515,?,?,0.27,?
?,?,?,?,?,?,0.0235,0.02,?
?,?,0.15,?,?,0.0255,0.015,?,?
I,?,?,?,?,?,0.0125,0.015,?
I,?,0.295,?,0.203,?,?,?,?
?,?,?,?,?,?,?,0.14,9
?,?,0.375,0.12,0.4605,0.1775,0.11,?,7
?,?,0.245,?,?,?,0.0255,?,?
?,0.525,0.425,0.16,0.8355,?,0.2135,?,9
?,0.52,0.41,0.12,?,0.2385,?,0.19,?
?,0.4,?,?,0.303,0.1335,0.06,?,?
M,?,0.36,0.13,?,?,0.096,?,?
F,0.47,?,0.12,0.4775,0.2105,?,0.15,?
M,?,?,0.1,?,0.173,0.0915,0.11,7
F,0.5,?,?,?,0.2565,0.1755,?,?
M,?,?,?,?,0.192,?,0.135,8
M,?,?,?,?,?,0.12,?,?
?,?,?,?,?,?,0.014,0.025,?
F,0.505,?,?,?,0.246,?,?,?
M,0.45,?,?,0.4115,?,0.1125,0.135,?
M,0.505,?,?,?,?,?,?,9
F,0.53,0.41,0.13,?,0.302,?,0.2,?
M,?,0.325,?,?,?,?,?,7
?,0.52,?,?,0.58,?,0.1315,0.185,?
?,0.475,?,?,?,?,0.1015,?,8
?,0.565,?,0.16,0.915,?,0.1935,?,12
?,?,?,0.185,?,0.416,0.224,0.485,?
?,0.475,?,?,0.5305,0.2135,0.1155,0.17,10
?,0.31,0.235,0.07,?,?,0.0405,?,6
M,0.555,0.425,?,?,?,?,?,?
F,0.4,?,0.11,?,0.1405,0.0985,?,8
F,?,?,?,1.247,0.48,?,?,?
