@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

?,0.455,?,0.095,?,?,0.101,0.15,15
?,?,0.265,0.09,0.2255,?,0.0485,0.07,?
F,?,?,0.135,0.677,0.2565,?,0.21,9
?,0.44,0.365,0.125,0.516,?,?,0.155,?
I,?,?,?,?,0.0895,?,?,7
I,0.425,?,0.095,0.3515,?,?,?,?
?,?,0.415,0.15,0.7775,0.237,0.1415,0.33,?
F,0.545,?,0.125,0.768,0.294,?,?,16
?,0.475,0.37,0.125,?,0.2165,0.1125,?,?
?,0.55,0.44,?,?,?,0.151,0.32,?
F,?,?,?,?,0.194,?,?,14
M,?,0.35,?,?,0.1675,0.081,?,?
M,?,?,?,?,?,?,?,?
?,?,0.405,0.145,?,0.2725,?,?,?
?,?,0.355,0.1,0.4755,0.1675,?,?,10
?,?,?,?,0.6645,0.258,?,?,12
?,?,0.28,?,?,0.095,?,?,?
?,?,0.34,0.1,0.451,0.188,?,0.13,?
?,0.365,?,0.08,0.2555,?,0.043,?,7
M,?,0.32,?,?,0.1705,?,?,9
M,?,0.28,0.095,?,0.0955,0.062,?,?
?,0.38,?,0.1,?,0.08,?,0.085,?
?,0.565,?,?,?,0.4275,?,0.27,12
F,?,?,?,?,?,?,0.2,9
?,0.615,?,0.165,?,?,?,0.305,?
?,?,0.44,0.14,0.9285,?,?,?,?
?,?,0.45,?,?,?,?,?,11
?,0.59,?,0.14,?,0.356,?,0.28,12
M,?,?,?,?,?,0.219,0.295,?
?,?,?,0.14,0.8635,0.393,?,0.2,?
?,?,0.47,0.165,0.9975,0.3935,?,?,?
?,?,?,?,?,?,0.2805,?,15
M,?,?,?,?,?,0.3575,0.35,18
?,?,?,?,?,?,?,?,?
?,?,?,0.2,?,?,?,?,?
?,?,0.355,0.105,?,?,?,0.125,?
F,0.54,0.475,?,?,0.5305,?,?,?
?,0.45,?,0.105,0.5225,0.237,?,0.145,?
?,0.575,?,?,0.883,0.381,0.2035,?,?
M,0.355,?,?,?,0.134,?,?,9
?,0.45,?,0.105,?,0.1865,0.091,?,?
?,0.55,?,0.135,0.8515,0.362,0.196,?,?
I,?,0.175,0.045,?,0.0315,?,?,5
I,0.205,0.15,0.055,0.042,?,?,?,5
I,0.21,?,0.05,0.042,0.0175,0.0125,0.015,?
I,?,?,?,?,?,?,?,7
?,?,?,?,?,?,?,0.14,?
F,0.46,0.375,?,?,0.1775,0.11,?,?
?,0.325,0.245,0.07,0.161,?,?,0.045,?
?,0.525,?,0.16,?,?,?,0.245,?
?,?,0.41,?,?,?,?,?,?
?,?,?,?,?,0.1335,?,?,7
?,0.485,0.36,?,?,?,0.096,?,?
F,0.47,0.36,?,?,0.2105,?,0.15,?
M,?,?,0.1,?,?,0.0915,?,7
?,?,0.4,?,?,0.2565,?,0.22,?
?,0.445,?,?,0.4425,?,?,?,?
M,0.47,0.385,?,?,?,0.12,?,?
?,?,?,0.06,0.086,?,?,?,?
?,?,?,?,0.583,?,?,?,7
M,0.45,?,0.105,?,?,?,?,7
M,0.505,?,?,?,?,?,?,?
?,?,?,0.13,?,?,?,?,?
?,?,?,0.095,0.3785,0.1705,?,?,?
M,0.52,?,?,?,?,?,0.185,?
?,?,0.355,?,0.48,?,0.1015,?,8
?,0.565,0.44,0.16,?,?,?,0.32,?
?,?,?,0.185,?,?,?,0.485,?
F,?,0.39,?,?,0.2135,?,0.17,10
?,?,?,?,?,?,0.0405,0.045,?
?,?,0.425,?,?,?,?,?,?
?,0.4,?,?,?,0.1405,0.0985,?,?
F,0.595,?,0.17,?,0.48,?,0.425,?
?,?,?,?,?,0.474,0.261,0.38,?
?,?,0.45,?,?,?,0.2895,?,?
F,?,0.475,0.15,?,0.4425,?,?,?
?,?,?,?,?,0.3625,0.189,0.315,9
F,0.6,?,?,0.922,0.363,0.194,0.305,10
?,0.555,?,?,0.788,?,?,0.285,11
?,?,?,?,?,?,0.2355,0.345,?
?,0.575,0.445,0.14,?,?,?,?,?
?,?,0.51,?,?,?,?,?,12
?,0.52,?,?,?,0.396,?,?,?
?,?,?,0.16,?,0.408,?,0.58,?
?,?,?,?,?,0.38,0.216,?,14
?,?,?,?,1.295,?,?,?,?
?,0.625,?,0.14,1.195,?,0.205,?,13
?,0.56,?,?,?,0.3305,0.2075,?,?
F,?,?,0.13,?,?,0.114,0.165,9
?,?,0.45,0.16,?,?,0.231,?,12
?,?,?,0.135,0.8115,?,?,?,15
M,0.555,?,0.15,0.755,?,0.1525,0.26,?
