@relation dataset

@attribute sex {F, I, M}
@attribute length real
@attribute diameter real
@attribute height real
@attribute whole_weight real
@attribute shucked_weight real
@attribute viscera_weight real
@attribute shell_weight real
@attribute class_number_of_rings {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29}


@data

M,0.455,0.365,?,0.514,0.2245,?,0.15,15
?,0.35,0.265,0.09,?,0.0995,0.0485,0.07,7
?,?,?,?,?,0.2565,0.1415,?,?
M,?,0.365,0.125,0.516,?,?,?,10
I,0.33,0.255,?,?,?,0.0395,0.055,?
?,?,?,0.095,0.3515,0.141,?,?,8
F,?,?,0.15,?,0.237,0.1415,?,?
?,?,0.425,0.125,0.768,0.294,0.1495,?,16
M,?,0.37,?,0.5095,?,0.1125,?,9
?,?,?,0.15,0.8945,0.3145,0.151,0.32,?
?,0.525,0.38,?,0.6065,0.194,0.1475,0.21,14
M,0.43,?,0.11,0.406,0.1675,?,?,?
M,?,?,?,?,0.2175,?,?,?
F,?,?,?,?,?,?,0.205,10
?,0.47,?,?,0.4755,?,?,?,?
?,?,0.4,0.13,0.6645,?,?,?,?
I,?,0.28,?,?,0.095,?,?,7
?,0.44,?,?,?,?,0.087,?,10
M,?,?,0.08,?,?,?,?,?
M,?,0.32,0.1,0.381,0.1705,?,?,?
?,0.355,0.28,0.095,?,?,?,?,?
?,?,0.275,?,0.2255,?,0.049,?,10
F,0.565,0.44,?,0.9395,0.4275,?,0.27,12
F,0.55,?,?,0.7635,0.318,0.21,0.2,?
F,?,?,?,1.1615,?,0.301,0.305,?
?,?,0.44,?,0.9285,0.3825,0.188,0.3,?
?,0.58,?,?,?,0.3945,?,0.285,11
?,0.59,?,?,?,?,?,?,?
?,0.605,0.475,?,0.9365,?,?,?,?
?,?,?,?,?,0.393,?,?,11
M,?,0.47,?,?,?,?,?,?
F,0.68,0.56,0.165,?,0.6055,0.2805,0.46,15
?,?,?,0.165,?,?,0.3575,0.35,?
?,0.68,?,?,1.798,?,0.3925,0.455,?
?,?,?,?,1.7095,?,?,0.49,13
M,?,0.355,?,0.4795,?,?,0.125,?
?,?,0.475,0.155,1.217,?,?,?,?
?,?,0.355,?,0.5225,?,?,0.145,8
?,?,?,?,?,?,?,0.26,?
?,?,0.29,0.09,?,?,0.086,?,9
?,?,?,0.105,?,0.1865,?,0.115,?
?,?,?,0.135,0.8515,?,?,?,14
?,0.24,0.175,0.045,?,?,0.0235,0.02,5
?,?,?,?,0.042,?,?,0.012,?
?,?,0.15,?,0.042,?,?,0.015,?
I,?,?,?,0.203,?,?,?,?
M,?,?,?,0.5795,?,?,?,?
F,?,0.375,0.12,0.4605,0.1775,0.11,?,?
?,?,?,0.07,?,?,0.0255,?,?
F,?,?,0.16,?,?,?,?,?
?,0.52,?,0.12,?,?,0.111,?,?
M,?,?,0.095,0.303,0.1335,0.06,0.1,?
?,0.485,?,?,?,0.2595,?,?,10
?,?,0.36,0.12,?,0.2105,0.1055,?,?
M,0.405,0.31,0.1,?,0.173,0.0915,?,7
?,0.5,?,?,0.6615,?,0.1755,0.22,?
M,?,?,?,?,?,?,?,?
?,?,?,0.135,0.5895,?,0.12,?,8
I,?,?,?,0.086,?,?,?,?
?,0.505,?,?,0.583,0.246,0.13,?,?
M,?,?,0.105,?,?,?,0.135,7
?,0.505,?,0.11,0.625,?,?,?,?
?,?,0.41,?,?,?,0.1935,0.2,?
M,?,?,?,0.3785,0.1705,?,?,7
?,?,?,?,?,?,?,0.185,?
?,?,?,?,?,0.234,0.1015,?,?
F,?,?,0.16,0.915,?,?,?,?
?,?,0.495,0.185,1.285,0.416,0.224,0.485,?
F,?,0.39,?,?,0.2135,?,?,10
?,?,?,?,?,?,?,?,?
?,0.555,0.425,0.13,?,?,0.168,?,13
?,0.4,?,0.11,?,?,0.0985,?,8
?,?,?,?,?,?,?,?,20
?,?,?,?,1.185,0.474,?,?,?
F,?,0.45,?,1.098,0.481,0.2895,?,13
?,?,?,0.15,?,0.4425,?,?,?
?,?,?,0.14,?,0.3625,0.189,0.315,9
?,0.6,?,?,?,0.363,?,0.305,?
?,?,?,0.14,?,?,?,0.285,11
?,0.615,?,0.17,?,0.4695,?,?,?
?,0.575,?,?,0.941,?,?,?,9
?,0.62,0.51,?,?,?,0.192,?,?
F,?,?,?,?,?,0.225,?,?
M,?,0.475,?,?,?,0.234,?,21
?,0.58,?,?,1.013,?,?,0.36,?
F,?,?,?,?,?,?,?,?
?,?,0.465,0.14,?,?,?,?,13
M,?,?,0.16,?,?,0.2075,?,?
F,?,0.355,?,0.517,0.2205,0.114,?,?
?,0.575,?,?,?,?,?,0.33,?
?,?,?,?,?,0.341,0.1675,?,?
M,?,?,?,?,0.307,0.1525,0.26,?
M,0.595,0.465,?,?,?,?,0.39,13
F,0.625,?,?,1.262,?,?,0.39,10
M,?,?,?,?,?,0.3425,?,15
?,?,0.535,0.195,?,?,0.388,?,?
?,?,?,?,?,?,0.1385,?,?
?,?,?,?,0.523,0.214,?,?,8
?,?,?,?,0.5225,0.201,0.133,0.165,7
?,0.475,0.375,0.125,?,?,0.085,0.155,?
?,?,?,?,0.2315,0.105,?,0.075,7
?,?,?,?,0.843,0.328,0.1915,?,15
?,?,0.435,?,0.883,?,0.164,?,?
?,?,0.415,?,?,?,?,0.205,?
?,0.605,?,0.16,1.1735,0.4975,?,?,12
F,?,0.41,0.155,?,0.291,0.1835,?,?
?,?,0.43,?,?,0.2935,0.183,?,?
F,0.5,0.4,0.125,?,0.261,0.1315,0.22,?
?,?,0.39,0.135,?,?,0.179,?,9
F,0.435,0.395,?,0.3635,0.136,?,?,?
?,0.495,0.395,?,?,?,0.1345,?,9
?,?,?,?,0.431,0.172,?,?,9
?,?,?,?,0.3325,?,0.0635,?,?
?,?,?,?,0.393,?,?,0.165,?
?,?,0.41,?,?,?,?,?,?
?,?,0.415,0.115,?,?,0.1585,0.18,?
F,?,?,0.135,?,?,0.102,0.22,?
M,?,0.34,0.105,0.402,?,0.0955,?,?
F,0.56,0.43,?,0.8825,?,?,0.31,9
?,?,0.305,0.085,?,?,?,?,?
?,?,?,?,0.4205,?,?,?,?
?,?,0.295,0.085,?,?,0.0575,?,?
F,?,?,?,?,?,?,0.255,14
?,?,?,0.075,?,0.09,0.051,0.07,?
I,0.36,?,0.08,?,?,0.0505,0.07,?
I,?,?,?,?,0.0285,0.0235,0.03,?
?,0.375,0.275,?,?,0.1075,0.0545,?,6
I,0.385,0.29,0.085,?,0.112,?,?,8
?,0.7,?,?,1.7255,0.63,0.2635,?,?
?,?,?,?,?,?,?,?,?
M,?,0.48,0.165,1.262,?,0.283,?,17
?,?,0.35,?,?,0.175,0.063,0.129,9
?,?,0.26,0.09,0.1915,?,?,0.062,7
?,0.35,0.26,?,0.211,?,?,0.068,7
?,0.265,?,0.065,?,0.04,0.0205,?,7
?,?,0.33,?,?,0.1635,0.081,0.1355,?
F,?,0.23,0.08,0.156,0.0675,?,0.048,?
M,0.345,?,?,?,?,0.0295,?,?
?,?,?,?,?,0.151,0.063,?,?
?,0.375,?,?,0.253,?,0.0575,0.0925,?
?,?,0.445,?,?,?,0.2055,?,?
?,?,0.45,0.145,?,?,?,?,?
?,?,?,?,1.3445,0.519,?,0.4465,16
M,?,0.455,?,?,0.34,0.19,?,?
M,?,0.375,0.13,?,0.2075,?,?,?
F,?,?,?,0.549,?,?,0.174,10
?,0.46,?,0.12,?,0.224,?,?,?
?,0.28,?,?,0.127,?,?,?,9
?,0.175,?,?,0.0315,?,?,0.0125,?
I,?,?,?,?,0.013,?,?,4
?,?,?,?,?,?,?,?,15
?,?,?,?,1.1185,0.469,?,0.335,?
?,0.635,0.515,?,?,0.5065,?,0.45,?
F,0.605,0.485,0.16,?,?,0.2355,?,10
?,?,?,?,?,0.387,?,0.31,?
?,?,?,0.13,?,?,?,?,10
F,0.575,?,?,?,0.392,?,0.34,?
?,?,0.485,?,1.514,0.546,0.2615,?,16
?,0.58,0.455,?,?,?,0.2135,?,?
