@relation dataset

@attribute R real
@attribute F real
@attribute M real
@attribute T real
@attribute class {0, 1}


@data

2.0,50.0,12500.0,?,?
?,?,?,?,?
1.0,16.0,?,35.0,1
2.0,20.0,5000.0,45.0,?
1.0,24.0,6000.0,77.0,0
4.0,?,?,4.0,?
2.0,?,1750.0,?,?
?,?,3000.0,35.0,0
?,?,?,?,?
?,46.0,11500.0,?,1
?,23.0,5750.0,?,0
0.0,?,750.0,4.0,?
2.0,?,2500.0,?,1
1.0,?,?,?,0
?,?,1500.0,?,?
?,?,?,11.0,1
?,14.0,3500.0,?,1
?,?,?,?,1
2.0,?,1500.0,15.0,?
2.0,?,?,?,1
2.0,3.0,750.0,?,1
?,11.0,?,?,0
2.0,?,?,16.0,?
2.0,?,?,?,?
?,?,2250.0,?,0
4.0,14.0,3500.0,40.0,?
4.0,?,1500.0,?,0
?,?,?,34.0,?
4.0,5.0,1250.0,11.0,?
?,8.0,?,21.0,0
?,?,?,?,?
?,?,?,?,?
?,10.0,2500.0,28.0,1
?,?,?,?,1
?,16.0,4000.0,64.0,?
2.0,8.0,?,?,?
2.0,12.0,?,47.0,?
4.0,6.0,?,16.0,1
2.0,14.0,3500.0,57.0,?
?,?,?,?,1
2.0,?,?,53.0,?
?,5.0,?,16.0,?
?,?,1250.0,?,1
2.0,?,1250.0,?,?
4.0,?,5000.0,69.0,?
?,?,?,28.0,?
?,?,?,36.0,0
?,2.0,500.0,2.0,0
2.0,2.0,?,?,0
2.0,?,500.0,?,0
2.0,?,?,46.0,0
2.0,11.0,2750.0,46.0,1
?,?,1500.0,?,?
?,12.0,3000.0,52.0,?
?,5.0,1250.0,?,?
?,?,?,69.0,?
4.0,?,?,?,?
?,7.0,1750.0,?,?
2.0,16.0,?,81.0,0
?,?,1500.0,?,0
2.0,7.0,1750.0,?,?
2.0,8.0,2000.0,?,?
?,10.0,?,49.0,0
4.0,?,?,?,?
2.0,?,?,9.0,1
?,?,4000.0,?,?
2.0,4.0,1000.0,?,?
0.0,2.0,?,?,?
?,7.0,?,?,0
1.0,?,2250.0,?,?
2.0,4.0,?,16.0,?
?,4.0,1000.0,16.0,0
4.0,?,?,71.0,1
?,2.0,?,?,?
2.0,?,?,?,1
2.0,2.0,?,4.0,1
?,?,1000.0,16.0,1
?,2.0,?,?,?
2.0,2.0,?,4.0,0
?,2.0,500.0,4.0,?
?,?,?,?,?
2.0,?,?,16.0,?
2.0,4.0,1000.0,?,?
2.0,4.0,1000.0,?,0
?,?,?,?,?
2.0,?,?,28.0,?
4.0,?,?,4.0,0
4.0,2.0,500.0,?,0
4.0,?,500.0,4.0,?
?,?,?,35.0,1
?,2.0,500.0,?,1
4.0,2.0,?,4.0,?
?,2.0,?,4.0,0
4.0,?,?,?,?
12.0,11.0,?,23.0,0
?,7.0,?,28.0,0
?,?,4250.0,?,0
?,9.0,2250.0,38.0,?
4.0,?,?,14.0,1
?,?,?,26.0,1
4.0,?,2000.0,34.0,1
?,?,3250.0,76.0,?
?,?,2250.0,?,?
?,?,?,26.0,0
?,5.0,?,26.0,?
6.0,?,4250.0,?,0
?,?,2000.0,?,0
3.0,5.0,1250.0,26.0,?
