@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

?,1.8,?,0.62,0.8,?,3.19,2.79,?,?
?,2.2,2.66,0.64,1.42,3.18,?,2.63,?,2.32
1.22,0.8,?,0.53,0.24,?,?,?,1.31,2.5
0.45,?,?,?,0.46,1.52,?,2.96,?,2.86
?,?,?,0.57,?,2.02,3.18,2.78,?,2.54
0.99,1.28,0.72,?,?,?,3.17,?,1.66,?
?,1.36,0.26,0.32,0.86,1.58,?,2.66,?,3.22
?,?,0.22,?,?,1.5,3.17,?,?,?
1.12,1.76,1.04,0.64,0.82,?,3.18,2.79,?,2.54
0.7,?,?,?,?,1.54,?,2.82,?,?
1.47,?,?,0.75,?,2.76,3.18,2.89,1.66,?
?,?,0.29,?,?,2.08,3.17,?,?,3.42
?,1.44,?,0.45,0.98,?,?,?,1.38,?
?,1.64,?,?,1.26,?,?,?,?,2.74
0.96,?,2.29,?,?,2.84,?,2.82,?,?
1.25,?,?,?,?,?,3.19,?,1.41,?
?,?,?,0.34,?,?,3.18,2.73,?,?
0.61,1.96,2.49,?,?,?,?,3.04,?,?
0.67,1.36,?,0.38,0.82,?,?,?,?,2.8
?,?,2.1,?,?,1.98,3.19,?,1.22,?
?,?,?,?,1.2,2.18,?,2.7,1.06,?
?,?,?,?,?,2.08,3.17,?,?,?
?,1.16,?,?,?,?,?,2.74,?,?
0.54,1.44,0.3,?,1.02,?,?,2.71,?,?
?,?,1.15,?,?,2.02,?,2.77,1.92,2.46
0.61,2.84,2.8,?,?,?,?,2.54,?,2.54
?,?,?,?,1.28,2.64,3.19,?,1.34,?
0.99,?,?,?,?,?,3.18,?,?,?
?,?,?,?,?,?,3.17,?,?,2.94
0.64,1.16,3.12,?,?,?,?,2.75,1.54,2.46
?,1.28,2.14,?,0.94,?,?,?,?,2.34
?,2.24,?,?,?,2.12,?,?,1.28,?
0.64,2.0,?,?,2.08,?,?,2.8,?,2.72
?,?,0.21,?,0.98,?,?,?,?,?
?,?,?,0.29,0.98,1.42,3.18,?,?,3.02
0.88,?,?,?,0.74,?,?,3.01,?,?
?,?,1.15,0.32,?,?,?,?,1.76,2.9
?,?,?,?,0.72,1.22,?,?,?,3.2
?,?,?,0.62,?,1.68,?,?,?,?
1.38,1.08,?,0.62,?,?,?,?,?,2.42
?,?,0.15,0.24,?,?,3.17,?,1.02,3.06
0.58,?,0.19,0.41,?,0.98,3.16,?,?,?
?,?,?,0.24,1.06,?,?,2.82,?,2.88
?,?,0.42,?,0.46,?,?,2.86,?,2.66
0.64,1.64,?,?,?,?,3.18,?,?,2.8
?,1.4,?,0.39,?,1.46,3.17,2.9,1.82,?
0.38,?,?,?,?,?,3.18,?,?,?
0.9,1.2,1.24,0.35,?,?,?,2.86,?,2.94
0.45,?,0.26,?,0.56,?,?,2.9,1.44,?
?,1.08,2.22,0.65,?,?,3.19,?,?,?
?,1.2,0.3,?,?,?,?,2.93,?,?
?,1.48,2.06,0.48,0.96,1.4,3.18,2.71,?,2.86
0.8,?,?,?,?,2.18,3.18,2.59,?,3.02
?,0.64,1.12,?,?,?,?,?,?,?
?,?,0.37,?,0.54,?,?,?,?,?
?,?,?,0.37,0.86,1.1,?,2.94,1.31,?
?,?,?,0.54,?,2.28,3.19,?,?,?
?,?,?,0.39,?,1.7,3.18,2.82,?,?
0.64,1.2,2.27,?,1.42,2.83,?,?,?,2.38
?,1.4,?,?,?,?,?,2.81,1.6,?
1.06,1.92,3.11,0.55,?,?,3.2,?,?,?
?,?,?,?,?,?,3.18,?,?,?
0.9,1.12,0.22,0.45,?,?,3.18,2.82,?,?
0.51,?,?,?,0.48,?,3.18,3.1,1.34,?
?,?,?,?,1.14,?,3.18,2.9,?,3.01
1.47,0.72,0.53,0.62,?,?,3.18,?,?,2.88
?,?,?,0.43,0.16,?,?,2.79,1.09,?
0.93,?,0.61,?,0.8,1.52,?,?,1.28,?
0.51,1.08,1.92,?,1.04,1.3,?,?,1.09,?
?,1.44,?,?,?,?,?,?,?,2.54
1.6,?,0.38,0.67,?,?,3.18,?,?,?
?,1.04,?,?,?,?,?,?,?,2.34
?,2.24,?,0.47,?,1.88,?,2.81,1.98,2.58
0.9,1.08,?,?,?,?,3.18,2.83,1.41,?
?,1.36,?,0.56,?,2.0,?,2.86,1.63,?
?,?,?,?,1.36,?,?,?,?,2.32
1.28,?,?,?,?,?,?,?,1.86,?
?,?,2.53,?,1.04,?,3.19,?,?,2.46
?,1.08,?,0.35,0.54,?,?,?,1.25,3.06
?,1.04,?,?,?,2.42,?,?,1.12,2.98
2.08,?,0.8,?,?,1.7,?,?,1.54,?
?,?,?,?,?,?,3.18,?,1.86,?
?,1.52,?,1.65,?,?,3.17,?,?,?
?,?,?,?,?,1.98,3.18,?,1.12,?
?,?,?,0.5,?,1.96,3.18,?,1.86,?
0.74,?,0.24,?,0.8,?,?,2.87,1.5,3.34
0.7,?,0.72,?,?,1.54,?,?,?,2.56
?,1.08,?,?,?,?,?,2.79,1.18,?
?,2.36,?,1.68,1.02,1.76,?,?,?,2.42
?,2.08,1.04,?,?,?,3.18,?,?,2.64
?,?,0.72,?,0.88,1.36,?,?,1.79,?
?,?,?,0.49,?,?,3.17,?,?,?
?,2.04,?,0.54,?,?,?,2.74,?,2.42
0.64,?,2.27,?,1.42,?,?,?,1.47,2.38
?,?,?,0.64,?,?,?,?,?,2.46
1.12,?,0.3,0.46,0.56,1.92,3.18,?,?,?
0.9,1.44,?,?,?,2.14,3.19,2.79,1.79,?
?,?,1.38,0.37,?,1.9,?,2.91,?,?
?,0.88,?,0.53,1.02,1.78,3.19,2.86,?,2.78
0.67,?,?,0.47,?,?,3.17,?,?,?
?,?,0.38,0.5,?,?,?,?,1.79,?
0.64,1.12,?,?,?,?,?,2.94,?,3.06
?,?,?,0.65,?,?,?,?,?,?
0.88,?,?,0.45,?,1.0,?,2.67,?,?
?,0.84,0.64,?,?,?,?,?,?,3.46
?,0.88,?,?,?,1.54,?,?,1.7,2.46
?,0.56,0.93,?,1.3,?,?,?,2.27,?
?,1.2,?,0.43,?,?,?,?,1.15,3.42
1.76,?,0.43,?,?,1.62,3.17,?,?,?
0.8,?,?,0.53,1.54,2.34,3.18,2.83,?,2.78
0.9,1.8,?,?,?,?,?,?,2.46,?
0.9,?,?,0.34,0.7,1.44,?,?,?,?
?,1.84,0.51,?,1.04,1.78,3.18,2.79,1.86,2.54
0.35,?,1.41,?,1.1,?,?,3.04,1.28,?
0.83,?,?,?,?,1.86,3.2,?,?,?
1.15,?,0.18,?,?,?,?,?,1.73,?
0.64,?,?,?,0.72,?,3.19,?,?,?
?,?,?,?,1.12,1.74,?,?,1.79,?
0.54,?,?,?,?,?,?,?,?,2.94
?,?,1.1,?,0.86,1.84,3.18,2.7,0.96,3.18
0.86,1.96,?,?,?,2.9,?,2.82,?,2.5
0.77,?,0.26,0.66,1.42,?,?,2.82,?,?
0.93,2.68,?,0.42,?,2.22,?,2.58,1.31,?
?,?,?,?,?,2.62,?,2.86,?,2.38
0.74,1.52,1.38,?,?,2.0,?,2.72,1.47,2.74
?,?,0.19,0.46,?,?,?,2.79,?,?
0.51,1.44,0.42,0.33,?,?,3.18,?,1.18,?
1.06,1.68,?,0.66,0.72,?,?,?,1.41,?
?,1.48,?,?,?,?,?,?,1.31,3.34
0.54,?,?,?,?,?,?,?,?,?
0.9,?,?,0.46,0.8,1.48,?,?,?,?
?,?,?,?,1.66,?,3.18,?,?,?
?,?,1.73,?,?,?,?,2.74,1.89,?
