@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

0.93,?,2.29,?,?,?,3.19,2.79,?,?
1.02,2.2,?,0.64,1.42,3.18,3.21,2.63,1.86,?
?,0.8,?,?,?,?,3.18,?,?,2.5
0.45,?,0.29,?,0.46,?,?,2.96,1.57,?
0.51,?,1.18,?,?,2.02,?,?,?,2.54
0.99,?,0.72,0.27,?,?,3.17,?,?,3.66
0.9,?,?,0.32,0.86,?,?,2.66,1.22,3.22
?,?,0.22,?,0.82,1.5,?,2.81,1.54,2.88
1.12,?,1.04,?,0.82,2.14,?,2.79,1.41,2.54
0.7,1.36,0.22,0.26,?,?,?,?,?,?
1.47,1.0,?,?,?,?,3.18,?,?,?
?,2.96,0.29,0.38,0.88,?,?,?,?,?
0.74,1.44,2.75,0.45,0.98,?,?,2.87,1.38,?
0.58,1.64,?,?,1.26,1.72,?,?,2.3,?
?,?,?,?,1.2,?,3.2,2.82,?,?
1.25,?,?,0.5,1.46,2.08,?,?,1.41,?
?,?,?,0.34,?,?,?,?,1.15,?
0.61,1.96,?,?,1.34,1.78,?,?,1.15,?
0.67,?,1.36,?,?,?,?,?,?,?
0.8,1.04,?,0.58,?,1.98,?,?,?,2.48
?,1.44,1.12,?,?,2.18,?,?,1.06,?
?,?,0.14,0.42,1.06,2.08,?,?,?,3.22
0.93,?,0.29,?,?,1.36,?,2.74,?,3.66
?,?,?,?,1.02,?,?,2.71,?,3.04
1.22,0.96,1.15,?,?,?,?,?,?,?
0.61,?,2.8,?,0.56,1.52,?,?,?,?
0.77,1.68,?,?,?,2.64,3.19,?,?,?
0.99,1.28,?,?,0.94,?,3.18,?,?,?
0.58,1.2,?,?,?,?,3.17,2.69,?,2.94
?,?,?,?,?,?,3.2,2.75,?,2.46
?,?,?,0.5,0.94,2.26,?,?,1.5,?
?,?,?,?,?,2.12,?,?,1.28,?
