@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

0.93,1.8,?,0.62,?,?,?,2.79,?,?
?,?,2.66,?,1.42,3.18,3.21,2.63,1.86,?
1.22,0.8,0.54,?,0.24,1.54,?,2.8,?,2.5
?,1.8,0.29,?,?,1.52,?,2.96,1.57,2.86
0.51,?,?,0.57,1.54,2.02,?,?,1.18,2.54
0.99,?,?,?,?,?,?,2.89,1.66,3.66
0.9,?,0.26,0.32,0.86,1.58,3.17,?,?,3.22
?,1.4,0.22,0.41,0.82,1.5,3.17,?,1.54,2.88
1.12,?,1.04,?,?,?,3.18,2.79,?,2.54
0.7,1.36,?,?,?,?,?,?,?,3.12
1.47,?,?,0.75,?,2.76,3.18,2.89,?,2.62
0.96,?,0.29,0.38,?,?,3.17,?,1.66,?
?,?,2.75,0.45,?,?,3.2,?,?,?
?,?,?,?,1.26,1.72,?,?,?,?
?,?,2.29,0.51,?,2.84,?,?,?,?
1.25,2.52,1.76,?,?,?,?,2.74,?,2.32
0.86,?,?,?,?,1.1,?,?,?,2.98
?,?,2.49,?,?,1.78,?,?,1.15,?
0.67,1.36,1.36,0.38,?,3.38,3.18,?,1.79,?
?,?,?,?,1.18,1.98,?,?,1.22,?
0.86,1.44,?,?,?,2.18,?,?,?,2.94
0.96,?,?,?,?,2.08,?,?,?,3.22
?,1.16,?,?,1.02,?,?,2.74,?,3.66
0.54,1.44,0.3,0.41,?,?,?,?,?,?
?,?,1.15,0.54,?,?,?,?,1.92,?
0.61,2.84,?,?,0.56,?,3.19,2.54,1.6,?
?,1.68,?,0.75,?,2.64,?,?,?,?
?,?,?,?,?,?,?,2.79,?,?
?,?,?,?,0.54,?,3.17,?,?,?
?,?,3.12,?,1.84,3.16,?,2.75,?,?
0.74,?,?,0.5,0.94,?,?,?,?,?
?,?,2.32,0.63,0.72,?,?,?,1.28,2.42
?,2.0,1.6,?,?,?,?,2.8,?,2.72
1.06,1.12,0.21,?,0.98,2.5,?,?,1.92,?
?,?,0.45,?,?,?,3.18,?,2.02,?
0.88,?,?,0.43,0.74,1.52,?,?,1.63,?
0.7,?,?,?,0.4,?,?,2.78,?,2.9
?,?,?,?,0.72,1.22,?,?,1.92,3.2
?,1.52,?,?,?,1.68,3.2,?,1.6,2.58
?,?,?,0.62,0.14,?,?,?,1.66,?
