@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

?,1.8,?,?,0.8,?,3.19,2.79,?,2.42
?,?,2.66,0.64,1.42,?,3.21,?,?,?
1.22,0.8,0.54,0.53,?,1.54,3.18,?,?,2.5
0.45,?,?,?,?,?,3.18,?,1.57,?
0.51,?,1.18,0.57,1.54,2.02,3.18,2.78,?,2.54
0.99,1.28,?,0.27,?,?,3.17,2.89,1.66,?
0.9,1.36,?,?,?,1.58,?,2.66,?,?
?,1.4,0.22,0.41,?,?,?,?,?,2.88
1.12,1.76,1.04,?,0.82,?,3.18,2.79,?,?
?,1.36,?,0.26,?,1.54,3.17,?,2.24,?
?,?,?,?,1.66,?,?,2.89,?,2.62
0.96,?,?,?,0.88,?,?,?,1.66,3.42
?,?,?,0.45,?,?,3.2,2.87,?,2.34
0.58,?,?,0.45,?,?,3.19,2.91,2.3,?
?,?,?,0.51,?,?,3.2,2.82,?,?
1.25,2.52,?,?,?,?,?,?,?,?
?,1.04,?,?,?,?,3.18,?,?,?
?,1.96,?,?,?,1.78,3.2,3.04,1.15,?
?,?,?,?,0.82,3.38,?,?,1.79,2.8
0.8,?,?,?,?,1.98,?,?,1.22,?
0.86,?,1.12,?,1.2,?,3.18,2.7,?,2.94
0.96,?,?,?,?,?,3.17,?,1.15,?
0.93,1.16,0.29,?,1.02,1.36,?,2.74,?,3.66
?,1.44,0.3,0.41,1.02,?,3.17,?,?,?
?,?,1.15,0.54,?,2.02,3.18,?,1.92,2.46
0.61,?,?,?,0.56,?,?,2.54,?,2.54
?,?,2.24,?,?,?,?,2.57,?,2.38
?,?,1.22,?,?,1.9,?,?,?,2.4
?,?,0.18,?,?,0.76,3.17,2.69,?,?
?,?,?,0.45,?,?,?,?,?,?
0.74,?,?,0.5,0.94,?,3.2,?,1.5,2.34
?,?,2.32,0.63,?,?,?,2.65,1.28,2.42
?,2.0,?,?,?,?,?,?,1.76,?
?,1.12,0.21,0.58,?,?,3.18,2.9,1.92,?
0.96,1.16,0.45,?,?,1.42,?,?,2.02,?
0.88,0.96,1.18,?,0.74,?,3.18,?,1.63,2.94
0.7,?,1.15,0.32,?,?,3.18,?,1.76,?
