@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

0.93,?,?,0.62,0.8,?,3.19,2.79,1.82,2.42
1.02,2.2,?,0.64,1.42,?,3.21,?,1.86,2.32
1.22,0.8,?,?,0.24,?,?,?,?,2.5
0.45,?,0.29,0.57,0.46,1.52,3.18,2.96,1.57,?
?,?,?,0.57,?,2.02,?,?,?,?
0.99,1.28,0.72,?,?,?,3.17,?,1.66,3.66
0.9,1.36,0.26,?,0.86,1.58,?,?,1.22,?
0.74,1.4,0.22,?,0.82,1.5,3.17,?,1.54,2.88
?,?,1.04,0.64,0.82,?,?,?,?,2.54
0.7,?,?,0.26,1.5,?,3.17,?,?,?
?,1.0,?,0.75,1.66,?,3.18,?,1.66,?
?,2.96,?,?,?,2.08,?,?,?,?
?,1.44,2.75,?,?,1.74,3.2,?,?,2.34
?,?,?,?,1.26,1.72,3.19,2.91,2.3,?
0.96,?,?,0.51,?,?,?,?,?,?
1.25,?,?,?,?,2.08,?,?,1.41,2.32
0.86,?,1.76,?,?,?,?,?,?,?
0.61,?,?,?,1.34,1.78,3.2,3.04,1.15,?
?,?,?,?,0.82,?,3.18,?,1.79,2.8
0.8,1.04,?,?,?,?,?,?,?,?
?,?,?,0.41,1.2,?,?,?,1.06,2.94
?,?,?,?,1.06,?,3.17,2.74,?,?
?,1.16,0.29,0.41,?,?,?,2.74,?,?
?,?,0.3,?,1.02,?,?,2.71,1.73,3.04
1.22,?,1.15,?,1.1,?,3.18,?,1.92,?
?,2.84,?,0.48,0.56,?,3.19,?,?,2.54
0.77,1.68,2.24,?,?,2.64,3.19,?,?,?
?,1.28,?,?,?,1.9,?,?,1.22,?
?,1.2,?,0.38,0.54,?,?,?,?,2.94
0.64,?,3.12,?,?,3.16,3.2,?,?,2.46
0.74,?,?,0.5,?,2.26,?,?,?,?
0.7,?,?,?,0.72,2.12,?,?,?,?
?,?,?,?,2.08,?,3.19,2.8,?,?
?,?,0.21,0.58,0.98,?,?,?,?,2.74
0.96,1.16,?,0.29,?,1.42,3.18,2.94,?,?
?,?,1.18,?,0.74,1.52,?,?,1.63,2.94
?,?,?,?,?,?,?,?,1.76,?
1.02,?,?,?,0.72,1.22,?,2.91,?,?
?,1.52,?,0.62,0.86,?,?,?,?,2.58
1.38,?,0.18,0.62,?,?,?,?,?,2.42
