@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

0.93,?,2.29,0.62,?,?,3.19,2.79,?,?
1.02,2.2,2.66,?,?,3.18,3.21,2.63,1.86,?
1.22,?,?,0.53,0.24,1.54,?,2.8,?,2.5
?,1.8,?,0.57,0.46,?,3.18,?,?,2.86
0.51,1.2,1.18,?,?,2.02,?,?,1.18,?
0.99,?,?,0.27,?,?,?,2.89,?,3.66
?,1.36,0.26,?,0.86,1.58,3.17,?,?,?
?,?,0.22,0.41,0.82,?,3.17,?,1.54,2.88
1.12,1.76,1.04,0.64,?,2.14,3.18,?,1.41,?
0.7,1.36,?,?,1.5,1.54,3.17,2.82,2.24,?
?,?,?,?,?,2.76,?,?,?,?
?,?,?,?,?,?,?,2.93,?,?
0.74,?,?,0.45,0.98,?,3.2,?,?,?
?,?,?,?,1.26,1.72,?,?,2.3,2.74
?,?,2.29,?,1.2,2.84,?,2.82,2.02,?
?,2.52,?,?,1.46,?,?,?,1.41,?
0.86,1.04,1.76,?,?,1.1,3.18,?,?,?
0.61,1.96,?,?,?,?,?,?,?,?
?,?,?,?,?,3.38,3.18,?,?,2.8
?,1.04,?,?,?,1.98,?,2.93,?,2.48
?,?,1.12,0.41,?,?,3.18,?,?,?
?,?,0.14,0.42,1.06,2.08,3.17,?,?,3.22
?,1.16,?,0.41,1.02,?,?,?,1.34,3.66
0.54,1.44,?,?,1.02,?,?,2.71,?,?
?,?,1.15,0.54,?,2.02,3.18,2.77,?,2.46
?,?,?,?,0.56,1.52,?,?,1.6,?
0.77,1.68,?,?,1.28,2.64,?,2.57,?,2.38
?,?,?,?,0.94,?,3.18,?,?,?
0.58,1.2,0.18,0.38,0.54,0.76,?,?,1.63,?
0.64,?,?,?,1.84,3.16,3.2,2.75,1.54,?
0.74,?,2.14,0.5,?,2.26,?,2.78,?,2.34
?,?,?,0.63,?,2.12,?,?,?,2.42
?,2.0,1.6,?,2.08,?,?,2.8,?,2.72
?,?,?,0.58,?,?,3.18,2.9,?,?
?,1.16,0.45,?,?,?,?,?,2.02,3.02
0.88,?,?,?,0.74,1.52,?,3.01,1.63,?
?,?,1.15,0.32,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,3.2,?,1.6,?
?,?,0.18,?,?,?,3.18,2.88,1.66,?
?,1.24,?,?,1.38,1.98,?,2.61,?,?
0.58,?,0.19,?,0.5,?,?,2.74,1.57,?
?,?,?,?,?,?,3.18,?,1.25,2.88
?,2.0,?,0.56,0.46,?,3.18,2.86,?,?
0.64,1.64,?,?,?,?,?,3.1,?,?
?,1.4,0.61,0.39,0.7,?,?,2.9,?,?
0.38,?,0.77,?,?,1.46,?,?,?,3.22
?,?,?,?,?,?,3.18,2.86,?,?
?,?,?,0.4,0.56,1.68,?,?,1.44,?
