@relation dataset

@attribute category_1 real
@attribute category_2 real
@attribute category_3 real
@attribute category_4 real
@attribute category_5 real
@attribute category_6 real
@attribute category_7 real
@attribute category_8 real
@attribute category_9 real
@attribute category_10 real


@data

?,1.8,2.29,0.62,0.8,?,3.19,2.79,?,?
?,?,?,?,1.42,3.18,3.21,2.63,1.86,2.32
?,0.8,?,0.53,?,1.54,3.18,?,1.31,2.5
?,1.8,?,0.57,?,1.52,?,2.96,?,?
0.51,?,1.18,0.57,?,2.02,3.18,?,?,2.54
0.99,?,0.72,?,0.74,?,3.17,?,?,?
0.9,?,0.26,0.32,?,?,3.17,?,1.22,3.22
?,?,0.22,0.41,0.82,1.5,3.17,2.81,?,2.88
1.12,?,?,0.64,0.82,2.14,?,2.79,?,2.54
0.7,?,0.22,0.26,?,1.54,?,?,?,3.12
1.47,?,?,0.75,?,2.76,3.18,2.89,?,2.62
?,?,0.29,?,0.88,2.08,3.17,?,?,3.42
?,?,?,0.45,?,?,3.2,?,1.38,?
0.58,?,2.27,?,?,1.72,3.19,?,2.3,?
0.96,1.68,?,?,1.2,?,3.2,?,2.02,?
?,2.52,?,?,?,?,?,?,?,2.32
?,1.04,1.76,0.34,?,?,3.18,2.73,?,2.98
0.61,?,?,?,?,?,?,?,1.15,?
0.67,1.36,?,0.38,?,?,3.18,2.86,?,2.8
?,?,?,0.58,1.18,1.98,?,?,?,2.48
0.86,?,?,?,1.2,?,?,?,?,?
0.96,1.44,?,0.42,1.06,2.08,?,?,?,?
?,?,0.29,0.41,?,?,3.16,?,?,?
?,1.44,0.3,?,?,?,?,2.71,?,?
?,0.96,?,?,1.1,2.02,?,?,1.92,2.46
?,2.84,2.8,?,?,?,?,2.54,?,?
?,?,2.24,0.75,?,?,3.19,?,1.34,?
?,1.28,?,0.59,?,?,3.18,2.79,?,?
0.58,1.2,0.18,0.38,?,0.76,?,2.69,1.63,?
?,?,3.12,?,1.84,?,3.2,?,?,?
?,1.28,2.14,0.5,?,2.26,3.2,?,1.5,?
?,2.24,?,?,?,?,3.19,2.65,?,?
?,?,?,0.41,2.08,?,3.19,?,?,?
?,1.12,?,0.58,?,2.5,?,?,?,2.74
?,?,?,?,0.98,?,?,2.94,?,3.02
0.88,?,?,0.43,?,1.52,?,3.01,1.63,2.94
?,?,?,0.32,?,1.1,3.18,?,?,2.9
?,?,0.91,?,?,?,?,2.91,1.92,?
0.7,?,2.37,?,?,?,?,?,?,2.58
1.38,1.08,0.18,?,?,1.46,?,?,?,2.42
?,?,?,?,?,1.98,?,2.61,1.02,?
0.58,?,0.19,0.41,?,0.98,?,?,1.57,3.38
0.67,?,0.61,0.24,?,1.9,?,2.82,?,?
1.02,?,?,?,0.46,?,?,?,2.05,?
