@relation dataset

@attribute realvaluedinputfeature_1 real
@attribute realvaluedinputfeature_2 real
@attribute realvaluedinputfeature_3 real
@attribute realvaluedinputfeature_4 real
@attribute realvaluedinputfeature_5 real
@attribute realvaluedinputfeature_6 real
@attribute realvaluedinputfeature_7 real
@attribute realvaluedinputfeature_8 real
@attribute realvaluedinputfeature_9 real
@attribute realvaluedinputfeature_10 real
@attribute realvaluedinputfeature_11 real
@attribute realvaluedinputfeature_12 real
@attribute realvaluedinputfeature_13 real
@attribute realvaluedinputfeature_14 real
@attribute realvaluedinputfeature_15 real
@attribute realvaluedinputfeature_16 real
@attribute realvaluedinputfeature_17 real
@attribute realvaluedinputfeature_18 real
@attribute realvaluedinputfeature_19 real
@attribute realvaluedinputfeature_20 real
@attribute realvaluedinputfeature_21 real
@attribute realvaluedinputfeature_22 real
@attribute realvaluedinputfeature_23 real
@attribute realvaluedinputfeature_24 real
@attribute realvaluedinputfeature_25 real
@attribute realvaluedinputfeature_26 real
@attribute realvaluedinputfeature_27 real
@attribute realvaluedinputfeature_28 real
@attribute realvaluedinputfeature_29 real
@attribute realvaluedinputfeature_30 real


@data

17.99,10.38,?,1001.0,0.1184,?,0.3001,0.1471,0.2419,?,1.095,?,8.589,153.4,0.006399,0.04904,?,?,0.03003,0.006193,?,17.33,184.6,2019.0,0.1622,?,0.7119,?,0.4601,?
?,?,132.9,1326.0,0.08474,?,0.0869,?,0.1812,?,0.5435,0.7339,?,74.08,?,0.01308,?,0.0134,0.01389,?,24.99,23.41,158.8,?,?,?,?,0.186,?,0.08902
19.69,21.25,?,?,0.1096,0.1599,?,0.1279,0.2069,0.05999,0.7456,0.7869,4.585,?,0.00615,?,0.03832,0.02058,0.0225,0.004571,?,?,152.5,1709.0,?,0.4245,0.4504,0.243,0.3613,0.08758
11.42,?,77.58,386.1,0.1425,?,?,?,0.2597,0.09744,0.4956,?,3.445,27.23,0.00911,0.07458,0.05661,0.01867,?,?,?,26.5,98.87,567.7,0.2098,0.8663,0.6869,0.2575,?,0.173
20.29,14.34,135.1,?,0.1003,0.1328,0.198,0.1043,?,0.05883,0.7572,0.7813,5.438,94.44,?,0.02461,?,0.01885,?,?,22.54,16.67,?,1575.0,0.1374,?,?,0.1625,0.2364,0.07678
12.45,15.7,?,477.1,?,?,?,0.08089,0.2087,0.07613,?,0.8902,2.217,?,?,0.03345,0.03672,0.01137,0.02165,0.005082,15.47,23.75,103.4,741.6,0.1791,0.5249,0.5355,0.1741,0.3985,0.1244
18.25,?,119.6,1040.0,0.09463,0.109,?,0.074,0.1794,0.05742,0.4467,?,3.18,53.91,?,0.01382,0.02254,0.01039,0.01369,0.002179,22.88,?,153.2,?,?,0.2576,0.3784,?,?,?
?,20.83,90.2,577.9,0.1189,?,?,?,0.2196,0.07451,0.5835,1.377,3.856,50.96,?,0.03029,0.02488,0.01448,?,0.005412,?,?,110.6,897.0,?,0.3682,0.2678,0.1556,0.3196,0.1151
?,21.82,87.5,519.8,0.1273,?,0.1859,0.09353,?,0.07389,?,?,2.406,24.32,0.005731,?,?,0.01226,0.02143,0.003749,15.49,30.73,106.2,?,0.1703,0.5401,0.539,?,0.4378,?
12.46,24.04,?,475.9,?,0.2396,?,?,?,?,0.2976,1.599,2.039,23.94,0.007149,?,0.07743,0.01432,0.01789,?,15.09,40.68,97.65,711.4,0.1853,1.058,1.105,?,0.4366,0.2075
16.02,23.24,?,?,0.08206,0.06669,?,?,0.1528,?,0.3795,?,?,?,?,0.009269,0.01101,0.007591,0.0146,0.003042,?,33.88,?,1150.0,0.1181,0.1551,0.1459,0.09975,0.2948,0.08452
15.78,?,103.6,781.0,0.0971,?,0.09954,0.06606,0.1842,0.06082,0.5058,?,?,?,0.005771,0.04061,0.02791,?,0.02008,0.004144,?,27.28,136.5,1299.0,?,?,0.3965,0.181,?,0.1048
19.17,24.8,132.4,?,?,0.2458,0.2065,?,0.2397,?,0.9555,3.568,?,116.2,?,0.08297,?,0.0409,?,0.01284,?,29.94,151.7,1332.0,0.1037,0.3903,0.3639,0.1767,?,?
15.85,23.95,103.7,?,0.08401,0.1002,?,?,0.1847,?,0.4033,1.078,?,36.58,0.009769,0.03126,0.05051,0.01992,0.02981,?,?,27.66,112.0,876.5,0.1131,0.1924,?,0.1119,0.2809,0.06287
13.73,22.61,93.6,?,0.1131,0.2293,0.2128,0.08025,0.2069,0.07682,0.2121,1.169,2.061,19.21,0.006429,0.05936,0.05501,0.01628,0.01961,0.008093,15.03,?,?,697.7,0.1651,0.7725,?,0.2208,?,?
14.54,27.54,96.73,658.8,0.1139,?,0.1639,0.07364,0.2303,0.07077,0.37,?,?,?,0.005607,0.0424,0.04741,0.0109,0.01857,0.005466,17.46,37.13,124.1,943.2,?,0.6577,0.7026,0.1712,0.4218,0.1341
14.68,20.13,94.74,?,0.09867,?,?,?,0.1586,?,0.4727,?,3.195,45.4,0.005718,?,0.01998,0.01109,?,?,19.07,30.88,123.4,1138.0,0.1464,?,0.2914,0.1609,0.3029,0.08216
16.13,?,108.1,798.8,?,?,?,?,0.2164,0.07356,?,1.073,3.854,54.18,?,?,0.03188,0.01297,0.01689,0.004142,?,?,136.8,?,0.1789,0.4233,?,0.2073,0.3706,0.1142
?,?,130.0,1260.0,0.09831,?,?,0.09498,0.1582,?,0.7582,?,5.865,?,?,0.01893,0.03391,0.01521,?,?,27.32,?,?,?,0.1512,0.315,0.5372,0.2388,?,0.07615
13.54,14.36,87.46,566.3,0.09779,0.08129,0.06664,?,?,0.05766,?,0.7886,2.058,23.56,?,?,0.02387,?,0.0198,0.0023,15.11,19.26,?,711.2,0.144,0.1773,0.239,0.1288,?,0.07259
13.08,15.71,85.63,520.0,?,?,0.04568,0.0311,?,?,0.1852,0.7477,1.383,14.67,0.004097,?,?,0.00649,0.01678,0.002425,?,20.49,96.09,630.5,0.1312,0.2776,?,0.07283,?,0.08183
9.504,?,60.34,?,?,0.06492,0.02956,0.02076,?,?,?,0.9768,?,15.7,0.009606,?,?,0.01421,0.02027,?,10.23,15.66,65.13,?,?,0.1148,0.08867,0.06227,0.245,?
15.34,14.26,?,704.4,0.1073,0.2135,0.2077,0.09756,?,?,0.4388,0.7096,3.384,?,0.006789,?,?,0.02252,0.03672,0.004394,?,19.08,?,?,0.139,?,0.6305,0.2393,0.4667,0.09946
?,23.04,?,?,?,0.1022,0.1097,?,0.1769,0.05278,0.6917,1.127,?,93.99,0.004728,?,?,0.01038,0.01083,?,?,35.59,188.0,?,0.1401,0.26,0.3155,0.2009,?,?
?,21.38,110.0,904.6,?,?,0.1525,0.0917,?,0.0633,0.8068,0.9017,5.455,?,0.006048,0.01882,?,?,?,?,?,31.56,177.0,2215.0,0.1805,0.3578,0.4695,?,?,0.09564
17.14,16.4,?,?,0.1186,0.2276,0.2229,?,0.304,?,1.046,0.976,7.276,111.4,0.008029,0.03799,0.03732,0.02397,0.02308,0.007444,22.25,?,152.4,?,0.1545,0.3949,?,0.255,0.4066,0.1059
?,21.53,97.41,?,0.1054,0.1868,?,0.08783,0.2252,?,?,?,?,21.05,0.004452,?,?,0.01352,0.01454,0.003711,17.62,?,122.4,?,?,0.6643,?,?,?,0.1275
18.61,20.25,?,?,0.0944,0.1066,0.149,?,0.1697,0.05699,0.8529,1.849,?,?,0.01075,0.02722,0.05081,?,0.02293,0.004217,?,27.26,?,1403.0,0.1338,?,0.3446,?,?,0.07421
15.3,25.27,102.4,732.4,?,0.1697,0.1683,?,?,?,0.439,1.012,3.498,?,0.005233,?,0.03576,?,0.01768,0.002967,20.27,36.71,149.3,1269.0,0.1641,0.611,0.6335,0.2024,0.4027,0.09876
17.57,15.05,?,?,?,?,0.09875,?,0.1739,0.06149,?,0.8225,4.655,?,0.005627,?,?,0.01354,?,?,20.01,19.52,?,1227.0,0.1255,0.2812,?,?,?,?
?,?,124.8,1088.0,?,0.1887,0.2319,0.1244,0.2183,?,?,1.466,?,105.0,0.006248,?,0.05196,?,?,0.00456,23.15,34.01,160.5,1670.0,0.1491,?,?,0.1848,0.3444,0.09782
11.84,18.7,77.93,?,0.1109,0.1516,?,?,?,0.07799,?,1.03,?,?,0.005551,0.03414,?,?,?,0.005667,16.82,?,119.4,888.7,?,?,?,0.1546,?,0.1402
?,23.98,?,?,0.1197,0.1496,?,0.1203,0.2248,0.06382,?,1.398,?,?,0.008268,0.03082,?,0.01112,0.02102,0.003854,?,32.09,136.1,1344.0,0.1634,?,?,?,0.353,?
19.27,26.47,?,?,?,?,0.1657,0.07593,0.1853,0.06261,0.5558,?,3.528,68.17,?,?,?,?,0.01543,?,?,30.9,?,1813.0,0.1509,?,?,0.1785,?,?
?,?,107.0,807.2,0.104,0.1559,?,?,?,0.06515,?,0.6857,2.183,?,0.004185,0.02868,?,0.009067,0.01703,0.003817,?,27.26,?,1261.0,0.1446,?,?,0.1864,?,0.1233
?,21.59,?,?,0.0961,?,0.1348,?,?,0.05656,?,?,3.008,45.19,?,?,0.03695,?,0.02789,0.002665,20.01,29.02,?,?,?,0.3835,?,?,0.4863,0.08633
?,21.72,?,633.0,?,?,?,0.05598,0.1885,?,?,1.019,?,?,0.005878,0.02995,0.04815,0.01161,0.02028,0.004022,15.89,?,?,799.6,?,0.4238,?,0.1447,0.3591,?
?,?,82.61,523.8,0.08983,?,?,0.02923,?,?,0.1839,?,?,14.16,0.004352,0.004899,?,?,?,0.001777,13.3,22.81,84.46,545.9,0.09701,0.04619,?,?,?,?
14.99,?,95.54,698.8,?,0.05131,0.02398,?,0.1565,?,?,?,8.077,106.0,0.006883,?,0.01818,?,?,?,14.99,?,?,698.8,?,0.05131,?,0.02899,?,0.05504
?,20.82,?,559.2,0.1016,0.1255,0.1063,?,0.172,0.06419,0.213,0.5914,?,18.52,?,?,0.03049,?,?,?,?,26.02,107.3,740.4,0.161,?,?,?,0.2807,?
?,21.58,86.18,?,0.08162,0.06031,?,0.02031,?,0.05587,?,?,1.572,20.53,?,0.01102,0.0139,0.006881,0.0138,?,15.93,?,102.5,787.9,0.1094,?,?,0.1112,0.2994,?
10.95,?,?,?,?,0.1218,?,0.05669,?,0.0687,?,?,?,16.97,0.008064,?,?,0.01037,?,0.00304,12.84,?,87.22,?,0.1909,?,0.4023,?,0.2964,0.09606
?,?,128.3,1104.0,?,?,?,?,0.231,0.06343,?,1.666,?,104.9,0.006548,?,0.09723,0.02638,?,0.007646,24.09,?,177.4,?,0.1247,0.7444,0.7242,?,0.467,?
