@relation dataset

@attribute parents {usual, pretentious, great_pret}
@attribute has_nurs {proper, less_proper, improper, critical, very_crit}
@attribute form {complete, completed, incomplete, foster}
@attribute children {1, 2, 3, more}
@attribute housing {convenient, less_conv, critical}
@attribute finance {convenient, inconv}
@attribute social {nonprob, slightly_prob, problematic}
@attribute health {recommended, priority, not_recom}
@attribute class {not_recom, recommend, very_recom, priority, spec_prior}


@data

usual,?,complete,?,?,?,nonprob,recommended,recommend
usual,proper,?,?,?,?,?,?,priority
usual,proper,?,?,?,convenient,nonprob,not_recom,not_recom
usual,proper,complete,?,convenient,convenient,slightly_prob,recommended,recommend
usual,proper,complete,1,convenient,?,slightly_prob,priority,priority
usual,proper,complete,?,convenient,convenient,?,not_recom,?
?,proper,complete,1,?,convenient,problematic,?,priority
?,proper,complete,1,convenient,convenient,problematic,?,priority
usual,?,?,?,convenient,convenient,problematic,?,not_recom
?,?,?,?,convenient,?,nonprob,recommended,?
usual,?,complete,?,convenient,inconv,nonprob,priority,?
?,?,complete,1,?,inconv,nonprob,not_recom,not_recom
?,proper,?,1,convenient,inconv,?,?,very_recom
?,proper,?,?,convenient,inconv,slightly_prob,?,?
usual,proper,?,?,?,?,slightly_prob,not_recom,not_recom
usual,proper,complete,?,convenient,inconv,problematic,?,?
usual,?,?,?,?,?,problematic,priority,priority
?,?,complete,?,convenient,?,?,not_recom,not_recom
usual,proper,complete,?,less_conv,?,nonprob,recommended,?
usual,proper,?,1,less_conv,?,nonprob,priority,?
usual,?,?,1,?,convenient,?,?,?
?,?,?,?,less_conv,convenient,?,recommended,?
usual,proper,complete,?,less_conv,?,?,priority,?
?,proper,?,?,?,?,slightly_prob,?,not_recom
?,proper,complete,?,?,convenient,?,?,?
usual,?,complete,1,less_conv,convenient,problematic,priority,priority
usual,?,?,1,?,convenient,problematic,not_recom,not_recom
usual,?,complete,1,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,complete,1,?,?,?,priority,?
usual,proper,complete,?,less_conv,inconv,?,?,not_recom
?,proper,?,1,less_conv,inconv,slightly_prob,recommended,?
usual,proper,?,?,less_conv,?,?,priority,?
usual,proper,complete,?,?,?,slightly_prob,not_recom,not_recom
?,proper,?,1,less_conv,inconv,problematic,recommended,priority
?,proper,?,?,less_conv,?,?,priority,?
usual,proper,complete,1,?,?,problematic,not_recom,?
usual,?,?,?,critical,?,nonprob,recommended,?
?,proper,complete,1,critical,convenient,nonprob,?,?
?,proper,complete,1,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,?,?,convenient,?,recommended,very_recom
