@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

alfa-romero,gas,std,two,convertible,rwd,front,?,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,?,?,9.0,111.0,5000.0,21.0,27.0,13495.0,?
?,gas,std,two,convertible,rwd,?,?,?,?,?,2548.0,dohc,?,130.0,mpfi,3.47,2.68,?,111.0,5000.0,21.0,?,16500.0,3
alfa-romero,?,std,?,?,rwd,front,?,171.2,65.5,?,?,?,?,?,mpfi,2.68,3.47,9.0,?,5000.0,?,?,16500.0,1
audi,gas,std,four,sedan,fwd,front,99.8,176.6,?,54.3,2337.0,ohc,four,109.0,mpfi,?,3.4,?,?,5500.0,24.0,30.0,?,?
?,?,std,?,?,4wd,?,99.4,176.6,?,54.3,2824.0,ohc,?,?,mpfi,3.19,3.4,8.0,?,5500.0,18.0,?,17450.0,2
audi,?,?,?,sedan,fwd,front,99.8,177.3,66.3,53.1,?,?,five,136.0,mpfi,?,3.4,8.5,110.0,?,19.0,25.0,15250.0,2
audi,gas,?,four,sedan,?,front,?,?,71.4,?,2844.0,ohc,?,136.0,?,3.19,?,8.5,110.0,?,19.0,?,17710.0,1
audi,gas,std,?,wagon,?,front,105.8,192.7,71.4,?,2954.0,?,five,136.0,?,3.19,?,8.5,?,?,?,25.0,18920.0,1
audi,gas,turbo,four,sedan,?,front,105.8,192.7,?,?,3086.0,ohc,five,131.0,?,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,?,1
?,gas,std,two,sedan,rwd,?,101.2,176.8,?,54.3,?,ohc,?,?,?,?,2.8,?,101.0,?,23.0,29.0,16430.0,2
bmw,gas,std,four,sedan,?,front,101.2,176.8,?,?,2395.0,?,four,108.0,mpfi,3.5,2.8,?,?,5800.0,?,29.0,?,?
?,?,std,?,?,rwd,front,101.2,?,64.8,54.3,2710.0,ohc,six,?,mpfi,3.31,?,9.0,?,?,21.0,28.0,?,0
?,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,six,?,mpfi,?,3.19,9.0,121.0,?,?,28.0,21105.0,0
?,gas,std,?,sedan,rwd,front,103.5,?,66.9,55.7,3055.0,ohc,?,164.0,mpfi,3.31,3.19,9.0,121.0,4250.0,20.0,25.0,?,?
bmw,gas,std,?,sedan,rwd,?,103.5,?,66.9,?,3230.0,ohc,?,209.0,mpfi,3.62,?,8.0,?,5400.0,?,22.0,30760.0,0
bmw,?,?,?,?,rwd,front,103.5,193.8,67.9,53.7,?,?,?,?,mpfi,3.62,3.39,8.0,?,?,16.0,22.0,41315.0,0
bmw,?,std,four,?,rwd,?,?,?,70.9,56.3,?,ohc,?,?,mpfi,?,?,8.0,182.0,5400.0,15.0,20.0,36880.0,0
chevrolet,gas,std,?,?,fwd,front,88.4,141.1,?,53.2,1488.0,l,three,61.0,2bbl,2.91,?,?,48.0,5100.0,47.0,53.0,5151.0,2
chevrolet,gas,?,two,hatchback,?,?,?,?,63.6,52.0,?,ohc,?,?,?,3.03,3.11,9.6,70.0,?,?,43.0,?,1
?,?,std,four,sedan,?,?,94.5,158.8,?,52.0,1909.0,?,?,90.0,2bbl,?,?,9.6,?,5400.0,38.0,?,?,0
dodge,gas,std,two,hatchback,fwd,front,93.7,?,63.8,?,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,?,5500.0,37.0,41.0,5572.0,1
dodge,gas,std,?,?,?,front,93.7,?,?,50.8,1876.0,ohc,four,90.0,2bbl,?,3.23,9.4,68.0,5500.0,?,?,?,?
dodge,gas,turbo,?,hatchback,?,front,93.7,?,63.8,?,2128.0,?,four,?,mpfi,3.03,?,7.6,102.0,5500.0,24.0,?,?,?
dodge,?,std,four,hatchback,?,?,93.7,157.3,?,50.6,1967.0,ohc,four,?,2bbl,2.97,?,9.4,68.0,5500.0,31.0,38.0,?,1
dodge,?,?,four,sedan,?,front,?,157.3,?,50.6,1989.0,?,four,90.0,2bbl,2.97,3.23,9.4,68.0,?,31.0,38.0,6692.0,1
dodge,?,std,?,sedan,fwd,?,?,157.3,?,?,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,?,5500.0,31.0,38.0,7609.0,?
dodge,?,?,?,wagon,fwd,front,103.3,?,?,59.8,?,?,?,?,?,3.34,3.46,8.5,88.0,5000.0,24.0,?,8921.0,?
dodge,?,?,two,?,?,front,?,173.2,66.3,50.2,?,ohc,?,?,?,?,3.9,7.0,145.0,5000.0,19.0,24.0,12964.0,3
?,gas,std,two,hatchback,?,front,86.6,?,?,?,1713.0,?,?,?,1bbl,2.91,?,?,?,?,?,?,?,2
honda,gas,?,?,hatchback,fwd,front,86.6,?,63.9,?,1819.0,?,four,92.0,?,?,3.41,?,76.0,6000.0,?,38.0,6855.0,2
?,?,?,two,hatchback,fwd,front,93.7,150.0,?,?,1837.0,ohc,four,79.0,1bbl,2.91,3.07,?,60.0,?,38.0,42.0,5399.0,1
honda,gas,std,?,hatchback,?,?,93.7,150.0,?,?,?,ohc,?,92.0,1bbl,2.91,?,9.2,76.0,?,30.0,34.0,6529.0,1
honda,?,?,?,hatchback,fwd,front,93.7,?,?,?,1956.0,?,?,?,?,2.91,3.41,9.2,76.0,6000.0,30.0,?,7129.0,1
?,gas,std,four,sedan,fwd,front,96.5,163.4,?,?,2010.0,ohc,?,92.0,1bbl,?,?,9.2,?,6000.0,?,?,7295.0,0
honda,?,std,?,?,?,front,96.5,157.1,63.9,?,?,ohc,four,?,?,?,?,9.2,76.0,6000.0,30.0,34.0,7295.0,0
honda,?,?,?,hatchback,fwd,front,96.5,167.5,?,53.3,?,ohc,?,?,1bbl,3.15,3.58,9.0,86.0,5800.0,?,33.0,7895.0,?
honda,gas,std,two,?,?,front,96.5,167.5,?,?,?,?,?,110.0,?,3.15,?,9.0,?,5800.0,?,33.0,9095.0,0
honda,gas,std,four,sedan,fwd,front,?,175.4,65.2,?,2304.0,?,four,?,1bbl,3.15,3.58,?,86.0,5800.0,27.0,33.0,8845.0,?
honda,gas,std,?,?,fwd,?,?,175.4,?,54.1,2372.0,ohc,four,?,1bbl,3.15,?,9.0,86.0,5800.0,?,33.0,10295.0,0
honda,gas,?,four,?,?,front,96.5,175.4,65.2,?,?,ohc,?,110.0,?,?,3.58,9.0,?,?,24.0,?,?,0
