@relation dataset

@attribute make {alfa-romero, audi, bmw, chevrolet, dodge, honda, isuzu, jaguar, mazda, mercedes-benz, mercury, mitsubishi, nissan, peugot, plymouth, porsche, saab, subaru, toyota, volkswagen, volvo}
@attribute fuel-type {diesel, gas}
@attribute aspiration {std, turbo}
@attribute num-of-doors {four, two}
@attribute body-style {convertible, hardtop, hatchback, sedan, wagon}
@attribute drive-wheels {4wd, fwd, rwd}
@attribute engine-location {front, rear}
@attribute wheel-base real
@attribute length real
@attribute width real
@attribute height real
@attribute curb-weight real
@attribute engine-type {dohc, l, ohc, ohcf, ohcv}
@attribute num-of-cylinders {eight, five, four, six, three, twelve}
@attribute engine-size real
@attribute fuel-system {1bbl, 2bbl, idi, mfi, mpfi, spdi, spfi}
@attribute bore real
@attribute stroke real
@attribute compression-ratio real
@attribute horsepower real
@attribute peak-rpm real
@attribute city-mpg real
@attribute highway-mpg real
@attribute price real
@attribute symboling {-2, -1, 0, 1, 2, 3}


@data

?,gas,?,?,convertible,rwd,?,88.6,168.8,?,48.8,2548.0,dohc,four,130.0,mpfi,3.47,?,9.0,111.0,?,?,27.0,13495.0,3
?,?,std,?,convertible,rwd,front,88.6,?,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111.0,?,21.0,27.0,16500.0,3
alfa-romero,gas,?,?,?,rwd,front,94.5,171.2,?,?,2823.0,?,six,?,?,?,?,9.0,154.0,5000.0,19.0,?,16500.0,1
audi,gas,std,?,?,?,?,99.8,176.6,66.2,54.3,2337.0,?,four,109.0,?,3.19,3.4,10.0,102.0,5500.0,24.0,30.0,13950.0,2
?,gas,std,four,?,?,front,99.4,?,?,54.3,2824.0,ohc,five,136.0,?,?,3.4,?,?,5500.0,18.0,?,17450.0,2
audi,gas,?,two,sedan,?,front,99.8,177.3,66.3,53.1,?,?,five,?,?,3.19,?,8.5,110.0,5500.0,?,?,?,2
audi,gas,?,four,sedan,?,?,105.8,192.7,71.4,?,2844.0,ohc,five,136.0,mpfi,3.19,?,8.5,?,?,19.0,25.0,17710.0,1
?,?,std,four,wagon,?,front,?,192.7,71.4,55.7,2954.0,?,five,136.0,mpfi,3.19,?,8.5,110.0,?,?,25.0,18920.0,1
audi,gas,turbo,four,sedan,fwd,front,105.8,?,?,?,?,ohc,five,131.0,mpfi,3.13,3.4,8.3,140.0,5500.0,17.0,20.0,?,1
bmw,?,std,two,sedan,rwd,front,101.2,176.8,?,54.3,2395.0,ohc,four,108.0,mpfi,?,2.8,?,101.0,5800.0,23.0,29.0,16430.0,2
?,gas,std,four,sedan,rwd,front,?,176.8,?,54.3,2395.0,ohc,four,108.0,mpfi,?,2.8,?,101.0,?,?,?,?,0
?,?,std,?,sedan,rwd,front,101.2,176.8,?,54.3,?,ohc,six,164.0,mpfi,3.31,3.19,9.0,?,?,?,28.0,20970.0,0
?,gas,std,four,?,rwd,?,101.2,?,?,?,?,ohc,six,164.0,?,3.31,3.19,9.0,121.0,4250.0,21.0,?,21105.0,0
?,gas,?,?,?,?,?,103.5,?,66.9,55.7,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121.0,?,20.0,?,?,?
bmw,?,std,four,sedan,rwd,front,103.5,?,?,55.7,3230.0,?,six,209.0,mpfi,?,3.39,8.0,182.0,5400.0,16.0,22.0,30760.0,0
bmw,gas,std,two,sedan,rwd,front,?,193.8,67.9,53.7,3380.0,ohc,?,209.0,mpfi,?,?,8.0,182.0,?,?,22.0,?,0
?,?,std,?,sedan,?,?,110.0,197.0,70.9,56.3,3505.0,ohc,six,209.0,mpfi,?,3.39,8.0,182.0,5400.0,?,20.0,36880.0,?
chevrolet,gas,std,two,?,fwd,front,88.4,?,?,53.2,1488.0,l,?,?,2bbl,2.91,3.03,9.5,48.0,5100.0,47.0,53.0,5151.0,?
?,?,?,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,?,90.0,?,3.03,3.11,9.6,70.0,?,38.0,43.0,6295.0,1
chevrolet,?,?,four,sedan,fwd,front,?,?,63.6,?,1909.0,?,?,90.0,2bbl,3.03,?,?,70.0,5400.0,38.0,43.0,?,?
dodge,gas,std,?,?,fwd,front,93.7,?,63.8,50.8,1876.0,?,four,?,2bbl,2.97,?,9.41,68.0,5500.0,?,41.0,5572.0,1
