@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

?,?,?,0.0,?,very_low
0.08,?,?,?,0.9,High
0.06,0.06,0.05,?,?,Low
?,0.1,0.15,?,?,Middle
0.08,?,0.08,0.98,0.24,Low
0.09,0.15,0.4,?,0.66,?
0.1,0.1,?,0.29,?,Middle
?,0.02,0.34,?,?,very_low
?,?,?,?,?,?
0.0,0.0,0.5,?,?,?
0.18,0.18,?,?,0.81,?
?,0.06,0.51,0.41,?,Low
?,0.1,?,?,0.34,?
0.1,0.1,0.7,?,0.9,?
?,0.2,?,?,0.6,Middle
0.12,0.12,0.75,0.35,?,High
?,0.07,0.7,0.01,0.05,very_low
?,?,?,?,0.33,?
0.15,?,0.05,0.27,0.29,?
?,0.29,?,0.49,?,Middle
0.12,?,?,0.78,0.2,?
?,?,?,0.12,0.66,?
0.1,0.27,?,?,0.65,?
?,?,?,0.42,0.28,?
0.06,?,?,?,?,Low
0.09,0.3,?,?,?,?
0.04,0.28,?,?,?,very_low
?,0.255,0.6,0.45,?,?
?,0.325,?,?,0.56,High
?,0.275,?,?,?,?
?,0.245,?,?,0.59,?
?,?,?,0.65,?,?
0.1,0.256,0.7,?,0.16,?
0.18,0.32,0.04,?,?,High
?,?,0.28,0.31,?,High
0.06,0.35,?,?,0.29,Low
?,0.42,?,?,?,Low
?,?,?,?,0.33,?
0.09,0.33,?,0.26,0.0,very_low
?,?,0.38,?,0.45,Middle
?,0.33,?,?,?,Low
?,?,?,?,?,?
?,?,?,0.29,0.6,Middle
?,?,?,0.64,0.25,?
0.115,0.35,?,0.27,0.04,?
?,?,?,0.14,0.66,Middle
?,?,0.75,0.31,?,Middle
?,0.39,0.85,0.38,0.77,High
?,?,?,0.71,?,High
0.09,0.51,?,?,?,?
?,0.5,?,?,?,Low
?,?,0.19,?,0.45,Middle
?,?,0.12,0.78,0.05,Low
0.24,0.75,?,?,0.86,?
0.18,0.72,0.37,0.29,0.55,?
0.1,0.6,0.33,?,0.26,?
0.2,0.52,?,0.84,0.25,?
?,?,?,0.19,0.59,Middle
0.18,0.51,?,0.33,0.82,High
?,0.58,?,0.64,?,Low
0.09,0.61,?,0.75,?,Low
?,0.77,?,?,0.56,?
0.15,?,?,?,?,Middle
0.2,0.68,0.73,?,?,?
0.24,0.58,0.76,?,0.28,Middle
?,?,0.03,0.09,?,?
0.32,?,?,0.26,0.24,?
0.29,0.06,0.19,?,?,Middle
0.28,0.1,?,?,?,?
0.3,0.08,0.4,0.02,?,Middle
0.27,?,0.37,0.29,0.58,?
?,0.1,?,?,0.75,High
0.29,0.15,0.33,0.66,0.08,?
?,0.2,0.52,?,0.53,?
?,0.16,?,?,0.78,High
0.255,0.18,0.5,?,?,very_low
?,0.06,0.57,?,0.1,Low
?,0.1,?,0.1,?,?
?,0.1,?,?,0.2,very_low
?,?,0.86,0.44,0.28,Low
?,?,0.79,?,0.24,Low
0.295,0.25,0.26,0.12,?,?
?,0.32,?,?,0.62,?
?,0.29,?,0.48,0.26,Low
?,0.1,0.1,?,0.25,Low
0.248,?,0.31,0.2,0.03,?
?,?,0.38,?,?,High
0.27,?,?,0.41,0.28,Low
?,0.29,0.4,?,0.18,Low
0.29,?,0.52,0.09,0.67,?
?,?,0.64,?,0.56,?
0.32,0.255,0.55,0.78,0.34,Middle
?,?,?,?,?,?
?,0.31,?,?,0.24,?
?,?,?,0.32,0.8,High
?,0.305,0.86,0.62,?,?
0.295,0.25,?,?,0.19,Low
0.258,0.25,0.295,0.33,0.77,High
?,?,?,?,0.57,?
0.243,0.27,?,0.42,?,Low
0.27,?,?,0.48,0.26,Low
0.299,?,0.31,?,?,High
?,0.27,?,0.31,0.54,Middle
0.245,0.26,?,0.49,?,Low
?,?,0.31,0.76,0.1,Low
0.29,0.3,0.56,?,?,Middle
?,?,?,?,0.59,Middle
?,0.255,0.63,0.4,0.54,Middle
0.32,0.27,0.52,?,0.3,Middle
