@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

?,?,?,0.0,?,?
0.08,0.08,0.1,?,0.9,?
0.06,?,0.05,?,0.33,?
0.1,0.1,0.15,0.65,0.3,Middle
0.08,0.08,?,?,0.24,?
0.09,0.15,0.4,?,0.66,Middle
?,?,?,?,?,?
?,?,?,?,?,very_low
0.2,0.14,?,0.72,0.25,?
?,?,0.5,0.2,?,High
?,0.18,?,0.3,?,High
0.06,0.06,0.51,?,0.3,?
?,?,?,?,0.34,Middle
0.1,?,0.7,0.15,?,?
0.2,0.2,?,0.3,?,?
?,0.12,?,?,?,?
?,?,?,?,?,?
0.1,?,0.1,?,0.33,Low
?,?,0.05,0.27,0.29,Low
0.2,?,?,?,0.56,Middle
0.12,?,0.2,0.78,?,?
?,?,?,0.12,0.66,?
0.1,?,0.31,?,?,Middle
0.18,0.31,0.32,?,?,?
0.06,0.29,?,?,0.25,?
?,0.3,?,0.18,0.85,?
?,0.28,?,0.25,0.1,?
?,0.255,0.6,?,0.25,Low
?,?,?,0.94,0.56,?
0.15,?,?,0.21,0.81,High
0.12,?,0.75,?,0.59,Middle
0.15,0.295,0.75,0.65,0.24,Low
?,?,0.7,?,0.16,Low
0.18,?,?,0.19,0.82,?
0.2,0.45,0.28,?,?,High
?,?,0.12,?,0.29,?
0.1,?,?,0.72,0.26,Low
?,0.4,0.32,0.08,?,?
?,0.33,0.31,0.26,0.0,very_low
0.19,?,?,?,0.45,Middle
0.02,0.33,0.36,0.76,0.1,?
?,?,?,?,0.78,?
?,0.49,?,0.29,?,?
?,?,?,0.64,?,Middle
?,0.35,0.65,0.27,0.04,?
?,0.36,0.8,?,?,?
?,0.39,0.75,?,0.62,?
0.13,0.39,?,0.38,?,?
0.18,0.34,0.71,?,0.9,?
0.09,?,?,0.18,?,?
0.06,0.5,0.09,?,0.25,?
?,0.7,?,0.51,?,Middle
?,?,0.12,?,?,Low
0.24,?,?,0.18,0.86,?
?,0.72,?,?,0.55,?
?,?,?,?,?,Low
?,?,0.36,0.84,?,?
?,?,?,?,?,Middle
0.18,?,0.58,0.33,?,?
?,0.58,0.6,0.64,?,Low
0.09,0.61,?,0.75,?,?
0.06,0.77,0.72,?,?,?
0.15,?,0.78,?,0.51,?
0.2,0.68,?,0.48,0.28,Low
?,?,0.76,?,0.28,Middle
?,?,0.03,0.09,0.15,?
0.32,?,0.06,?,?,?
0.29,0.06,?,0.55,0.51,?
?,?,?,?,0.32,Low
?,0.08,0.4,0.02,?,?
0.27,?,0.37,0.29,0.58,Middle
0.31,0.1,?,?,?,?
0.29,0.15,?,?,?,very_low
0.3,0.2,0.52,?,0.53,?
0.28,?,0.69,0.33,0.78,?
?,?,0.5,0.4,?,?
0.265,?,0.57,0.75,0.1,?
?,?,?,0.1,?,?
?,0.1,0.71,0.26,0.2,very_low
?,?,?,0.44,?,?
0.32,?,0.79,?,0.24,Low
0.295,0.25,0.26,0.12,?,Middle
?,0.32,?,?,0.62,?
?,?,?,?,0.26,?
0.27,0.1,?,?,0.25,Low
?,0.3,0.31,?,0.03,very_low
0.325,?,0.38,?,?,?
?,0.31,?,?,0.28,Low
?,?,0.4,0.78,0.18,Low
?,?,?,?,?,Middle
?,0.28,0.64,0.29,?,?
?,0.255,0.55,0.78,?,Middle
?,0.265,0.57,0.6,0.09,?
?,?,?,0.23,?,Low
0.323,0.32,?,?,0.8,?
0.255,?,0.86,?,0.15,?
0.295,?,?,?,0.19,?
?,0.25,?,0.33,?,High
?,0.25,?,0.29,?,Middle
0.243,0.27,0.08,?,?,?
0.27,0.28,0.18,0.48,0.26,Low
0.299,?,0.31,0.33,0.87,?
?,?,0.31,0.31,?,?
?,?,0.38,0.49,?,?
0.295,0.29,0.31,?,0.1,Low
?,?,0.56,0.25,?,Middle
?,?,0.6,?,0.59,?
?,0.255,0.63,0.4,0.54,Middle
0.32,?,0.52,0.81,?,Middle
0.299,?,0.8,?,0.84,High
?,?,0.81,0.27,?,Low
0.258,?,?,?,?,?
?,0.28,?,?,?,High
?,?,0.02,?,0.79,?
0.295,?,0.29,0.31,0.55,?
?,0.64,0.18,0.61,?,?
0.265,?,?,?,0.07,very_low
?,?,0.28,0.8,0.7,?
0.28,?,?,?,0.66,?
