@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

?,0.0,?,?,0.0,?
?,?,?,?,?,High
0.06,0.06,?,?,0.33,?
0.1,0.1,0.15,?,0.3,?
?,0.08,?,0.98,?,?
0.09,0.15,0.4,0.1,0.66,?
0.1,0.1,0.43,?,?,?
?,?,0.34,?,?,very_low
0.2,?,0.35,?,?,?
0.0,0.0,?,0.2,0.85,High
0.18,0.18,0.55,0.3,0.81,High
?,0.06,?,0.41,?,?
0.1,?,?,0.78,0.34,?
?,0.1,?,?,0.9,High
?,0.2,0.7,0.3,0.6,Middle
0.12,0.12,?,0.35,0.8,?
?,0.07,?,?,0.05,?
?,?,?,?,0.33,Low
0.15,0.32,?,?,0.29,Low
?,?,?,0.49,?,Middle
?,0.28,0.2,0.78,0.2,Low
0.18,0.3,0.37,?,0.66,?
0.1,0.27,0.31,?,0.65,?
?,?,0.32,0.42,?,Low
?,?,0.35,?,?,?
?,?,?,?,0.85,High
0.04,?,0.55,?,?,very_low
?,?,0.6,0.45,?,?
0.08,0.325,?,?,?,?
?,?,?,?,?,High
?,?,?,0.31,?,?
0.15,0.295,?,0.65,0.24,?
0.1,?,?,0.76,?,Low
?,?,0.04,?,0.82,High
?,0.45,?,0.31,?,High
0.06,?,?,0.43,0.29,Low
0.1,?,0.22,0.72,?,?
?,?,?,?,0.33,Low
0.09,0.33,?,0.26,0.0,very_low
0.19,0.38,0.38,0.49,?,Middle
?,0.33,?,0.76,0.1,Low
?,?,0.6,?,?,High
0.14,0.49,0.55,?,0.6,?
?,0.33,?,?,?,Middle
0.115,?,?,?,0.04,very_low
0.17,0.36,?,0.14,?,?
?,?,0.75,?,?,?
?,?,?,0.38,0.77,High
?,0.34,0.71,?,?,High
0.09,0.51,?,?,?,?
?,?,0.09,?,0.25,Low
0.23,?,?,0.51,0.45,Middle
0.09,?,?,?,?,Low
0.24,0.75,?,0.18,0.86,High
0.18,0.72,0.37,0.29,?,Middle
0.1,?,0.33,0.42,0.26,?
?,0.52,?,0.84,0.25,Middle
0.09,?,?,?,?,?
0.18,?,?,0.33,?,High
0.08,?,0.6,?,0.1,?
?,?,0.53,0.75,0.01,Low
0.06,?,0.72,?,?,Middle
0.15,0.79,?,?,0.51,?
?,?,0.73,?,?,Low
0.24,?,0.76,?,0.28,?
0.25,?,0.03,?,?,very_low
0.32,?,0.06,0.26,?,?
?,0.06,0.19,?,?,?
?,0.1,0.12,0.28,?,Low
0.3,?,?,?,?,?
?,?,?,0.29,?,?
?,?,?,0.42,0.75,High
0.29,0.15,0.33,0.66,?,?
