@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

?,0.0,0.0,?,0.0,very_low
?,0.08,0.1,?,0.9,?
0.06,0.06,0.05,0.25,?,Low
0.1,0.1,?,0.65,0.3,Middle
?,?,0.08,?,?,Low
?,0.15,0.4,?,?,?
0.1,?,0.43,?,?,?
?,0.02,0.34,0.4,?,very_low
?,?,0.35,0.72,?,?
?,0.0,?,0.2,0.85,High
?,0.18,0.55,0.3,0.81,?
0.06,?,?,0.41,?,?
0.1,?,0.52,?,0.34,?
0.1,?,0.7,?,?,High
0.2,?,?,?,?,Middle
0.12,0.12,0.75,0.35,?,?
?,0.07,0.7,?,?,?
0.1,?,0.1,?,?,Low
?,0.32,?,0.27,0.29,?
0.2,?,0.25,?,?,Middle
?,0.28,0.2,0.78,?,?
0.18,?,?,?,0.66,?
?,0.27,0.31,?,?,Middle
0.18,0.31,?,?,?,Low
0.06,0.29,?,?,?,Low
?,?,0.68,0.18,0.85,?
?,0.28,0.55,0.25,0.1,?
?,?,0.6,0.45,0.25,?
?,0.325,0.62,?,0.56,?
?,?,?,?,0.81,?
0.12,?,0.75,0.31,0.59,Middle
?,0.295,0.75,0.65,?,?
?,?,0.7,0.76,?,?
?,?,0.04,0.19,0.82,High
0.2,?,0.28,0.31,0.78,?
?,?,0.12,?,?,Low
0.1,?,0.22,0.72,0.26,?
0.18,0.4,0.32,0.08,?,?
0.09,?,0.31,0.26,?,?
?,?,?,0.49,0.45,Middle
0.02,?,?,0.76,?,Low
0.2,?,?,?,?,?
?,?,0.55,?,0.6,Middle
?,0.33,0.61,?,?,Middle
?,?,?,0.27,?,very_low
?,0.36,0.8,?,?,?
0.1,?,0.75,0.31,0.62,Middle
?,0.39,?,0.38,?,?
0.18,?,0.71,?,?,?
0.09,0.51,?,?,?,?
0.06,?,0.09,?,0.25,Low
?,?,?,?,0.45,?
?,?,0.12,0.78,?,?
