@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data

0.49,0.29,0.48,0.56,0.24,0.35,0
0.07,0.4,0.48,0.54,0.35,0.44,0
0.56,0.4,0.48,0.49,0.37,0.46,0
0.59,0.49,0.48,0.52,0.45,0.36,0
0.23,0.32,0.48,0.55,0.25,0.35,0
0.67,0.39,0.48,0.36,0.38,0.46,0
0.29,0.28,0.48,0.44,0.23,0.34,0
0.21,0.34,0.48,0.51,0.28,0.39,0
0.2,0.44,0.48,0.46,0.51,0.57,0
0.42,0.4,0.48,0.56,0.18,0.3,0
0.42,0.24,0.48,0.57,0.27,0.37,0
0.25,0.48,0.48,0.44,0.17,0.29,0
0.39,0.32,0.48,0.46,0.24,0.35,0
0.51,0.5,0.48,0.46,0.32,0.35,0
0.22,0.43,0.48,0.48,0.16,0.28,0
0.25,0.4,0.48,0.46,0.44,0.52,0
0.34,0.45,0.48,0.38,0.24,0.35,0
0.44,0.27,0.48,0.55,0.52,0.58,0
0.23,0.4,0.48,0.39,0.28,0.38,0
0.41,0.57,0.48,0.39,0.21,0.32,0
0.4,0.45,0.48,0.38,0.22,0.0,0
0.31,0.23,0.48,0.73,0.05,0.14,0
0.51,0.54,0.48,0.41,0.34,0.43,0
0.3,0.16,0.48,0.56,0.11,0.23,0
0.36,0.39,0.48,0.48,0.22,0.23,0
0.29,0.37,0.48,0.48,0.44,0.52,0
0.25,0.4,0.48,0.47,0.33,0.42,0
0.21,0.51,0.48,0.5,0.32,0.41,0
0.43,0.37,0.48,0.53,0.35,0.44,0
0.43,0.39,0.48,0.47,0.31,0.41,0
0.53,0.38,0.48,0.44,0.26,0.36,0
0.34,0.33,0.48,0.38,0.35,0.44,0
0.56,0.51,0.48,0.34,0.37,0.46,0
