@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {0, 1, 2, 3, 4, 5, 6, 7}


@data

0.4,0.29,0.48,0.42,0.35,0.44,0
0.24,0.35,0.48,0.31,0.19,0.31,0
0.36,0.54,0.48,0.41,0.38,0.46,0
0.29,0.52,0.48,0.42,0.29,0.39,0
0.65,0.47,0.48,0.59,0.3,0.4,0
0.32,0.42,0.48,0.35,0.28,0.38,0
0.38,0.46,0.48,0.48,0.22,0.29,0
0.33,0.45,0.48,0.52,0.32,0.41,0
0.3,0.37,0.48,0.59,0.41,0.49,0
0.4,0.5,0.48,0.45,0.39,0.47,0
0.28,0.38,0.48,0.5,0.33,0.42,0
0.61,0.45,0.48,0.48,0.35,0.41,0
0.17,0.38,0.48,0.45,0.42,0.5,0
0.44,0.35,0.48,0.55,0.55,0.61,0
0.43,0.4,0.48,0.39,0.28,0.39,0
0.42,0.35,0.48,0.58,0.15,0.27,0
0.23,0.33,0.48,0.43,0.33,0.43,0
0.37,0.52,0.48,0.42,0.42,0.36,0
0.29,0.3,0.48,0.45,0.03,0.17,0
0.22,0.36,0.48,0.35,0.39,0.47,0
0.23,0.58,0.48,0.37,0.53,0.59,0
0.47,0.47,0.48,0.22,0.16,0.26,0
0.54,0.47,0.48,0.28,0.33,0.42,0
0.51,0.37,0.48,0.35,0.36,0.45,0
0.4,0.35,0.48,0.45,0.33,0.42,0
0.44,0.34,0.48,0.3,0.33,0.43,0
0.42,0.38,0.48,0.54,0.34,0.43,0
0.44,0.56,0.48,0.5,0.46,0.54,0
0.52,0.36,0.48,0.41,0.28,0.38,0
0.36,0.41,0.48,0.48,0.47,0.54,0
0.18,0.3,0.48,0.46,0.24,0.35,0
0.47,0.29,0.48,0.51,0.33,0.43,0
0.24,0.43,0.48,0.54,0.52,0.59,0
