@relation dataset

@attribute attr_4 real
@attribute attr_5 {NO, YES}
@attribute attr_7 {NO, YES}
@attribute attr_8 {BENTON, UDDEHOLM}
@attribute attr_10 {COATED, UNCOATED}
@attribute attr_11 {COATED, COVER, UNCOATED}
@attribute attr_12 {NO, YES}
@attribute attr_13 {LINE, NAPTHA, XYLOL}
@attribute attr_14 {NO, YES}
@attribute attr_15 {Albert70, Motter70, Motter94, WoodHoe70}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {CATALOG, SPIEGEL, TABLOID}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {band, noband}


@data

25503.0,?,?,BENTON,UNCOATED,UNCOATED,NO,?,?,Motter94,821.0,2.0,TABLOID,1911.0,?,46.0,?,17.0,?,0.75,?,13.1,1700.0,50.5,36.4,?,0.0,?,?,34.0,40.0,?,?,?
39039.0,YES,YES,BENTON,UNCOATED,?,?,?,YES,?,?,?,CATALOG,?,?,?,?,16.0,75.0,0.3125,30.0,?,1467.0,?,38.8,0.0,?,?,?,40.0,?,108.06,100.0,noband
37351.0,?,YES,BENTON,UNCOATED,COATED,?,?,YES,WoodHoe70,816.0,2.0,?,1910.0,?,?,0.3,17.0,80.0,0.75,?,0.0,?,57.5,?,?,?,2.3,0.6,?,40.0,106.67,?,?
?,?,?,?,?,?,NO,LINE,?,?,816.0,2.0,CATALOG,1910.0,?,40.0,0.267,?,76.0,?,28.0,?,1467.0,53.8,37.6,5.0,0.0,?,0.8,40.0,40.0,103.87,?,noband
35751.0,?,YES,BENTON,?,COATED,NO,?,YES,Motter94,?,2.0,TABLOID,1911.0,?,46.0,0.3,?,?,?,?,0.0,2600.0,62.5,37.5,6.0,?,?,0.6,?,40.0,106.67,100.0,?
35751.0,NO,?,BENTON,?,?,?,LINE,YES,Motter94,827.0,?,TABLOID,?,?,46.0,0.2,?,75.0,?,28.0,0.0,2600.0,?,?,6.0,?,?,?,30.0,40.0,106.67,?,?
?,YES,YES,BENTON,UNCOATED,UNCOATED,NO,XYLOL,?,Albert70,802.0,7.0,CATALOG,?,?,?,?,12.0,?,0.75,?,?,1650.0,60.2,?,?,?,3.0,?,?,?,103.22,100.0,band
37000.0,YES,YES,BENTON,UNCOATED,?,NO,?,YES,?,815.0,2.0,?,?,?,?,0.333,16.0,75.0,?,?,22.7,1750.0,45.5,?,0.0,0.0,3.0,1.0,?,40.0,106.66,100.0,noband
37000.0,?,?,BENTON,?,?,NO,?,YES,WoodHoe70,815.0,?,CATALOG,?,65.0,?,0.2,?,68.0,0.75,30.0,?,?,48.5,35.9,0.0,?,3.0,?,?,?,106.6,100.0,?
?,YES,?,BENTON,UNCOATED,?,?,LINE,?,?,821.0,2.0,?,1911.0,?,?,?,?,80.0,?,?,10.5,1700.0,?,36.8,0.0,0.0,2.5,1.0,38.0,40.0,105.0,?,band
?,YES,?,BENTON,UNCOATED,?,?,?,?,?,?,7.0,TABLOID,1911.0,?,50.0,0.3,?,70.0,1.0,?,?,?,50.0,?,?,0.0,2.8,1.0,38.0,40.0,106.66,?,band
?,YES,?,?,?,UNCOATED,?,?,YES,?,?,7.0,?,1911.0,40.0,?,0.3,?,70.0,?,25.0,0.0,1500.0,59.5,40.5,0.0,0.0,?,1.0,?,40.0,?,?,?
?,?,YES,?,?,UNCOATED,NO,LINE,?,Motter94,821.0,2.0,?,1911.0,50.0,43.0,0.267,16.0,75.0,?,20.0,?,1600.0,49.5,?,0.0,?,2.5,?,?,40.0,103.22,?,?
?,NO,YES,?,COATED,COATED,NO,NAPTHA,NO,?,824.0,?,?,?,?,45.0,?,?,70.0,?,?,?,2400.0,58.8,?,?,0.0,1.7,?,?,40.0,?,?,noband
35751.0,NO,YES,BENTON,COATED,COATED,NO,NAPTHA,?,Motter94,824.0,?,?,1911.0,40.0,45.0,0.2,?,76.0,0.8125,?,0.0,2400.0,62.5,37.5,0.0,0.0,?,?,?,40.0,107.4,?,noband
?,NO,YES,BENTON,COATED,?,NO,LINE,YES,Motter94,?,2.0,?,?,?,43.0,?,?,?,?,25.0,1.2,2200.0,58.1,?,4.0,0.0,2.0,?,?,40.0,96.875,100.0,?
35816.0,NO,YES,?,COATED,?,NO,?,?,Motter94,?,?,?,1911.0,?,41.0,0.2,15.8,?,1.0,30.0,?,2000.0,?,?,0.0,?,?,1.0,?,?,107.4,?,?
?,?,YES,BENTON,COATED,COATED,NO,?,YES,Motter94,827.0,9.0,?,1911.0,40.0,42.0,0.2,14.5,?,1.0,?,?,?,57.5,?,?,0.0,?,0.7,35.0,40.0,?,100.0,band
37352.0,?,?,?,COATED,?,NO,LINE,YES,?,?,9.0,?,?,45.0,42.0,0.2,14.0,?,?,20.0,8.0,1850.0,?,34.5,0.0,0.0,?,?,35.0,?,107.4,100.0,?
?,NO,?,BENTON,UNCOATED,COATED,?,LINE,?,Motter94,827.0,9.0,TABLOID,1911.0,?,45.0,?,15.0,76.0,1.0,30.0,?,2150.0,57.5,34.5,0.0,0.0,2.5,?,?,?,107.4,?,noband
37352.0,NO,YES,?,UNCOATED,?,NO,LINE,YES,Motter94,827.0,2.0,?,1911.0,50.0,45.0,?,15.2,?,?,25.0,5.9,2150.0,?,?,?,?,2.5,?,35.0,?,107.4,?,noband
?,NO,?,BENTON,?,COATED,NO,LINE,NO,?,828.0,2.0,TABLOID,1910.0,?,45.0,0.233,17.0,?,0.75,?,0.0,2200.0,58.8,41.2,0.0,0.0,?,1.0,33.0,?,106.45,?,band
?,?,YES,BENTON,?,COATED,?,?,YES,WoodHoe70,815.0,2.0,?,1911.0,?,44.0,?,16.0,90.0,0.75,?,20.0,?,?,?,0.0,0.0,?,0.8,35.0,40.0,107.4,100.0,?
37352.0,NO,?,BENTON,?,COATED,?,LINE,YES,WoodHoe70,?,?,?,?,?,?,0.2,16.5,91.0,0.75,30.0,21.7,2050.0,?,34.8,?,0.0,2.7,0.8,?,?,107.4,100.0,noband
?,?,YES,?,?,UNCOATED,NO,LINE,?,Motter94,821.0,?,TABLOID,1911.0,45.0,44.0,0.267,14.1,78.0,0.625,22.0,?,1510.0,?,?,0.0,0.0,2.5,0.7,34.0,40.0,?,100.0,noband
25507.0,YES,YES,BENTON,?,?,NO,LINE,YES,Motter94,821.0,?,TABLOID,1910.0,?,?,?,14.0,?,0.625,20.0,?,?,53.2,?,2.0,0.0,2.5,0.9,34.0,?,?,?,noband
?,NO,YES,?,COATED,COATED,NO,?,NO,?,?,?,TABLOID,1911.0,40.0,?,0.333,17.0,78.0,0.75,35.0,?,?,58.8,?,4.0,?,2.5,1.0,?,?,100.0,?,band
35334.0,YES,?,BENTON,UNCOATED,UNCOATED,NO,?,?,WoodHoe70,816.0,2.0,?,?,40.0,?,0.267,16.0,96.0,1.0,?,0.0,1500.0,?,?,2.0,0.0,?,0.8,40.0,?,103.12,100.0,?
35334.0,YES,?,BENTON,UNCOATED,UNCOATED,NO,LINE,YES,?,?,?,TABLOID,1911.0,32.5,43.0,?,?,82.0,1.0,31.0,7.6,?,?,?,4.0,?,?,1.0,?,40.0,?,100.0,?
?,NO,YES,?,UNCOATED,?,NO,LINE,YES,?,?,9.0,CATALOG,1911.0,37.5,44.0,0.3,15.0,?,0.75,?,?,?,62.5,?,?,0.0,2.8,1.0,?,40.0,103.12,?,noband
?,NO,?,?,?,?,NO,?,YES,WoodHoe70,?,?,?,?,?,44.0,0.3,?,80.0,1.0,32.0,7.0,?,58.1,?,0.0,0.0,3.0,?,28.0,?,?,100.0,?
35752.0,?,?,?,?,COATED,?,?,?,Motter94,824.0,9.0,?,1910.0,?,?,0.2,16.0,?,?,?,?,?,?,44.4,12.0,?,?,1.0,?,40.0,?,?,?
35752.0,?,YES,BENTON,?,COATED,?,?,YES,Motter94,824.0,2.0,TABLOID,1910.0,50.0,?,0.3,16.3,80.0,0.8125,30.0,0.0,?,?,44.4,12.0,0.0,?,?,30.0,?,103.22,100.0,noband
35794.0,NO,YES,?,UNCOATED,COATED,?,LINE,YES,?,?,2.0,TABLOID,?,?,43.0,0.267,?,57.0,0.75,?,?,1480.0,?,40.7,?,?,1.4,1.7,?,40.0,103.12,?,?
35794.0,NO,?,?,UNCOATED,COATED,?,LINE,?,Motter94,?,9.0,TABLOID,1911.0,?,?,?,?,58.0,?,?,7.9,1480.0,?,?,?,?,1.7,?,?,?,?,100.0,?
35752.0,NO,?,BENTON,?,?,?,LINE,YES,?,?,?,?,?,?,43.0,?,17.0,87.0,?,35.0,0.0,2300.0,58.8,41.2,?,?,?,0.7,?,40.0,?,?,?
?,?,?,?,COATED,?,?,LINE,?,?,?,?,?,?,?,?,0.2,13.0,75.0,?,?,?,?,57.5,?,0.0,?,?,?,?,?,103.12,100.0,?
37441.0,NO,YES,BENTON,COATED,COATED,?,?,YES,?,821.0,7.0,TABLOID,1911.0,25.0,38.0,0.233,?,70.0,?,25.0,?,1600.0,58.8,?,?,?,1.7,0.9,?,?,?,?,noband
?,NO,?,?,?,UNCOATED,?,?,YES,WoodHoe70,?,?,?,?,?,?,?,15.9,?,0.5,34.0,?,2000.0,?,36.6,?,?,2.4,?,?,?,103.22,?,?
35335.0,?,?,?,?,?,NO,?,YES,Motter94,?,?,?,?,?,?,0.333,17.0,78.0,0.75,16.0,?,1100.0,50.5,?,?,?,2.5,1.0,?,?,?,?,band
?,?,YES,?,?,?,?,LINE,YES,Motter94,?,?,?,?,47.5,?,?,?,?,?,?,?,?,?,?,4.0,0.0,2.5,?,?,?,?,100.0,?
?,?,NO,?,?,?,NO,LINE,?,?,?,2.0,?,1910.0,?,46.0,0.2,?,68.0,0.75,28.0,0.0,?,?,?,0.0,?,?,?,?,40.0,?,?,?
35870.0,?,NO,?,?,?,NO,LINE,?,?,?,9.0,?,?,40.0,46.0,0.267,?,68.0,?,25.0,?,?,?,?,0.0,?,1.0,1.0,?,?,?,?,?
35811.0,NO,?,?,?,?,?,?,YES,?,?,?,?,?,40.0,?,0.233,18.0,85.0,?,?,0.0,2000.0,62.5,?,?,0.0,?,?,?,?,103.125,100.0,noband
