@relation dataset

@attribute attr_4 real
@attribute attr_5 {NO, YES}
@attribute attr_7 {NO, YES}
@attribute attr_8 {BENTON, UDDEHOLM}
@attribute attr_10 {COATED, UNCOATED}
@attribute attr_11 {COATED, COVER, UNCOATED}
@attribute attr_12 {NO, YES}
@attribute attr_13 {LINE, NAPTHA, XYLOL}
@attribute attr_14 {NO, YES}
@attribute attr_15 {Albert70, Motter70, Motter94, WoodHoe70}
@attribute attr_16 real
@attribute attr_17 real
@attribute attr_18 {CATALOG, SPIEGEL, TABLOID}
@attribute attr_20 real
@attribute attr_21 real
@attribute attr_22 real
@attribute attr_23 real
@attribute attr_24 real
@attribute attr_25 real
@attribute attr_26 real
@attribute attr_27 real
@attribute attr_28 real
@attribute attr_29 real
@attribute attr_30 real
@attribute attr_31 real
@attribute attr_32 real
@attribute attr_33 real
@attribute attr_34 real
@attribute attr_35 real
@attribute attr_36 real
@attribute attr_37 real
@attribute attr_38 real
@attribute attr_39 real
@attribute attr_40 {band, noband}


@data

25503.0,?,YES,BENTON,UNCOATED,UNCOATED,NO,?,YES,Motter94,821.0,2.0,?,1911.0,?,?,0.2,?,?,0.75,?,?,1700.0,50.5,?,0.0,0.0,2.5,1.0,34.0,40.0,105.0,100.0,band
39039.0,?,YES,BENTON,UNCOATED,UNCOATED,NO,LINE,?,?,816.0,?,CATALOG,1910.0,?,40.0,0.3,16.0,75.0,0.3125,30.0,5.6,1467.0,?,38.8,?,0.0,2.5,1.3,40.0,40.0,?,100.0,noband
37351.0,?,YES,BENTON,UNCOATED,COATED,NO,LINE,YES,?,?,?,?,1910.0,50.0,46.0,0.3,17.0,80.0,?,?,?,?,?,42.5,?,0.0,2.3,?,35.0,?,?,100.0,noband
?,?,YES,BENTON,UNCOATED,?,NO,LINE,YES,?,816.0,2.0,?,?,50.0,40.0,0.267,16.8,76.0,0.4375,28.0,?,?,53.8,?,5.0,0.0,?,?,40.0,40.0,103.87,?,?
?,?,?,?,COATED,COATED,?,?,YES,Motter94,827.0,2.0,TABLOID,1911.0,?,46.0,0.3,16.5,?,?,30.0,?,2600.0,?,?,?,?,2.5,0.6,30.0,40.0,106.67,?,noband
?,?,?,BENTON,?,COATED,NO,LINE,YES,Motter94,?,9.0,?,1911.0,50.0,?,0.2,16.5,75.0,?,?,?,?,?,?,?,?,?,1.1,30.0,40.0,106.67,?,noband
47201.0,?,?,BENTON,UNCOATED,?,NO,XYLOL,YES,?,802.0,?,?,?,50.0,45.0,?,12.0,70.0,0.75,?,0.0,?,?,?,1.5,0.0,3.0,?,40.0,40.0,?,?,band
37000.0,?,?,?,UNCOATED,UNCOATED,NO,LINE,?,?,815.0,?,CATALOG,1911.0,65.0,43.0,0.333,16.0,75.0,1.0,32.0,22.7,?,?,?,?,0.0,3.0,?,?,40.0,?,100.0,?
37000.0,YES,?,?,?,?,?,LINE,YES,?,815.0,9.0,CATALOG,?,65.0,43.0,0.2,16.0,68.0,0.75,30.0,?,1750.0,48.5,35.9,?,0.0,3.0,?,38.0,?,106.6,100.0,?
?,YES,YES,BENTON,UNCOATED,?,NO,LINE,YES,Motter94,821.0,2.0,TABLOID,?,50.0,?,0.367,?,?,0.75,?,?,?,?,36.8,0.0,?,2.5,?,38.0,?,105.0,100.0,band
35539.0,YES,YES,?,?,UNCOATED,NO,?,?,?,821.0,7.0,TABLOID,1911.0,?,50.0,?,?,?,1.0,?,10.0,1600.0,50.0,40.0,0.0,?,?,1.0,38.0,40.0,?,?,band
