@relation dataset

@attribute R real
@attribute F real
@attribute M real
@attribute T real
@attribute class {0, 1}


@data

2.0,2.0,500.0,4.0,1
2.0,2.0,500.0,4.0,1
2.0,4.0,1000.0,16.0,1
2.0,2.0,500.0,4.0,0
2.0,2.0,500.0,4.0,0
2.0,2.0,500.0,4.0,0
4.0,6.0,1500.0,23.0,1
2.0,4.0,1000.0,16.0,0
2.0,4.0,1000.0,16.0,0
2.0,4.0,1000.0,16.0,0
2.0,6.0,1500.0,28.0,1
2.0,6.0,1500.0,28.0,0
4.0,2.0,500.0,4.0,0
4.0,2.0,500.0,4.0,0
4.0,2.0,500.0,4.0,0
2.0,7.0,1750.0,35.0,1
4.0,2.0,500.0,4.0,1
4.0,2.0,500.0,4.0,0
4.0,2.0,500.0,4.0,0
4.0,2.0,500.0,4.0,0
12.0,11.0,2750.0,23.0,0
4.0,7.0,1750.0,28.0,0
3.0,17.0,4250.0,86.0,0
4.0,9.0,2250.0,38.0,1
4.0,4.0,1000.0,14.0,1
5.0,7.0,1750.0,26.0,1
4.0,8.0,2000.0,34.0,1
2.0,13.0,3250.0,76.0,1
4.0,9.0,2250.0,40.0,0
2.0,5.0,1250.0,26.0,0
2.0,5.0,1250.0,26.0,0
6.0,17.0,4250.0,70.0,0
0.0,8.0,2000.0,59.0,0
3.0,5.0,1250.0,26.0,0
2.0,3.0,750.0,14.0,0
2.0,10.0,2500.0,64.0,0
4.0,5.0,1250.0,23.0,1
4.0,9.0,2250.0,46.0,0
4.0,5.0,1250.0,23.0,0
4.0,8.0,2000.0,40.0,1
2.0,12.0,3000.0,82.0,0
11.0,24.0,6000.0,64.0,0
2.0,7.0,1750.0,46.0,1
4.0,11.0,2750.0,61.0,0
1.0,7.0,1750.0,57.0,0
2.0,11.0,2750.0,79.0,1
2.0,3.0,750.0,16.0,1
4.0,5.0,1250.0,26.0,1
2.0,6.0,1500.0,41.0,1
2.0,5.0,1250.0,33.0,1
2.0,4.0,1000.0,26.0,0
2.0,5.0,1250.0,34.0,0
4.0,8.0,2000.0,46.0,1
2.0,4.0,1000.0,26.0,0
4.0,8.0,2000.0,48.0,1
2.0,2.0,500.0,10.0,1
4.0,5.0,1250.0,28.0,0
2.0,12.0,3000.0,95.0,0
2.0,2.0,500.0,10.0,0
4.0,6.0,1500.0,35.0,0
2.0,11.0,2750.0,88.0,0
2.0,3.0,750.0,19.0,0
2.0,5.0,1250.0,37.0,0
2.0,12.0,3000.0,98.0,0
9.0,5.0,1250.0,19.0,0
2.0,2.0,500.0,11.0,0
2.0,9.0,2250.0,74.0,0
5.0,14.0,3500.0,86.0,0
4.0,3.0,750.0,16.0,0
4.0,3.0,750.0,16.0,0
4.0,2.0,500.0,9.0,1
4.0,3.0,750.0,16.0,1
6.0,3.0,750.0,14.0,0
2.0,2.0,500.0,11.0,0
