@relation dataset

@attribute x real
@attribute y real
@attribute month {apr, aug, dec, feb, jan, jul, jun, mar, may, nov, oct, sep}
@attribute day {fri, mon, sat, sun, thu, tue, wed}
@attribute ffmc real
@attribute dmc real
@attribute dc real
@attribute isi real
@attribute temp real
@attribute rh real
@attribute wind real
@attribute rain real
@attribute area real


@data

7.0,5.0,mar,?,?,26.2,94.3,?,8.2,51.0,?,0.0,?
?,4.0,oct,?,?,?,669.1,?,?,?,0.9,0.0,?
7.0,?,?,?,90.6,43.7,?,6.7,?,?,?,0.0,0.0
8.0,6.0,mar,?,?,?,77.5,?,8.3,?,?,0.2,0.0
8.0,6.0,?,sun,89.3,51.3,102.2,9.6,11.4,?,?,0.0,0.0
?,6.0,?,sun,92.3,85.3,?,?,22.2,29.0,?,?,?
?,6.0,aug,?,?,88.9,?,?,24.1,27.0,3.1,?,0.0
8.0,6.0,aug,mon,?,145.4,608.2,?,?,?,2.2,?,?
?,6.0,sep,tue,?,?,?,7.0,?,63.0,?,0.0,0.0
7.0,5.0,sep,sat,92.5,88.0,698.6,7.1,?,?,4.0,0.0,0.0
7.0,?,sep,sat,92.5,88.0,?,?,17.8,?,?,0.0,0.0
7.0,?,sep,?,?,73.2,713.0,22.6,?,38.0,?,0.0,0.0
6.0,5.0,aug,fri,?,70.8,?,0.8,?,72.0,6.7,0.0,?
6.0,5.0,?,mon,90.9,?,?,?,?,?,?,?,?
6.0,?,?,?,?,?,?,9.2,?,21.0,?,0.0,?
6.0,5.0,sep,fri,?,141.2,713.9,13.9,?,?,?,0.0,?
?,?,?,sat,?,?,80.8,?,?,?,5.4,0.0,?
?,5.0,?,mon,?,32.8,?,3.0,?,47.0,?,?,?
?,4.0,?,?,?,?,?,6.3,?,?,?,?,0.0
?,4.0,apr,sat,?,?,?,?,?,44.0,4.5,0.0,0.0
6.0,?,?,?,?,129.5,692.6,7.0,18.3,?,2.7,?,0.0
?,4.0,?,?,?,?,?,?,?,38.0,?,?,?
?,?,jun,?,94.3,96.3,200.0,?,?,44.0,?,?,?
?,?,aug,sat,90.2,?,?,6.2,?,?,5.8,0.0,0.0
7.0,4.0,aug,?,?,139.4,594.2,?,?,?,?,?,?
?,?,?,?,91.4,?,601.4,10.6,?,60.0,?,?,0.0
?,4.0,?,fri,?,?,?,?,?,34.0,5.8,0.0,0.0
7.0,?,?,?,?,126.5,686.5,7.0,19.4,?,?,0.0,?
?,?,?,sat,93.4,?,?,?,?,?,?,?,?
?,?,?,?,93.5,?,?,8.1,?,?,?,?,?
?,?,?,?,94.3,?,692.3,?,?,?,?,?,?
6.0,3.0,?,?,?,?,?,7.1,?,78.0,?,0.0,0.0
?,?,?,?,?,69.7,706.8,?,?,?,1.8,0.0,0.0
?,?,?,?,91.7,75.6,?,?,?,?,3.6,?,0.0
?,?,?,?,?,?,?,9.2,21.2,?,?,?,0.0
?,?,sep,?,?,80.7,?,6.3,18.2,?,?,?,0.0
6.0,3.0,oct,?,90.6,?,?,6.7,21.7,?,4.5,?,?
7.0,4.0,?,?,90.0,?,682.6,?,11.3,?,5.4,?,?
?,?,?,?,?,43.7,686.9,?,?,?,4.0,?,0.0
?,4.0,?,tue,?,?,67.6,3.8,?,43.0,2.7,?,0.0
?,4.0,jul,?,?,60.6,?,1.5,23.3,?,?,?,?
4.0,?,aug,?,90.2,96.9,?,8.9,?,42.0,6.7,?,0.0
?,?,?,tue,?,?,?,17.0,?,?,5.4,0.0,?
4.0,4.0,?,?,?,88.0,698.6,?,?,48.0,2.7,0.0,?
4.0,4.0,sep,?,?,82.9,?,6.2,12.9,?,?,0.0,?
5.0,6.0,sep,?,?,?,?,?,25.9,?,?,?,0.0
