@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

2.0,77.0,79.0,?,68.0,?
2.0,62.0,76.0,76.0,69.0,68.0
2.0,50.0,97.0,?,50.0,75.0
2.0,68.0,77.0,95.0,?,?
2.0,?,54.0,59.0,95.0,86.0
3.0,52.0,109.0,93.0,52.0,?
3.0,64.0,?,82.0,73.0,69.0
?,54.0,107.0,?,?,?
3.0,64.0,?,64.0,54.0,93.0
3.0,86.0,?,74.0,74.0,103.0
3.0,?,54.0,64.0,?,94.0
3.0,?,60.0,63.0,102.0,93.0
3.0,64.0,82.0,82.0,75.0,?
3.0,93.0,?,?,103.0,69.0
3.0,63.0,82.0,81.0,?,69.0
?,82.0,79.0,75.0,75.0,82.0
5.0,59.0,131.0,103.0,54.0,?
5.0,56.0,?,?,56.0,?
?,85.0,67.0,?,65.0,72.0
5.0,114.0,83.0,?,114.0,102.0
?,93.0,82.0,79.0,?,?
?,105.0,52.0,75.0,113.0,?
5.0,69.0,118.0,74.0,66.0,?
4.0,71.0,123.0,64.0,59.0,102.0
?,?,94.0,81.0,?,91.0
?,83.0,99.0,89.0,?,91.0
5.0,?,133.0,74.0,54.0,?
5.0,?,53.0,74.0,?,105.0
5.0,74.0,123.0,69.0,61.0,101.0
5.0,79.0,?,118.0,90.0,72.0
4.0,?,115.0,110.0,51.0,?
5.0,?,93.0,93.0,?,79.0
4.0,100.0,53.0,86.0,112.0,78.0
?,?,?,108.0,?,?
4.0,?,84.0,75.0,84.0,112.0
4.0,?,?,?,93.0,?
4.0,?,?,112.0,63.0,71.0
?,65.0,128.0,79.0,56.0,101.0
?,91.0,66.0,110.0,69.0,71.0
?,93.0,?,74.0,92.0,90.0
5.0,59.0,118.0,108.0,63.0,85.0
5.0,65.0,?,90.0,80.0,79.0
?,87.0,89.0,76.0,?,?
?,93.0,?,79.0,85.0,?
?,93.0,94.0,79.0,79.0,113.0
?,74.0,?,74.0,53.0,101.0
4.0,118.0,?,?,119.0,97.0
?,101.0,61.0,76.0,113.0,?
5.0,?,99.0,?,?,114.0
4.0,?,87.0,87.0,79.0,?
14.0,148.0,?,?,208.0,119.0
5.0,93.0,89.0,?,89.0,93.0
?,79.0,?,?,103.0,85.0
4.0,?,92.0,111.0,90.0,71.0
?,94.0,140.0,89.0,118.0,92.0
8.0,108.0,109.0,?,89.0,143.0
6.0,98.0,89.0,133.0,?,79.0
?,84.0,?,102.0,94.0,90.0
?,?,74.0,?,143.0,118.0
?,74.0,109.0,103.0,89.0,?
8.0,118.0,104.0,94.0,94.0,118.0
8.0,94.0,128.0,89.0,128.0,99.0
8.0,64.0,?,118.0,64.0,97.0
?,84.0,108.0,138.0,103.0,?
8.0,108.0,?,?,99.0,?
?,89.0,108.0,128.0,116.0,81.0
6.0,103.0,?,148.0,74.0,79.0
6.0,103.0,109.0,?,89.0,108.0
8.0,?,99.0,94.0,94.0,138.0
8.0,?,109.0,104.0,79.0,133.0
?,138.0,59.0,84.0,138.0,128.0
8.0,79.0,?,?,?,109.0
8.0,84.0,?,79.0,64.0,?
?,74.0,148.0,118.0,?,104.0
8.0,?,153.0,118.0,?,99.0
?,118.0,64.0,?,133.0,92.0
6.0,69.0,153.0,?,59.0,99.0
6.0,?,?,89.0,?,90.0
6.0,?,?,128.0,64.0,78.0
6.0,?,59.0,84.0,?,?
6.0,84.0,?,128.0,93.0,?
?,?,?,89.0,141.0,86.0
6.0,118.0,64.0,?,134.0,88.0
?,?,?,84.0,64.0,118.0
?,98.0,?,133.0,?,79.0
6.0,?,104.0,109.0,91.0,101.0
8.0,84.0,143.0,74.0,74.0,133.0
8.0,?,?,93.0,?,90.0
6.0,?,113.0,141.0,98.0,81.0
6.0,?,?,125.0,59.0,97.0
8.0,143.0,69.0,?,143.0,123.0
8.0,?,133.0,84.0,125.0,97.0
?,84.0,?,?,?,90.0
8.0,84.0,138.0,?,?,?
6.0,84.0,108.0,?,?,81.0
6.0,?,84.0,138.0,69.0,?
8.0,?,?,84.0,109.0,128.0
6.0,148.0,?,74.0,138.0,?
8.0,?,?,113.0,?,114.0
?,98.0,?,138.0,79.0,79.0
?,133.0,84.0,?,?,?
6.0,?,113.0,106.0,?,88.0
?,?,104.0,?,94.0,?
6.0,?,138.0,113.0,79.0,99.0
6.0,83.0,103.0,98.0,99.0,90.0
8.0,?,?,123.0,71.0,?
8.0,118.0,?,99.0,99.0,143.0
6.0,74.0,133.0,99.0,?,?
12.0,115.0,94.0,163.0,?,92.0
12.0,?,124.0,109.0,114.0,168.0
12.0,?,?,157.0,133.0,95.0
12.0,104.0,123.0,163.0,128.0,89.0
?,99.0,?,89.0,?,153.0
14.0,?,148.0,99.0,148.0,?
?,?,163.0,99.0,?,153.0
12.0,?,104.0,119.0,129.0,?
?,163.0,69.0,94.0,188.0,?
12.0,?,?,158.0,74.0,119.0
12.0,123.0,124.0,109.0,?,143.0
12.0,?,137.0,?,113.0,100.0
?,123.0,129.0,139.0,99.0,?
12.0,89.0,?,99.0,79.0,143.0
?,81.0,?,143.0,79.0,122.0
?,135.0,84.0,158.0,139.0,?
12.0,?,?,?,114.0,100.0
14.0,?,?,119.0,?,158.0
12.0,?,?,134.0,?,120.0
14.0,79.0,203.0,?,69.0,119.0
12.0,84.0,150.0,128.0,104.0,?
?,148.0,?,104.0,173.0,138.0
?,133.0,124.0,119.0,?,?
12.0,89.0,128.0,?,111.0,?
12.0,79.0,183.0,133.0,70.0,113.0
?,?,?,113.0,?,?
14.0,?,161.0,153.0,?,?
?,?,135.0,?,123.0,92.0
12.0,133.0,74.0,?,175.0,102.0
14.0,133.0,?,?,?,128.0
12.0,?,?,114.0,111.0,126.0
10.0,?,123.0,108.0,?,111.0
?,?,?,104.0,?,153.0
?,113.0,89.0,?,89.0,?
?,109.0,148.0,94.0,133.0,119.0
10.0,165.0,64.0,94.0,?,?
?,93.0,123.0,123.0,124.0,100.0
14.0,143.0,?,119.0,?,105.0
?,89.0,?,?,89.0,158.0
10.0,113.0,?,153.0,84.0,97.0
12.0,138.0,86.0,?,158.0,?
12.0,?,?,148.0,69.0,119.0
14.0,84.0,?,?,87.0,?
14.0,84.0,168.0,?,80.0,113.0
?,84.0,?,?,69.0,110.0
12.0,104.0,130.0,178.0,?,?
10.0,99.0,?,?,128.0,103.0
12.0,93.0,128.0,118.0,119.0,100.0
12.0,128.0,?,104.0,119.0,173.0
?,94.0,?,109.0,69.0,?
12.0,148.0,?,?,168.0,114.0
12.0,113.0,114.0,109.0,119.0,143.0
12.0,153.0,74.0,94.0,?,?
?,139.0,?,?,?,139.0
?,?,99.0,94.0,158.0,?
?,89.0,178.0,?,?,153.0
12.0,79.0,183.0,104.0,69.0,148.0
?,168.0,?,84.0,198.0,133.0
22.0,128.0,158.0,?,158.0,130.0
22.0,?,188.0,109.0,?,198.0
?,?,74.0,114.0,198.0,129.0
20.0,143.0,139.0,139.0,139.0,148.0
20.0,?,198.0,?,114.0,?
18.0,?,?,143.0,129.0,?
?,120.0,193.0,104.0,148.0,?
20.0,98.0,?,163.0,99.0,140.0
?,148.0,?,129.0,129.0,?
20.0,?,104.0,?,193.0,?
?,?,203.0,129.0,94.0,?
22.0,139.0,178.0,?,163.0,144.0
