@relation dataset

@attribute parents {usual, pretentious, great_pret}
@attribute has_nurs {proper, less_proper, improper, critical, very_crit}
@attribute form {complete, completed, incomplete, foster}
@attribute children {1, 2, 3, more}
@attribute housing {convenient, less_conv, critical}
@attribute finance {convenient, inconv}
@attribute social {nonprob, slightly_prob, problematic}
@attribute health {recommended, priority, not_recom}
@attribute class {not_recom, recommend, very_recom, priority, spec_prior}


@data

?,?,complete,?,convenient,?,?,recommended,recommend
usual,proper,complete,1,?,?,nonprob,priority,?
?,?,complete,1,convenient,convenient,?,not_recom,?
usual,?,?,1,convenient,convenient,slightly_prob,recommended,?
?,proper,complete,?,?,?,?,?,?
usual,proper,?,?,convenient,convenient,slightly_prob,?,not_recom
usual,?,complete,1,convenient,convenient,problematic,recommended,priority
usual,proper,complete,1,convenient,convenient,?,?,?
?,proper,complete,1,convenient,?,?,not_recom,?
usual,proper,?,1,convenient,?,?,?,?
?,?,?,?,?,?,nonprob,?,?
?,proper,?,1,?,?,?,?,?
?,proper,?,1,?,?,?,recommended,very_recom
usual,proper,?,?,?,?,slightly_prob,priority,priority
?,?,?,?,?,?,slightly_prob,not_recom,not_recom
?,?,complete,?,?,inconv,?,recommended,priority
?,proper,?,1,?,?,?,?,?
usual,?,?,?,?,?,?,?,?
usual,?,?,1,less_conv,convenient,?,recommended,?
usual,proper,?,?,?,?,nonprob,?,priority
?,proper,?,?,?,convenient,nonprob,not_recom,not_recom
usual,?,complete,?,less_conv,?,slightly_prob,?,very_recom
usual,?,?,?,less_conv,?,?,?,?
?,proper,?,?,?,?,slightly_prob,?,not_recom
usual,proper,complete,?,?,convenient,problematic,?,?
usual,proper,?,?,less_conv,convenient,?,priority,?
?,proper,?,?,?,?,problematic,not_recom,not_recom
?,?,?,1,?,inconv,nonprob,recommended,?
?,?,?,?,?,?,?,priority,priority
usual,?,?,?,?,?,?,not_recom,not_recom
usual,?,?,1,less_conv,?,slightly_prob,?,?
?,?,complete,?,less_conv,inconv,?,priority,?
usual,proper,complete,1,less_conv,?,?,?,?
