@relation dataset

@attribute parents {usual, pretentious, great_pret}
@attribute has_nurs {proper, less_proper, improper, critical, very_crit}
@attribute form {complete, completed, incomplete, foster}
@attribute children {1, 2, 3, more}
@attribute housing {convenient, less_conv, critical}
@attribute finance {convenient, inconv}
@attribute social {nonprob, slightly_prob, problematic}
@attribute health {recommended, priority, not_recom}
@attribute class {not_recom, recommend, very_recom, priority, spec_prior}


@data

?,proper,complete,?,?,convenient,?,?,recommend
?,?,?,1,convenient,convenient,nonprob,priority,?
?,proper,complete,1,convenient,?,nonprob,?,not_recom
usual,?,?,?,convenient,?,?,?,recommend
usual,?,?,?,convenient,convenient,slightly_prob,priority,?
?,proper,complete,1,?,convenient,?,not_recom,not_recom
usual,?,?,1,convenient,convenient,problematic,recommended,priority
usual,proper,complete,1,?,?,problematic,?,priority
?,proper,complete,1,convenient,?,?,?,?
?,?,?,1,convenient,?,nonprob,?,?
?,?,?,?,?,inconv,nonprob,priority,?
usual,?,?,1,convenient,?,?,not_recom,not_recom
usual,proper,?,?,?,inconv,?,?,?
usual,?,?,1,?,?,?,priority,?
?,proper,?,?,?,?,?,?,not_recom
?,?,complete,?,convenient,inconv,problematic,?,?
?,?,?,?,convenient,?,?,?,priority
usual,?,complete,?,?,?,?,?,?
usual,proper,complete,1,?,convenient,?,?,?
?,proper,complete,1,?,convenient,?,?,priority
?,?,complete,?,?,?,?,?,?
usual,proper,complete,1,?,?,?,recommended,very_recom
usual,?,?,1,?,convenient,slightly_prob,?,priority
usual,proper,complete,1,?,?,slightly_prob,not_recom,?
?,?,?,?,?,convenient,problematic,?,?
?,proper,?,1,less_conv,convenient,?,priority,priority
?,?,complete,?,less_conv,?,problematic,?,not_recom
usual,?,complete,1,less_conv,inconv,?,?,?
?,?,?,1,less_conv,?,?,priority,?
?,proper,complete,?,less_conv,inconv,?,?,not_recom
?,?,complete,?,?,?,?,recommended,?
?,?,?,1,?,?,?,priority,?
?,proper,complete,?,?,?,?,not_recom,?
usual,proper,?,1,less_conv,inconv,problematic,recommended,priority
?,?,?,1,less_conv,inconv,?,priority,?
?,?,?,?,less_conv,inconv,?,not_recom,not_recom
?,proper,complete,1,?,?,?,recommended,?
usual,?,?,1,?,?,?,?,?
?,proper,?,1,?,convenient,nonprob,not_recom,?
usual,?,?,1,?,convenient,slightly_prob,recommended,very_recom
?,?,?,?,?,?,slightly_prob,?,priority
usual,proper,?,?,critical,?,?,not_recom,not_recom
?,?,complete,?,?,?,problematic,?,priority
usual,?,?,1,?,convenient,?,?,?
usual,?,?,?,?,?,problematic,?,not_recom
usual,?,complete,?,?,?,?,recommended,?
