@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,?,79.0,?,68.0,?
2.0,62.0,76.0,76.0,69.0,?
2.0,?,97.0,?,?,75.0
2.0,68.0,77.0,95.0,?,?
2.0,?,54.0,59.0,95.0,86.0
3.0,52.0,?,93.0,52.0,?
3.0,64.0,?,82.0,73.0,69.0
?,54.0,107.0,?,?,?
3.0,64.0,?,64.0,54.0,93.0
?,86.0,?,74.0,74.0,103.0
3.0,?,?,64.0,?,94.0
3.0,?,60.0,63.0,?,?
3.0,64.0,?,?,75.0,?
3.0,?,?,?,103.0,69.0
3.0,63.0,82.0,?,?,69.0
?,82.0,79.0,75.0,?,82.0
5.0,59.0,131.0,103.0,?,?
5.0,56.0,?,?,56.0,?
?,85.0,67.0,?,?,?
5.0,114.0,?,?,?,102.0
?,93.0,?,79.0,?,?
?,105.0,?,75.0,?,?
5.0,69.0,118.0,?,66.0,?
4.0,71.0,123.0,64.0,?,102.0
?,?,94.0,81.0,?,?
?,83.0,99.0,89.0,?,91.0
?,?,?,74.0,54.0,?
5.0,?,53.0,?,?,105.0
5.0,74.0,?,?,61.0,?
5.0,79.0,?,118.0,90.0,72.0
?,?,115.0,?,51.0,?
?,?,?,93.0,?,79.0
?,100.0,53.0,86.0,112.0,78.0
?,?,?,108.0,?,?
4.0,?,84.0,75.0,?,112.0
4.0,?,?,?,?,?
4.0,?,?,112.0,63.0,?
?,?,128.0,?,56.0,101.0
?,91.0,66.0,?,69.0,?
?,?,?,?,92.0,?
5.0,59.0,?,108.0,?,85.0
5.0,65.0,?,90.0,80.0,79.0
?,87.0,?,?,?,?
?,93.0,?,79.0,?,?
?,93.0,94.0,79.0,79.0,113.0
?,74.0,?,?,53.0,101.0
?,118.0,?,?,?,?
?,101.0,61.0,?,113.0,?
?,?,99.0,?,?,114.0
?,?,87.0,87.0,?,?
14.0,?,?,?,208.0,119.0
?,?,?,?,89.0,93.0
?,79.0,?,?,103.0,85.0
4.0,?,?,111.0,?,71.0
?,94.0,140.0,?,118.0,?
8.0,108.0,109.0,?,89.0,143.0
6.0,98.0,?,?,?,?
?,84.0,?,102.0,94.0,90.0
?,?,?,?,143.0,118.0
?,74.0,109.0,?,?,?
?,118.0,104.0,94.0,94.0,118.0
8.0,?,128.0,89.0,?,?
8.0,64.0,?,118.0,64.0,97.0
?,84.0,108.0,138.0,103.0,?
8.0,108.0,?,?,99.0,?
?,89.0,108.0,128.0,?,?
6.0,103.0,?,148.0,74.0,79.0
?,103.0,109.0,?,89.0,108.0
8.0,?,99.0,?,94.0,138.0
8.0,?,?,?,?,?
?,138.0,59.0,84.0,?,128.0
8.0,79.0,?,?,?,109.0
?,84.0,?,79.0,64.0,?
?,74.0,148.0,118.0,?,104.0
8.0,?,153.0,118.0,?,99.0
?,118.0,64.0,?,133.0,92.0
6.0,?,153.0,?,59.0,99.0
6.0,?,?,89.0,?,90.0
6.0,?,?,128.0,64.0,78.0
6.0,?,59.0,84.0,?,?
6.0,84.0,?,?,93.0,?
?,?,?,?,141.0,86.0
?,?,64.0,?,134.0,88.0
?,?,?,84.0,64.0,118.0
?,98.0,?,133.0,?,79.0
6.0,?,104.0,?,91.0,101.0
?,84.0,143.0,?,74.0,?
8.0,?,?,93.0,?,90.0
6.0,?,113.0,?,?,81.0
6.0,?,?,125.0,?,97.0
8.0,143.0,?,?,143.0,123.0
8.0,?,133.0,?,125.0,97.0
?,84.0,?,?,?,?
8.0,84.0,?,?,?,?
6.0,84.0,?,?,?,81.0
6.0,?,84.0,?,69.0,?
8.0,?,?,84.0,109.0,128.0
6.0,148.0,?,?,138.0,?
8.0,?,?,?,?,114.0
?,98.0,?,138.0,79.0,79.0
?,?,84.0,?,?,?
6.0,?,113.0,106.0,?,88.0
?,?,104.0,?,?,?
6.0,?,138.0,?,?,99.0
6.0,83.0,?,98.0,?,90.0
8.0,?,?,?,71.0,?
8.0,?,?,99.0,99.0,143.0
6.0,74.0,?,?,?,?
?,115.0,94.0,163.0,?,?
?,?,?,109.0,114.0,168.0
12.0,?,?,157.0,133.0,95.0
12.0,104.0,?,163.0,128.0,?
?,99.0,?,?,?,153.0
14.0,?,148.0,99.0,?,?
?,?,163.0,99.0,?,?
12.0,?,?,?,129.0,?
?,163.0,69.0,94.0,?,?
12.0,?,?,158.0,74.0,119.0
12.0,123.0,?,?,?,?
12.0,?,137.0,?,113.0,100.0
?,123.0,129.0,?,99.0,?
12.0,89.0,?,99.0,79.0,?
?,81.0,?,143.0,79.0,122.0
?,135.0,?,?,?,?
12.0,?,?,?,114.0,100.0
14.0,?,?,?,?,158.0
12.0,?,?,?,?,120.0
14.0,79.0,203.0,?,69.0,119.0
12.0,?,150.0,128.0,104.0,?
?,148.0,?,?,173.0,138.0
?,?,124.0,119.0,?,?
12.0,?,?,?,?,?
12.0,79.0,183.0,133.0,?,?
?,?,?,113.0,?,?
14.0,?,161.0,153.0,?,?
?,?,135.0,?,?,?
12.0,133.0,74.0,?,?,102.0
14.0,133.0,?,?,?,?
12.0,?,?,?,?,126.0
10.0,?,123.0,108.0,?,?
?,?,?,104.0,?,153.0
?,113.0,89.0,?,89.0,?
?,?,?,94.0,?,?
?,165.0,64.0,94.0,?,?
?,93.0,123.0,123.0,124.0,100.0
14.0,143.0,?,?,?,105.0
?,89.0,?,?,?,?
?,113.0,?,153.0,84.0,?
?,138.0,86.0,?,?,?
12.0,?,?,148.0,69.0,119.0
?,?,?,?,87.0,?
14.0,84.0,168.0,?,?,113.0
?,84.0,?,?,69.0,?
12.0,104.0,130.0,178.0,?,?
10.0,99.0,?,?,?,103.0
?,93.0,128.0,?,119.0,100.0
?,128.0,?,?,119.0,173.0
?,94.0,?,109.0,69.0,?
12.0,?,?,?,?,?
?,?,114.0,109.0,?,143.0
12.0,?,74.0,?,?,?
?,139.0,?,?,?,?
?,?,99.0,94.0,158.0,?
?,89.0,178.0,?,?,153.0
12.0,?,183.0,104.0,69.0,?
?,?,?,84.0,198.0,133.0
22.0,128.0,158.0,?,158.0,?
22.0,?,188.0,109.0,?,?
?,?,?,114.0,198.0,129.0
?,143.0,139.0,?,?,?
?,?,198.0,?,?,?
18.0,?,?,?,129.0,?
?,120.0,193.0,?,148.0,?
20.0,98.0,?,?,99.0,140.0
?,?,?,129.0,129.0,?
20.0,?,?,?,?,?
?,?,203.0,?,94.0,?
22.0,139.0,178.0,?,163.0,144.0
?,90.0,?,163.0,109.0,?
18.0,?,84.0,?,193.0,?
?,88.0,?,?,89.0,?
18.0,114.0,144.0,213.0,133.0,128.0
22.0,?,?,208.0,134.0,124.0
?,?,94.0,?,208.0,158.0
?,99.0,228.0,104.0,84.0,163.0
?,178.0,94.0,?,?,173.0
22.0,119.0,?,149.0,114.0,?
20.0,114.0,203.0,?,?,158.0
18.0,99.0,193.0,158.0,99.0,144.0
22.0,?,139.0,154.0,?,?
?,?,?,144.0,?,135.0
?,?,?,139.0,119.0,?
?,?,?,114.0,99.0,?
?,99.0,183.0,128.0,?,129.0
20.0,?,89.0,154.0,?,183.0
?,114.0,?,104.0,?,?
?,133.0,?,?,183.0,?
?,?,?,?,149.0,148.0
?,?,213.0,?,94.0,?
?,?,?,114.0,183.0,188.0
25.0,153.0,?,129.0,139.0,?
?,?,?,178.0,138.0,124.0
?,?,?,129.0,233.0,133.0
18.0,?,193.0,?,80.0,138.0
?,178.0,129.0,?,?,?
?,?,163.0,?,148.0,124.0
16.0,?,?,?,?,?
?,?,?,?,?,140.0
16.0,137.0,104.0,173.0,109.0,130.0
18.0,153.0,74.0,?,188.0,?
18.0,?,?,?,?,?
?,114.0,228.0,119.0,?,?
22.0,178.0,?,114.0,?,139.0
18.0,?,?,99.0,?,158.0
20.0,?,89.0,?,?,129.0
?,83.0,198.0,163.0,?,?
22.0,?,?,?,?,?
18.0,198.0,?,89.0,?,153.0
?,114.0,208.0,?,?,?
18.0,114.0,?,?,?,178.0
?,?,173.0,?,128.0,?
?,?,134.0,188.0,89.0,?
?,143.0,?,?,?,?
18.0,128.0,?,173.0,133.0,130.0
18.0,?,99.0,?,168.0,129.0
?,83.0,?,?,74.0,140.0
22.0,?,168.0,?,?,133.0
?,203.0,?,?,?,?
18.0,143.0,?,119.0,?,203.0
?,153.0,?,139.0,?,?
18.0,147.0,144.0,129.0,?,?
18.0,188.0,?,?,213.0,168.0
25.0,158.0,154.0,?,154.0,153.0
25.0,104.0,208.0,?,134.0,?
?,139.0,?,?,158.0,134.0
?,84.0,?,?,109.0,140.0
?,?,?,124.0,?,?
8.0,?,119.0,99.0,?,?
22.0,124.0,168.0,208.0,148.0,?
18.0,?,?,178.0,?,?
?,?,?,?,?,?
?,114.0,?,124.0,104.0,178.0
?,94.0,188.0,148.0,99.0,139.0
?,?,?,94.0,?,?
?,?,148.0,?,?,?
?,?,?,104.0,?,?
20.0,?,?,104.0,158.0,174.0
20.0,133.0,149.0,139.0,144.0,?
?,?,149.0,?,159.0,143.0
