@relation dataset

@attribute parents {usual, pretentious, great_pret}
@attribute has_nurs {proper, less_proper, improper, critical, very_crit}
@attribute form {complete, completed, incomplete, foster}
@attribute children {1, 2, 3, more}
@attribute housing {convenient, less_conv, critical}
@attribute finance {convenient, inconv}
@attribute social {nonprob, slightly_prob, problematic}
@attribute health {recommended, priority, not_recom}
@attribute class {not_recom, recommend, very_recom, priority, spec_prior}


@data

?,proper,complete,1,convenient,?,nonprob,?,?
usual,?,complete,1,convenient,?,nonprob,priority,priority
usual,proper,complete,1,convenient,convenient,nonprob,not_recom,not_recom
usual,?,complete,1,?,?,slightly_prob,recommended,recommend
usual,proper,?,1,convenient,convenient,slightly_prob,priority,priority
usual,proper,?,1,convenient,convenient,slightly_prob,not_recom,?
usual,proper,complete,1,convenient,convenient,problematic,recommended,priority
usual,proper,?,?,convenient,?,problematic,priority,?
usual,proper,?,?,?,convenient,problematic,not_recom,?
usual,proper,complete,1,convenient,?,nonprob,recommended,very_recom
?,proper,complete,1,convenient,inconv,nonprob,?,priority
usual,proper,complete,1,convenient,inconv,nonprob,not_recom,not_recom
?,proper,?,1,convenient,inconv,slightly_prob,recommended,?
usual,proper,complete,?,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
usual,?,?,1,convenient,inconv,?,recommended,?
usual,proper,complete,1,convenient,inconv,problematic,priority,priority
usual,proper,?,1,convenient,inconv,?,not_recom,not_recom
?,?,complete,1,less_conv,?,nonprob,recommended,very_recom
?,?,complete,1,less_conv,convenient,nonprob,priority,?
usual,proper,?,1,less_conv,?,nonprob,not_recom,not_recom
?,proper,complete,1,?,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,1,less_conv,convenient,slightly_prob,priority,priority
usual,proper,?,1,less_conv,?,slightly_prob,not_recom,not_recom
usual,?,complete,1,less_conv,convenient,problematic,?,priority
?,proper,complete,?,less_conv,?,problematic,?,priority
?,proper,complete,1,less_conv,convenient,problematic,not_recom,not_recom
usual,?,complete,1,less_conv,inconv,nonprob,recommended,?
usual,proper,complete,1,less_conv,inconv,nonprob,priority,priority
usual,proper,?,1,less_conv,inconv,?,not_recom,?
?,proper,?,1,?,inconv,?,recommended,very_recom
usual,proper,complete,1,less_conv,?,slightly_prob,priority,priority
?,proper,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,1,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,1,less_conv,inconv,problematic,priority,?
?,proper,complete,1,less_conv,inconv,problematic,not_recom,not_recom
usual,?,complete,1,critical,convenient,?,recommended,very_recom
usual,proper,?,1,critical,convenient,nonprob,priority,priority
usual,proper,?,1,critical,convenient,nonprob,not_recom,not_recom
usual,proper,complete,1,?,convenient,slightly_prob,recommended,?
usual,?,?,1,critical,?,slightly_prob,priority,priority
?,proper,complete,?,critical,convenient,slightly_prob,?,?
?,proper,complete,1,critical,convenient,problematic,recommended,priority
usual,proper,complete,1,critical,?,problematic,priority,priority
usual,proper,?,1,critical,?,problematic,not_recom,?
usual,proper,complete,1,critical,inconv,nonprob,recommended,?
usual,proper,complete,?,critical,inconv,nonprob,priority,priority
usual,proper,?,?,critical,inconv,nonprob,?,not_recom
usual,proper,?,?,critical,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,1,critical,?,slightly_prob,priority,?
usual,proper,complete,?,critical,inconv,slightly_prob,not_recom,not_recom
?,proper,complete,1,critical,?,?,?,priority
?,?,complete,1,critical,inconv,problematic,priority,priority
usual,proper,complete,?,critical,inconv,problematic,not_recom,not_recom
usual,proper,?,?,?,convenient,nonprob,?,?
?,proper,?,2,convenient,convenient,nonprob,priority,priority
usual,proper,complete,?,convenient,?,?,?,?
usual,?,complete,2,convenient,?,slightly_prob,recommended,very_recom
?,proper,complete,2,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,2,convenient,convenient,problematic,recommended,priority
?,proper,?,2,convenient,convenient,?,priority,priority
usual,proper,complete,2,convenient,convenient,problematic,not_recom,not_recom
usual,proper,?,2,convenient,?,nonprob,recommended,?
usual,proper,complete,2,convenient,inconv,nonprob,priority,priority
usual,proper,complete,2,convenient,inconv,nonprob,not_recom,not_recom
?,proper,complete,2,?,inconv,slightly_prob,?,very_recom
usual,proper,?,2,?,inconv,slightly_prob,priority,?
?,proper,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,?,?,?,problematic,?,priority
usual,proper,complete,2,convenient,inconv,problematic,priority,priority
usual,proper,complete,2,convenient,inconv,?,?,not_recom
usual,?,complete,2,less_conv,convenient,nonprob,recommended,?
usual,?,complete,2,?,convenient,nonprob,priority,priority
usual,proper,?,2,less_conv,?,nonprob,not_recom,not_recom
usual,proper,complete,2,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,2,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,2,?,?,problematic,?,priority
usual,proper,complete,2,?,convenient,problematic,?,?
usual,proper,complete,2,?,?,problematic,not_recom,not_recom
usual,proper,complete,2,less_conv,?,nonprob,recommended,very_recom
usual,?,complete,2,less_conv,inconv,nonprob,priority,?
usual,proper,?,?,less_conv,inconv,nonprob,?,not_recom
?,proper,complete,2,?,inconv,slightly_prob,recommended,very_recom
usual,proper,?,?,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,2,less_conv,inconv,slightly_prob,not_recom,?
?,?,complete,?,less_conv,inconv,problematic,?,?
?,?,complete,2,less_conv,inconv,problematic,priority,priority
usual,proper,complete,2,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,2,critical,?,nonprob,recommended,priority
usual,proper,complete,?,critical,convenient,nonprob,priority,?
usual,?,?,2,critical,convenient,nonprob,?,?
usual,proper,complete,2,critical,?,slightly_prob,?,priority
usual,proper,complete,?,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,?,critical,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,2,critical,convenient,problematic,recommended,priority
usual,proper,?,2,critical,convenient,problematic,priority,priority
?,proper,complete,2,critical,convenient,?,not_recom,not_recom
usual,proper,complete,2,?,inconv,nonprob,recommended,priority
usual,?,complete,2,critical,inconv,nonprob,priority,priority
usual,proper,complete,2,critical,inconv,nonprob,?,?
?,proper,complete,2,critical,inconv,slightly_prob,recommended,priority
usual,?,complete,?,?,inconv,slightly_prob,priority,priority
usual,proper,complete,2,critical,?,slightly_prob,?,not_recom
usual,proper,complete,?,critical,inconv,problematic,recommended,priority
usual,proper,complete,2,critical,inconv,problematic,priority,priority
usual,proper,complete,2,critical,inconv,problematic,not_recom,not_recom
usual,?,complete,3,convenient,convenient,nonprob,?,very_recom
usual,proper,complete,3,convenient,convenient,nonprob,priority,priority
usual,proper,complete,?,convenient,?,nonprob,?,not_recom
usual,proper,complete,3,convenient,convenient,?,?,?
?,proper,?,3,convenient,?,slightly_prob,priority,priority
usual,proper,complete,3,convenient,?,slightly_prob,not_recom,not_recom
?,?,complete,?,convenient,?,problematic,recommended,?
usual,?,complete,3,convenient,convenient,problematic,?,priority
usual,proper,complete,?,convenient,convenient,problematic,?,not_recom
usual,?,?,3,?,inconv,nonprob,?,priority
usual,?,complete,3,convenient,inconv,?,?,?
?,proper,?,?,?,?,nonprob,not_recom,not_recom
usual,?,?,3,?,inconv,slightly_prob,recommended,priority
usual,proper,complete,3,convenient,inconv,slightly_prob,priority,?
usual,proper,complete,3,?,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,3,convenient,inconv,problematic,recommended,priority
usual,proper,complete,3,convenient,inconv,problematic,priority,priority
?,proper,complete,?,?,?,problematic,not_recom,?
usual,proper,complete,3,?,?,nonprob,recommended,priority
usual,?,complete,3,less_conv,convenient,nonprob,priority,priority
usual,proper,?,3,less_conv,convenient,nonprob,not_recom,not_recom
?,proper,complete,3,?,convenient,slightly_prob,recommended,priority
usual,proper,complete,3,less_conv,convenient,slightly_prob,priority,priority
usual,?,complete,3,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,?,?,?,convenient,problematic,?,priority
usual,proper,?,?,less_conv,convenient,?,priority,priority
usual,proper,?,3,less_conv,convenient,?,not_recom,?
usual,proper,complete,3,less_conv,?,nonprob,recommended,priority
usual,?,complete,3,less_conv,inconv,nonprob,priority,priority
?,proper,complete,3,?,?,nonprob,not_recom,not_recom
?,proper,?,?,less_conv,?,slightly_prob,recommended,priority
usual,proper,complete,3,less_conv,inconv,slightly_prob,priority,priority
usual,proper,complete,3,less_conv,inconv,slightly_prob,not_recom,not_recom
?,proper,?,3,?,inconv,problematic,?,priority
usual,proper,complete,3,?,inconv,problematic,priority,?
usual,proper,complete,?,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,complete,3,critical,convenient,nonprob,recommended,?
usual,proper,complete,3,?,?,nonprob,priority,priority
usual,proper,?,3,?,convenient,nonprob,not_recom,not_recom
usual,proper,complete,3,critical,convenient,slightly_prob,recommended,priority
?,proper,complete,?,critical,convenient,slightly_prob,priority,priority
usual,?,complete,3,critical,convenient,slightly_prob,not_recom,not_recom
usual,?,complete,3,critical,convenient,problematic,recommended,priority
usual,?,complete,3,?,convenient,?,priority,priority
usual,proper,?,3,critical,convenient,problematic,not_recom,not_recom
usual,proper,complete,3,critical,inconv,nonprob,recommended,priority
usual,proper,complete,?,?,?,nonprob,priority,priority
usual,proper,complete,3,critical,inconv,nonprob,?,not_recom
?,proper,complete,3,critical,inconv,slightly_prob,?,priority
usual,proper,complete,3,critical,inconv,?,priority,priority
usual,proper,?,3,critical,inconv,slightly_prob,not_recom,not_recom
usual,?,complete,?,critical,?,problematic,recommended,priority
?,proper,complete,?,critical,inconv,problematic,priority,priority
?,proper,complete,3,critical,inconv,problematic,?,?
usual,proper,complete,more,?,convenient,nonprob,?,very_recom
usual,proper,?,more,convenient,convenient,nonprob,priority,?
?,?,complete,more,?,convenient,nonprob,not_recom,not_recom
usual,proper,complete,more,convenient,convenient,slightly_prob,recommended,?
usual,proper,complete,more,convenient,convenient,?,?,priority
usual,proper,complete,more,convenient,convenient,slightly_prob,?,not_recom
usual,proper,complete,more,convenient,convenient,problematic,recommended,priority
usual,?,complete,more,convenient,convenient,problematic,priority,?
usual,proper,complete,?,convenient,?,problematic,?,not_recom
usual,proper,complete,?,?,?,nonprob,?,priority
usual,proper,?,more,convenient,inconv,nonprob,priority,priority
?,?,complete,more,?,inconv,nonprob,?,not_recom
usual,proper,complete,more,convenient,inconv,slightly_prob,recommended,?
usual,proper,complete,?,convenient,inconv,slightly_prob,?,priority
usual,proper,complete,?,convenient,inconv,slightly_prob,?,not_recom
?,proper,complete,more,convenient,inconv,problematic,recommended,?
usual,proper,complete,more,?,inconv,problematic,priority,priority
usual,proper,?,more,?,inconv,?,not_recom,not_recom
usual,?,complete,more,less_conv,convenient,nonprob,recommended,?
usual,proper,?,?,less_conv,?,nonprob,priority,priority
usual,?,?,more,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,?,more,less_conv,convenient,?,recommended,priority
usual,?,complete,more,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,?,less_conv,convenient,problematic,?,priority
usual,proper,complete,more,less_conv,convenient,problematic,priority,priority
usual,?,complete,more,less_conv,convenient,problematic,not_recom,?
usual,?,complete,more,less_conv,inconv,nonprob,recommended,priority
usual,proper,complete,more,less_conv,?,?,priority,?
usual,?,complete,more,?,inconv,?,?,not_recom
usual,?,complete,more,less_conv,inconv,?,recommended,priority
usual,?,?,?,?,?,?,?,priority
?,proper,complete,more,less_conv,inconv,slightly_prob,not_recom,?
usual,proper,complete,?,less_conv,inconv,problematic,recommended,priority
usual,proper,complete,more,less_conv,?,problematic,priority,priority
usual,proper,complete,more,less_conv,?,?,not_recom,not_recom
?,proper,complete,?,critical,convenient,nonprob,recommended,priority
usual,?,complete,more,critical,?,nonprob,priority,priority
usual,?,complete,more,critical,convenient,nonprob,not_recom,not_recom
usual,proper,?,more,critical,convenient,slightly_prob,recommended,priority
usual,proper,complete,more,critical,convenient,slightly_prob,priority,priority
usual,proper,complete,more,?,?,?,?,not_recom
usual,proper,complete,?,critical,convenient,problematic,recommended,priority
usual,proper,?,?,critical,convenient,problematic,priority,?
usual,?,complete,more,critical,convenient,problematic,not_recom,not_recom
usual,?,complete,more,critical,inconv,nonprob,recommended,priority
usual,proper,complete,more,critical,inconv,nonprob,priority,priority
?,proper,complete,more,critical,inconv,nonprob,not_recom,not_recom
?,proper,complete,more,critical,?,slightly_prob,recommended,priority
usual,proper,complete,more,critical,inconv,slightly_prob,priority,priority
usual,proper,complete,more,critical,inconv,slightly_prob,not_recom,not_recom
?,?,?,more,critical,?,?,recommended,priority
usual,proper,?,more,critical,inconv,problematic,priority,priority
usual,proper,complete,more,?,?,?,?,not_recom
usual,proper,?,1,?,convenient,nonprob,recommended,?
?,proper,?,1,convenient,?,?,priority,?
usual,proper,completed,?,convenient,convenient,nonprob,not_recom,not_recom
usual,?,completed,1,convenient,convenient,slightly_prob,recommended,?
usual,proper,?,1,convenient,convenient,slightly_prob,?,priority
usual,proper,completed,?,?,convenient,?,not_recom,not_recom
usual,?,?,?,convenient,convenient,problematic,recommended,priority
usual,?,completed,1,?,convenient,problematic,priority,priority
usual,proper,completed,1,convenient,convenient,?,not_recom,?
usual,proper,completed,1,convenient,inconv,nonprob,recommended,very_recom
?,proper,completed,1,convenient,inconv,?,?,priority
usual,proper,completed,1,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,?,?,convenient,inconv,slightly_prob,recommended,?
usual,proper,?,1,convenient,inconv,slightly_prob,priority,priority
usual,?,completed,1,convenient,?,slightly_prob,not_recom,not_recom
usual,?,completed,1,convenient,inconv,problematic,recommended,priority
?,?,?,1,?,inconv,problematic,?,priority
usual,proper,completed,?,convenient,?,problematic,not_recom,not_recom
usual,proper,completed,1,less_conv,?,nonprob,recommended,very_recom
?,?,?,1,less_conv,convenient,nonprob,priority,priority
?,proper,completed,1,?,convenient,nonprob,not_recom,?
usual,proper,completed,?,less_conv,?,?,recommended,?
usual,proper,?,?,less_conv,?,slightly_prob,priority,priority
usual,proper,?,1,?,convenient,?,not_recom,not_recom
usual,?,?,?,?,convenient,problematic,recommended,?
usual,proper,completed,1,less_conv,convenient,problematic,priority,priority
usual,proper,completed,1,less_conv,?,problematic,not_recom,not_recom
usual,?,completed,1,less_conv,?,nonprob,recommended,very_recom
usual,proper,completed,1,less_conv,inconv,nonprob,?,priority
usual,proper,completed,1,?,?,nonprob,not_recom,not_recom
usual,proper,completed,?,less_conv,inconv,slightly_prob,recommended,very_recom
?,proper,completed,1,?,inconv,slightly_prob,priority,?
usual,proper,completed,1,less_conv,inconv,slightly_prob,not_recom,not_recom
usual,proper,completed,1,?,inconv,problematic,recommended,priority
usual,proper,completed,1,less_conv,inconv,problematic,priority,?
?,proper,completed,1,less_conv,inconv,problematic,not_recom,not_recom
usual,proper,completed,1,critical,convenient,nonprob,recommended,priority
usual,proper,completed,1,critical,convenient,nonprob,priority,priority
usual,proper,completed,1,critical,convenient,nonprob,not_recom,not_recom
usual,proper,completed,1,critical,?,slightly_prob,recommended,?
