@relation dataset

@attribute mcg real
@attribute gvh real
@attribute lip real
@attribute chg real
@attribute aac real
@attribute alm1 real
@attribute alm2 real
@attribute class {cp, im, imL, imS, imU, om, omL, pp}


@data

?,?,0.48,?,0.56,?,0.35,cp
0.07,?,?,0.5,?,?,?,?
0.56,0.4,?,0.5,0.49,0.37,?,?
0.59,?,?,?,?,0.45,?,cp
0.23,0.32,?,0.5,?,?,0.35,?
0.67,0.39,?,?,0.36,?,?,cp
?,0.28,0.48,0.5,?,0.23,?,cp
?,0.34,0.48,0.5,0.51,?,0.39,cp
0.2,0.44,0.48,?,0.46,?,0.57,cp
0.42,?,0.48,0.5,0.56,?,?,cp
?,0.24,?,0.5,?,?,0.37,?
?,?,?,0.5,?,0.17,0.29,?
?,?,?,?,?,?,?,cp
0.51,?,?,?,?,?,?,?
?,?,?,?,0.48,0.16,?,cp
?,0.4,0.48,0.5,0.46,0.44,?,?
?,0.45,?,0.5,?,0.24,0.35,?
?,0.27,0.48,?,?,?,?,?
0.23,0.4,?,?,0.39,?,?,?
0.41,?,?,0.5,?,?,?,cp
0.4,?,?,0.5,0.38,0.22,?,?
?,?,?,?,?,?,0.14,?
?,0.54,0.48,?,?,0.34,0.43,cp
?,?,?,0.5,0.56,?,0.23,?
0.36,?,?,0.5,0.48,?,?,?
0.29,?,0.48,?,?,0.44,?,cp
0.25,?,?,0.5,?,0.33,?,cp
?,?,?,?,?,?,?,?
?,?,0.48,?,?,0.35,?,cp
0.43,?,0.48,?,?,?,0.41,?
?,?,0.48,?,?,?,?,cp
?,0.33,?,?,?,0.35,?,cp
?,0.51,0.48,0.5,?,?,0.46,cp
0.4,?,0.48,?,?,0.35,?,?
?,?,?,0.5,?,0.19,?,cp
0.36,?,0.48,0.5,?,0.38,0.46,?
?,?,?,?,?,?,0.39,cp
0.65,?,?,?,?,?,0.4,cp
?,0.42,0.48,?,0.35,?,0.38,cp
0.38,?,0.48,0.5,0.48,?,?,?
0.33,0.45,0.48,0.5,0.52,?,?,cp
0.3,0.37,?,?,0.59,0.41,?,cp
0.4,0.5,?,0.5,?,?,?,cp
?,?,0.48,0.5,?,0.33,0.42,?
0.61,0.45,?,?,?,0.35,0.41,?
?,?,0.48,0.5,?,?,0.5,?
?,?,?,?,?,?,?,?
0.43,?,?,?,?,?,?,?
?,?,0.48,0.5,?,?,?,?
?,?,?,0.5,?,0.33,?,?
0.37,?,0.48,?,?,?,?,?
?,0.3,0.48,0.5,0.45,?,0.17,cp
0.22,?,?,?,0.35,0.39,?,cp
?,?,0.48,?,0.37,0.53,?,?
?,?,?,?,0.22,?,0.26,?
?,?,?,?,?,?,?,?
0.51,?,?,0.5,?,?,?,?
?,?,?,?,0.45,?,?,?
?,0.34,?,0.5,?,0.33,?,?
0.42,0.38,?,?,0.54,?,?,?
0.44,?,?,0.5,0.5,?,0.54,?
?,0.36,?,?,0.41,0.28,?,?
0.36,?,?,?,?,?,0.54,cp
0.18,?,?,?,0.46,?,0.35,?
0.47,?,?,0.5,0.51,?,?,?
0.24,?,?,0.5,0.54,0.52,?,cp
0.25,0.37,?,0.5,0.41,0.33,?,?
?,?,0.48,?,?,0.47,0.54,?
?,0.37,0.48,0.5,0.43,0.26,?,?
0.35,?,?,?,0.56,?,?,?
?,?,0.48,0.5,0.34,?,0.35,cp
?,?,0.48,0.5,0.47,0.26,0.36,cp
0.37,?,0.48,?,?,?,?,?
?,0.42,?,0.5,?,0.25,?,cp
?,?,0.48,?,0.37,?,0.38,cp
0.42,?,?,0.5,0.48,0.26,?,?
0.48,0.42,0.48,?,?,?,0.35,?
?,0.48,0.48,?,?,?,?,?
?,?,?,0.5,?,0.27,0.37,?
?,?,0.48,0.5,0.48,?,?,?
?,?,?,?,0.41,0.35,0.44,cp
?,0.43,?,0.5,0.45,?,?,?
?,?,0.48,?,?,0.23,?,cp
?,?,0.48,0.5,?,0.31,0.41,cp
?,0.56,?,?,?,0.45,?,?
?,?,?,?,?,0.49,?,cp
?,0.49,?,?,?,?,0.53,cp
?,?,0.48,0.5,?,?,?,cp
?,?,?,?,?,?,0.34,?
0.53,?,0.48,?,?,0.29,?,?
0.34,0.46,0.48,0.5,?,?,?,?
?,?,?,0.5,?,0.27,?,?
?,?,?,?,?,?,0.25,?
0.3,?,?,?,?,?,0.32,?
?,?,?,?,?,0.28,?,cp
0.64,?,0.48,0.5,0.45,0.35,?,cp
0.35,0.37,?,0.5,?,?,0.43,?
0.57,?,?,0.5,?,0.28,0.33,cp
?,0.55,?,?,?,0.37,0.28,?
0.51,0.46,?,0.5,?,0.31,?,?
0.38,?,0.48,0.5,?,?,0.35,cp
?,?,?,?,0.63,?,?,?
?,0.26,?,?,0.54,0.16,?,?
?,0.47,0.48,?,0.53,?,0.29,?
?,?,?,0.5,0.38,?,0.4,?
0.26,?,?,?,?,?,?,cp
?,?,?,?,0.39,0.38,?,?
?,?,0.48,?,?,?,?,?
?,?,0.48,?,?,?,0.4,?
0.47,?,?,?,?,0.2,0.25,?
?,?,0.48,?,?,?,?,cp
?,?,?,?,0.51,0.49,?,?
?,?,0.48,?,?,?,0.27,?
?,?,0.48,?,?,?,?,?
0.38,0.44,?,?,?,?,0.31,?
0.41,0.51,0.48,0.5,?,?,?,?
0.34,?,0.48,?,0.41,?,?,cp
?,?,?,?,?,0.14,0.26,?
?,0.51,?,0.5,?,0.42,?,?
?,?,?,?,0.5,?,?,cp
?,0.26,?,?,?,0.32,?,cp
0.24,0.41,?,0.5,?,?,0.34,?
0.17,0.39,?,0.5,?,?,?,cp
?,?,0.48,0.5,?,?,?,?
?,0.36,?,0.5,0.49,0.35,?,?
0.34,0.51,?,?,?,?,?,?
?,0.33,0.48,?,?,?,?,?
0.4,?,?,0.5,0.42,?,?,cp
0.23,?,0.48,0.5,?,0.26,0.37,?
?,0.44,0.48,?,0.42,?,?,?
0.0,?,?,0.5,?,?,0.55,cp
0.39,?,?,0.5,0.38,?,0.43,cp
0.3,0.44,?,?,0.49,?,?,?
?,?,?,?,?,0.28,0.39,cp
?,?,?,0.5,?,0.37,?,cp
?,?,?,?,?,0.32,?,?
?,?,?,0.5,0.43,0.18,?,?
0.26,?,0.48,?,0.36,?,?,?
0.4,?,0.48,?,0.55,?,?,?
?,?,?,?,?,?,?,cp
0.44,?,?,?,0.44,?,?,cp
0.27,?,?,?,0.37,?,0.43,cp
?,?,?,0.5,0.54,0.27,0.37,?
?,0.61,0.48,0.5,?,?,?,?
?,0.52,?,?,0.43,?,?,?
