@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,75.0,27.17,3.32,0.46,1.32,0.43,0.88,0.73,?,2.35,1.68,0.56,?,0.37,2.74,0.01,0.02
6.0,0.0,?,0.83,0.5,0.0,0.0,0.0,?,?,?,0.0,?,?,?,?,?,?
?,78.0,37.42,7.42,0.5,0.06,0.31,2.95,0.76,?,5.58,2.05,?,1.33,?,2.96,0.03,?
?,?,?,0.13,?,0.0,0.0,0.25,0.67,0.25,0.38,0.25,0.13,0.0,0.13,1.13,0.0,0.0
?,3.0,?,0.9,0.4,?,0.17,?,?,0.71,0.9,0.31,0.22,?,0.1,1.33,0.0,?
?,80.0,35.15,?,0.48,?,0.36,?,0.91,?,2.6,?,?,1.61,0.31,2.28,?,0.0
?,?,?,?,?,0.0,?,1.33,0.61,?,1.72,?,1.09,?,?,2.02,0.02,0.0
52.0,38.0,?,?,0.35,1.12,0.35,1.13,0.73,0.25,2.23,3.38,0.96,1.83,0.19,?,0.0,?
?,0.0,14.75,1.92,0.55,?,0.0,0.85,?,1.62,?,0.39,?,0.72,0.92,2.14,0.01,0.03
76.0,0.0,22.28,1.87,0.57,0.0,0.0,2.16,0.69,1.93,4.42,0.43,0.55,0.78,1.89,2.25,?,?
?,0.0,?,2.33,0.43,0.43,?,?,0.69,0.86,2.44,0.7,?,0.59,0.19,1.89,0.0,?
?,0.0,?,1.0,?,0.0,0.0,0.0,0.0,?,0.0,0.0,0.0,?,?,1.0,0.0,?
63.0,6.0,14.57,2.68,0.44,1.24,?,?,0.87,1.11,2.1,0.59,?,0.89,0.22,1.29,0.0,0.0
69.0,69.0,38.2,?,0.46,0.86,0.32,7.36,0.83,2.2,?,3.22,1.28,3.03,0.43,?,?,0.17
?,16.0,16.48,?,0.48,?,0.0,0.83,0.72,?,?,0.15,0.25,0.56,?,1.98,0.01,0.0
32.0,32.0,36.47,?,0.41,?,0.35,4.78,?,?,?,7.19,1.28,3.66,0.28,2.97,0.06,0.09
72.0,71.0,?,5.47,0.39,1.89,0.33,?,?,1.08,?,3.83,?,2.24,0.56,?,?,0.03
