@relation dataset

@attribute games real
@attribute starts real
@attribute min real
@attribute fgm real
@attribute fgp real
@attribute 3pm real
@attribute 3pp real
@attribute ftm real
@attribute ftp real
@attribute off real
@attribute def real
@attribute ast real
@attribute stl real
@attribute to real
@attribute blk real
@attribute pf real
@attribute dq real
@attribute tf real


@data

82.0,75.0,27.17,?,0.46,?,?,0.88,0.73,?,?,1.68,?,0.9,0.37,?,0.01,0.02
6.0,0.0,4.83,0.83,0.5,0.0,?,0.0,?,0.17,0.5,0.0,0.17,?,?,0.83,0.0,0.0
78.0,78.0,?,7.42,0.5,?,?,2.95,0.76,?,?,2.05,?,?,?,?,0.03,0.01
8.0,0.0,3.75,0.13,?,0.0,0.0,0.25,0.67,?,0.38,?,0.13,0.0,0.13,1.13,?,0.0
?,?,8.98,0.9,0.4,0.02,0.17,0.24,?,0.71,?,?,0.22,?,0.1,1.33,0.0,0.0
80.0,?,35.15,5.8,0.48,?,0.36,2.89,0.91,0.56,2.6,?,0.8,?,0.31,2.28,0.01,0.0
54.0,8.0,16.46,2.39,0.51,?,?,?,0.61,0.96,1.72,1.33,?,1.22,0.35,2.02,0.02,0.0
?,?,27.38,2.98,0.35,1.12,0.35,1.13,0.73,0.25,?,3.38,0.96,1.83,0.19,1.98,0.0,?
79.0,0.0,?,1.92,0.55,0.0,?,?,?,1.62,2.76,0.39,?,0.72,0.92,2.14,0.01,0.03
76.0,0.0,22.28,1.87,0.57,?,?,2.16,?,1.93,?,0.43,?,0.78,1.89,2.25,?,0.01
63.0,0.0,14.16,?,0.43,0.43,?,0.73,?,0.86,2.44,0.7,0.24,0.59,?,?,?,0.02
1.0,?,15.0,1.0,0.33,0.0,?,?,?,1.0,0.0,?,0.0,1.0,0.0,1.0,?,0.0
63.0,?,14.57,2.68,0.44,?,0.37,?,0.87,1.11,2.1,0.59,?,0.89,0.22,?,?,0.0
69.0,69.0,38.2,9.97,0.46,0.86,?,?,?,2.2,?,?,1.28,?,?,?,?,0.17
?,16.0,16.48,?,0.48,0.0,0.0,?,0.72,1.54,1.58,?,?,0.56,1.36,1.98,?,?
32.0,32.0,36.47,7.91,0.41,?,?,4.78,0.74,0.53,3.63,7.19,1.28,3.66,0.28,?,0.06,0.09
72.0,?,36.54,5.47,?,?,?,2.06,0.65,1.08,4.51,3.83,1.76,2.24,0.56,?,0.0,0.03
33.0,?,?,?,?,0.0,?,0.45,0.47,0.82,?,0.64,0.45,0.67,0.36,1.79,?,?
72.0,?,?,2.47,?,?,0.28,1.06,0.84,?,?,3.13,0.5,?,0.08,1.42,0.0,0.0
77.0,?,33.84,?,0.41,1.36,?,1.66,0.69,1.29,?,?,1.39,1.57,?,2.14,?,0.08
?,?,?,1.97,0.43,0.0,?,?,?,1.16,?,0.47,0.44,0.69,0.44,1.88,0.0,0.03
40.0,?,?,?,0.36,0.55,0.3,?,0.93,?,0.6,?,?,?,0.0,1.33,?,0.0
?,?,18.4,?,0.39,0.88,0.39,1.28,?,?,1.08,2.41,?,0.93,0.06,1.59,?,?
?,7.0,25.67,?,?,?,0.37,?,?,1.33,3.22,?,?,0.78,?,1.78,0.0,?
13.0,1.0,?,0.46,0.33,0.0,0.0,0.15,0.33,0.31,1.46,0.54,0.62,?,?,1.23,0.0,?
?,0.0,11.09,1.77,0.53,0.32,0.29,1.09,0.83,?,?,1.18,0.55,0.91,?,1.36,0.0,0.05
44.0,5.0,?,3.52,?,?,?,?,0.88,?,1.32,1.45,?,1.05,?,1.61,0.0,0.0
78.0,?,19.81,?,0.44,0.72,0.36,0.97,0.84,?,1.65,3.31,?,1.31,0.08,1.53,?,0.03
80.0,80.0,?,6.71,0.47,1.51,?,2.26,0.77,1.31,?,1.16,?,1.5,1.39,2.69,?,0.04
81.0,58.0,25.8,?,?,?,0.32,1.33,0.74,1.31,4.17,1.65,?,?,0.37,?,0.01,?
7.0,?,?,?,?,0.0,0.0,3.14,?,4.43,6.57,?,0.57,?,0.57,3.43,?,?
?,3.0,12.92,2.38,0.51,0.0,0.0,1.04,0.83,?,?,0.38,?,0.62,0.54,?,?,?
15.0,0.0,8.87,0.93,?,?,0.25,0.47,0.7,0.27,?,?,?,?,0.13,?,0.0,?
67.0,62.0,32.37,2.66,?,1.51,0.36,?,0.73,?,3.55,2.45,0.78,?,1.13,?,?,?
37.0,?,?,?,?,1.46,?,?,0.84,0.86,?,?,0.65,0.73,0.68,2.24,?,0.0
?,?,17.62,?,?,0.39,0.32,2.72,?,0.24,1.38,2.32,?,1.27,0.07,2.05,?,?
78.0,78.0,29.83,6.0,?,?,0.27,2.46,?,?,4.81,1.28,?,?,?,2.83,0.03,0.04
?,?,12.54,2.77,0.52,0.8,?,0.75,0.81,?,1.18,1.32,0.52,?,0.21,1.5,0.02,?
66.0,?,?,2.33,0.41,?,0.38,1.53,?,?,?,1.35,?,0.91,?,?,?,?
?,?,?,2.38,0.38,?,?,0.68,?,0.44,1.42,1.46,0.55,?,?,?,0.0,?
6.0,?,?,4.67,0.46,?,0.44,0.5,1.0,0.83,?,2.17,?,0.83,0.33,2.5,0.0,?
25.0,1.0,?,?,0.4,?,?,?,0.92,0.6,1.48,0.64,0.08,1.12,0.68,1.32,0.0,0.0
80.0,?,?,3.35,0.42,1.58,?,?,0.86,0.25,?,3.88,?,1.13,0.04,1.96,?,0.04
33.0,29.0,23.15,2.45,0.59,?,0.0,0.12,0.16,?,5.94,?,?,0.97,1.33,3.55,0.09,?
?,73.0,34.1,5.51,0.42,2.15,0.39,?,0.91,?,?,5.6,?,2.42,?,?,0.01,?
?,24.0,18.24,?,0.56,?,?,?,?,?,?,0.79,?,1.37,0.48,2.73,0.02,0.02
80.0,?,?,?,0.42,1.45,?,?,0.75,?,2.08,4.75,0.73,1.6,0.08,1.54,?,?
?,36.0,?,?,0.48,?,?,2.15,0.74,1.95,4.33,2.1,?,2.23,?,2.69,0.0,0.05
?,?,19.75,1.52,?,0.89,0.36,0.47,0.74,0.32,?,1.2,?,0.67,0.15,1.97,?,0.01
?,69.0,32.3,6.86,?,0.0,0.0,2.16,?,?,?,1.84,?,?,?,3.22,0.07,0.06
65.0,8.0,17.92,2.55,0.45,1.38,?,0.54,0.73,0.8,?,?,0.46,0.6,?,?,?,0.02
?,28.0,?,?,?,0.0,?,?,0.33,1.97,?,0.46,0.48,?,0.76,1.76,?,0.0
?,78.0,34.24,7.91,0.56,?,0.0,3.65,0.74,2.32,?,3.18,?,2.72,0.46,3.46,?,0.06
?,?,36.07,?,0.52,0.11,?,6.71,0.8,2.93,7.91,2.37,?,2.41,0.97,?,?,0.03
?,0.0,8.0,?,1.0,?,0.0,2.0,1.0,?,1.0,0.0,1.0,0.0,0.0,?,?,0.0
67.0,1.0,?,2.57,0.43,0.28,0.32,?,0.87,0.25,?,2.55,0.36,?,0.04,?,0.0,?
76.0,58.0,30.22,5.42,0.48,0.0,?,?,?,?,?,?,1.08,?,1.05,3.05,0.01,0.0
82.0,?,30.28,?,?,?,?,?,?,0.84,2.55,2.35,?,2.01,?,2.73,0.05,0.01
58.0,?,?,3.6,0.49,?,?,?,0.64,0.78,2.45,2.66,?,0.91,?,1.38,?,0.0
21.0,0.0,?,0.43,0.35,0.0,?,0.05,0.17,?,0.62,0.05,?,0.1,?,0.9,?,0.0
52.0,4.0,12.63,1.06,?,0.0,0.0,0.71,0.6,?,2.08,0.44,0.27,0.44,0.08,?,0.0,?
82.0,82.0,35.59,7.01,?,?,0.4,2.99,0.82,0.66,1.96,5.29,0.84,2.83,0.17,2.43,?,?
45.0,?,11.56,1.96,0.37,0.58,0.27,?,?,?,?,1.96,0.33,1.02,0.02,?,0.0,?
57.0,0.0,9.4,?,?,?,?,?,?,0.54,0.82,0.33,?,0.33,0.18,0.93,?,?
50.0,?,21.16,?,?,1.16,0.35,?,0.8,0.6,1.9,?,?,?,?,1.44,0.0,0.0
48.0,?,?,?,0.5,0.0,0.0,0.69,?,1.1,?,0.46,0.31,?,0.25,?,0.02,0.06
82.0,7.0,20.76,3.09,?,0.76,?,?,0.82,0.37,1.87,?,?,0.82,0.38,1.57,0.0,0.02
?,73.0,38.82,?,0.46,1.36,0.33,6.01,?,1.07,?,5.0,1.55,3.18,0.27,?,0.0,0.19
?,4.0,20.18,3.36,?,1.24,0.37,?,0.77,0.51,2.46,?,0.46,0.65,0.15,?,0.0,0.0
74.0,74.0,37.55,6.08,0.43,0.57,0.29,?,0.84,?,4.82,2.11,1.57,2.16,?,2.61,0.0,?
82.0,?,?,4.34,0.41,?,?,?,0.84,0.48,2.45,1.41,?,0.96,0.83,1.48,?,?
?,65.0,?,6.03,0.57,0.0,0.0,?,?,2.72,5.6,1.05,?,1.77,1.45,?,0.03,0.05
63.0,?,26.41,?,0.44,0.19,?,?,0.8,0.38,?,4.49,0.87,?,0.11,?,?,0.03
68.0,39.0,?,4.03,0.48,1.0,?,?,?,0.34,?,5.94,?,1.46,0.1,?,?,0.03
?,?,?,?,0.48,0.03,0.29,?,0.64,3.36,8.39,?,?,?,?,2.18,0.0,0.04
?,?,9.24,0.48,0.39,0.1,0.33,0.59,0.94,?,0.76,?,0.31,0.24,?,1.93,0.03,?
68.0,0.0,?,1.66,?,0.6,0.3,?,?,0.38,?,?,0.37,0.31,0.29,1.16,0.0,0.0
?,?,11.17,1.24,?,?,0.0,0.46,?,?,?,0.46,?,?,0.13,1.51,0.01,0.01
25.0,0.0,4.84,?,0.36,?,?,0.24,?,0.16,?,?,0.2,?,?,0.52,?,0.0
54.0,?,15.91,1.41,?,0.31,0.27,0.2,?,0.31,1.33,2.96,?,1.07,0.24,1.33,0.0,0.02
?,?,30.8,5.79,0.43,1.59,0.37,?,?,?,3.47,3.15,0.71,1.41,0.24,?,0.0,?
77.0,?,25.09,?,0.45,0.97,0.37,?,0.67,0.97,3.56,1.26,0.7,1.27,0.23,?,0.0,0.04
?,22.0,24.74,2.49,?,1.03,0.32,1.12,0.75,0.34,?,3.37,?,1.68,0.16,?,?,?
51.0,27.0,?,2.14,0.57,?,?,2.25,0.73,?,4.04,0.31,0.33,1.78,1.12,2.71,?,?
65.0,?,?,?,?,0.62,?,1.98,0.81,?,?,2.12,?,1.66,0.75,2.83,0.05,?
?,0.0,7.55,1.1,?,0.04,0.4,?,?,0.35,0.86,0.41,0.14,?,?,0.49,?,?
?,10.0,7.74,0.35,?,0.0,?,0.29,0.4,0.65,1.18,0.18,0.06,?,0.09,?,0.0,?
24.0,?,4.71,0.33,0.35,0.0,0.0,0.0,0.0,?,0.38,?,0.13,0.21,0.08,0.88,0.0,?
43.0,?,10.91,1.09,0.37,0.09,0.24,?,?,0.3,0.86,1.02,0.53,0.74,?,1.05,0.0,?
?,37.0,?,4.95,0.48,?,?,?,0.85,0.54,1.99,?,1.03,2.66,0.05,1.21,0.0,0.01
75.0,5.0,?,2.43,?,?,?,?,?,2.03,3.09,0.51,0.49,?,?,?,0.05,?
?,?,32.06,?,?,1.03,0.39,1.74,?,?,?,?,1.36,?,0.15,2.23,0.05,0.0
5.0,0.0,?,0.6,?,0.0,0.0,?,0.0,?,?,1.4,0.0,0.8,0.0,1.0,0.0,?
14.0,0.0,?,?,?,?,?,0.36,?,?,0.57,0.07,?,?,0.14,?,?,0.0
45.0,?,?,1.8,0.32,0.89,?,?,0.84,0.2,1.62,0.96,0.31,?,0.22,1.11,?,0.0
79.0,0.0,31.13,?,0.45,2.06,?,3.42,?,0.43,?,3.01,?,?,0.15,?,?,?
63.0,2.0,11.22,1.68,0.5,0.0,?,?,0.65,0.86,1.68,?,?,?,0.35,?,0.0,?
?,?,?,?,0.38,?,0.0,1.43,?,?,1.29,0.0,0.0,1.86,?,?,0.0,0.14
?,77.0,36.19,6.6,0.46,2.08,?,2.21,0.89,0.6,3.84,5.9,1.9,3.05,0.24,3.15,?,0.0
?,?,?,3.48,0.54,0.0,?,1.18,0.73,2.91,6.63,0.78,?,1.5,?,3.07,?,?
55.0,?,23.25,2.42,?,?,?,?,?,2.33,4.95,?,?,1.11,1.4,2.78,0.0,0.04
51.0,?,?,2.43,?,0.12,0.21,?,?,?,?,?,0.55,0.82,0.12,1.78,?,?
75.0,73.0,?,?,0.41,?,0.28,3.19,?,0.69,2.87,?,?,2.81,0.57,2.8,?,?
54.0,?,17.2,2.26,0.44,0.0,?,1.78,0.7,?,?,?,0.39,0.98,?,2.44,?,?
2.0,?,4.0,1.0,0.5,0.0,0.0,?,0.5,?,0.0,?,?,?,0.5,?,0.0,0.0
36.0,2.0,13.94,1.72,0.43,0.44,?,0.5,0.58,?,?,1.08,0.31,?,0.08,1.08,?,0.03
?,4.0,13.2,1.99,0.46,0.42,?,0.67,0.82,?,2.03,?,0.36,0.7,0.38,?,?,0.0
?,66.0,?,3.99,?,1.79,0.37,1.24,0.78,0.68,4.57,?,1.07,1.6,0.28,1.84,0.0,?
70.0,69.0,37.91,6.76,0.47,0.46,?,3.6,0.76,?,5.44,2.04,?,1.91,0.89,1.84,?,?
77.0,65.0,?,?,0.5,?,?,?,?,0.86,?,0.69,?,?,0.23,?,?,0.0
82.0,82.0,?,4.55,?,0.8,0.32,1.39,0.77,1.6,3.57,3.95,?,2.16,?,2.67,0.04,0.01
?,2.0,7.33,?,0.2,?,?,?,0.0,0.17,?,0.5,0.17,?,0.0,1.33,?,0.0
?,?,5.56,?,?,?,?,?,0.25,0.0,0.33,?,0.44,0.0,0.0,0.22,0.0,0.0
?,?,9.67,?,?,0.0,?,0.07,0.22,0.89,1.52,0.19,0.19,0.44,0.52,1.15,0.04,0.0
?,8.0,18.36,?,?,1.11,?,?,?,?,0.87,?,0.64,?,0.0,1.55,?,0.0
