@relation dataset

@attribute COMPACTNESS real
@attribute CIRCULARITY real
@attribute DISTANCE_CIRCULARITY real
@attribute RADIUS_RATIO real
@attribute PR_AXIS_ASPECT_RATIO real
@attribute MAX_LENGTH_ASPECT_RATIO real
@attribute SCATTER_RATIO real
@attribute ELONGATEDNESS real
@attribute PR_AXIS_RECTANGULARITY real
@attribute MAX_LENGTH_RECTANGULARITY real
@attribute SCALED_VARIANCE_MAJOR real
@attribute SCALED_VARIANCE_MINOR real
@attribute SCALED_RADIUS_OF_GYRATION real
@attribute SKEWNESS_ABOUT_MAJOR real
@attribute SKEWNESS_ABOUT_MINOR real
@attribute KURTOSIS_ABOUT_MAJOR real
@attribute KURTOSIS_ABOUT_MINOR real
@attribute HOLLOWS_RATIO real
@attribute class {0, 1, 2, 3}


@data

?,?,83.0,178.0,72.0,10.0,?,42.0,20.0,159.0,176.0,379.0,184.0,70.0,6.0,16.0,?,?,3
91.0,?,?,141.0,?,9.0,149.0,?,19.0,?,170.0,?,158.0,72.0,9.0,?,189.0,199.0,3
104.0,50.0,106.0,?,66.0,10.0,207.0,?,?,158.0,223.0,635.0,?,73.0,14.0,9.0,?,?,1
93.0,?,82.0,?,63.0,9.0,144.0,46.0,19.0,143.0,160.0,309.0,127.0,63.0,6.0,10.0,199.0,207.0,3
?,44.0,?,?,103.0,52.0,149.0,?,?,144.0,241.0,?,?,127.0,9.0,11.0,180.0,?,?
?,?,106.0,172.0,50.0,6.0,?,26.0,28.0,169.0,280.0,?,264.0,85.0,?,9.0,?,183.0,2
97.0,?,73.0,173.0,65.0,6.0,153.0,?,19.0,143.0,176.0,361.0,172.0,66.0,13.0,1.0,?,?,2
90.0,43.0,66.0,?,65.0,9.0,137.0,48.0,18.0,146.0,?,281.0,?,67.0,3.0,?,?,?,3
?,?,62.0,140.0,61.0,?,?,54.0,17.0,127.0,141.0,223.0,?,64.0,2.0,?,200.0,208.0,3
93.0,44.0,98.0,?,62.0,?,?,?,22.0,?,202.0,505.0,152.0,?,4.0,?,?,204.0,1
86.0,?,70.0,?,?,9.0,?,50.0,?,130.0,153.0,266.0,?,66.0,2.0,10.0,194.0,202.0,3
?,34.0,66.0,136.0,55.0,6.0,123.0,54.0,17.0,118.0,148.0,224.0,118.0,?,?,?,196.0,202.0,1
?,?,74.0,171.0,68.0,6.0,?,43.0,19.0,148.0,180.0,?,192.0,71.0,?,11.0,189.0,195.0,2
89.0,42.0,?,?,58.0,10.0,152.0,44.0,19.0,144.0,173.0,345.0,161.0,72.0,8.0,?,187.0,197.0,3
94.0,49.0,?,?,?,5.0,174.0,?,21.0,154.0,196.0,465.0,206.0,71.0,6.0,?,197.0,199.0,2
96.0,55.0,103.0,201.0,65.0,9.0,?,32.0,23.0,166.0,227.0,624.0,246.0,74.0,6.0,?,186.0,?,?
89.0,?,51.0,109.0,52.0,6.0,118.0,57.0,?,129.0,?,206.0,125.0,?,2.0,?,?,185.0,3
99.0,41.0,77.0,197.0,69.0,?,177.0,36.0,21.0,139.0,?,?,151.0,72.0,4.0,10.0,198.0,?,2
104.0,54.0,?,?,61.0,?,216.0,31.0,?,?,225.0,686.0,?,74.0,?,11.0,?,195.0,?
?,56.0,?,?,69.0,10.0,?,?,24.0,169.0,?,651.0,?,74.0,6.0,5.0,?,193.0,?
