@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,77.0,?,69.0,?,95.0
?,?,76.0,76.0,69.0,?
2.0,50.0,?,?,?,?
2.0,?,77.0,?,76.0,61.0
2.0,?,54.0,?,95.0,86.0
?,52.0,109.0,?,52.0,?
3.0,?,85.0,?,73.0,69.0
3.0,54.0,?,?,?,?
?,?,?,?,54.0,?
?,?,?,?,?,?
?,107.0,?,64.0,103.0,?
3.0,?,?,?,?,?
?,64.0,82.0,?,?,?
3.0,93.0,?,74.0,?,?
?,63.0,82.0,?,78.0,?
?,?,79.0,?,75.0,?
5.0,?,131.0,103.0,?,86.0
?,56.0,124.0,?,?,?
4.0,?,67.0,111.0,?,72.0
?,114.0,?,?,?,?
4.0,?,82.0,79.0,?,?
?,?,52.0,75.0,?,78.0
5.0,69.0,118.0,?,?,101.0
4.0,71.0,?,?,59.0,102.0
?,88.0,?,?,?,?
?,?,?,?,74.0,91.0
?,?,?,?,54.0,?
5.0,?,?,74.0,117.0,?
?,?,123.0,?,?,101.0
?,79.0,?,?,90.0,?
4.0,?,?,?,?,?
5.0,69.0,?,93.0,?,?
?,?,?,86.0,112.0,78.0
?,?,?,108.0,?,77.0
?,93.0,?,?,?,?
4.0,?,?,?,?,?
4.0,87.0,?,?,63.0,71.0
5.0,?,?,?,?,?
4.0,?,66.0,110.0,?,?
4.0,?,?,?,92.0,?
?,?,?,?,?,?
?,?,103.0,90.0,80.0,79.0
4.0,87.0,89.0,?,89.0,?
4.0,93.0,?,?,?,91.0
?,?,94.0,79.0,79.0,113.0
?,74.0,?,74.0,?,?
?,?,?,?,?,97.0
?,?,?,?,113.0,78.0
5.0,88.0,99.0,?,83.0,?
?,?,87.0,?,79.0,?
14.0,148.0,?,104.0,?,?
5.0,93.0,?,74.0,89.0,?
?,79.0,?,?,?,?
4.0,76.0,?,?,?,71.0
8.0,?,?,?,?,92.0
8.0,108.0,109.0,89.0,?,?
?,98.0,?,?,?,?
?,?,118.0,?,?,90.0
?,?,74.0,?,?,118.0
6.0,74.0,?,?,?,88.0
8.0,118.0,104.0,94.0,94.0,?
?,?,?,?,?,99.0
8.0,64.0,?,118.0,64.0,?
6.0,?,108.0,138.0,?,79.0
?,?,?,?,?,?
?,?,?,128.0,?,?
