@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,?,79.0,?,?,?
2.0,62.0,76.0,?,69.0,?
?,?,?,?,?,75.0
2.0,68.0,77.0,95.0,?,?
2.0,?,54.0,59.0,95.0,86.0
3.0,52.0,?,93.0,?,?
3.0,64.0,?,82.0,?,69.0
?,54.0,107.0,?,?,?
3.0,64.0,?,64.0,54.0,93.0
?,86.0,?,74.0,74.0,103.0
?,?,?,64.0,?,94.0
3.0,?,60.0,63.0,?,?
3.0,?,?,?,75.0,?
3.0,?,?,?,103.0,?
3.0,63.0,82.0,?,?,69.0
?,82.0,79.0,75.0,?,82.0
5.0,59.0,?,103.0,?,?
5.0,56.0,?,?,56.0,?
?,85.0,67.0,?,?,?
?,?,?,?,?,102.0
?,93.0,?,79.0,?,?
?,105.0,?,75.0,?,?
5.0,69.0,118.0,?,66.0,?
4.0,71.0,123.0,64.0,?,?
?,?,94.0,?,?,?
?,83.0,99.0,89.0,?,?
?,?,?,74.0,54.0,?
5.0,?,53.0,?,?,105.0
5.0,?,?,?,61.0,?
5.0,79.0,?,118.0,90.0,72.0
?,?,115.0,?,?,?
?,?,?,93.0,?,79.0
?,100.0,53.0,86.0,?,78.0
?,?,?,?,?,?
4.0,?,84.0,75.0,?,112.0
4.0,?,?,?,?,?
?,?,?,112.0,?,?
?,?,128.0,?,?,101.0
?,91.0,66.0,?,69.0,?
?,?,?,?,92.0,?
5.0,59.0,?,108.0,?,85.0
5.0,65.0,?,?,80.0,79.0
?,87.0,?,?,?,?
?,93.0,?,79.0,?,?
?,93.0,94.0,79.0,79.0,113.0
?,74.0,?,?,53.0,101.0
?,118.0,?,?,?,?
?,101.0,61.0,?,113.0,?
?,?,99.0,?,?,114.0
?,?,87.0,87.0,?,?
?,?,?,?,208.0,119.0
?,?,?,?,89.0,?
?,79.0,?,?,103.0,85.0
?,?,?,111.0,?,?
?,94.0,140.0,?,?,?
8.0,108.0,109.0,?,?,?
6.0,98.0,?,?,?,?
?,84.0,?,102.0,?,90.0
?,?,?,?,143.0,118.0
?,74.0,109.0,?,?,?
?,118.0,104.0,94.0,94.0,118.0
8.0,?,128.0,89.0,?,?
?,64.0,?,118.0,64.0,97.0
?,84.0,108.0,?,103.0,?
8.0,108.0,?,?,99.0,?
?,89.0,108.0,128.0,?,?
?,103.0,?,148.0,74.0,79.0
?,103.0,?,?,89.0,?
8.0,?,99.0,?,94.0,138.0
?,?,?,?,?,?
?,138.0,59.0,?,?,?
8.0,79.0,?,?,?,109.0
?,84.0,?,79.0,64.0,?
?,?,148.0,118.0,?,?
8.0,?,153.0,?,?,?
?,?,?,?,133.0,92.0
6.0,?,153.0,?,59.0,99.0
6.0,?,?,89.0,?,90.0
6.0,?,?,?,64.0,78.0
?,?,59.0,84.0,?,?
6.0,84.0,?,?,93.0,?
?,?,?,?,141.0,86.0
?,?,64.0,?,134.0,?
?,?,?,84.0,64.0,118.0
?,98.0,?,?,?,79.0
6.0,?,104.0,?,?,?
?,?,143.0,?,74.0,?
8.0,?,?,93.0,?,90.0
6.0,?,113.0,?,?,?
6.0,?,?,?,?,?
8.0,?,?,?,143.0,123.0
8.0,?,133.0,?,125.0,97.0
?,84.0,?,?,?,?
8.0,84.0,?,?,?,?
6.0,84.0,?,?,?,?
6.0,?,?,?,69.0,?
8.0,?,?,84.0,?,128.0
6.0,148.0,?,?,?,?
8.0,?,?,?,?,114.0
?,98.0,?,138.0,79.0,79.0
?,?,?,?,?,?
6.0,?,113.0,106.0,?,88.0
?,?,104.0,?,?,?
6.0,?,?,?,?,99.0
6.0,83.0,?,98.0,?,90.0
