@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

2.0,?,79.0,?,68.0,?
2.0,?,76.0,?,?,68.0
2.0,50.0,?,?,?,75.0
2.0,68.0,77.0,?,76.0,61.0
?,98.0,54.0,59.0,?,86.0
3.0,?,?,93.0,?,76.0
?,?,85.0,82.0,73.0,?
?,?,?,?,?,?
?,?,?,64.0,?,93.0
?,86.0,?,74.0,?,?
3.0,?,?,64.0,?,94.0
?,?,?,?,?,93.0
?,?,?,82.0,?,69.0
?,?,54.0,?,?,?
?,?,?,?,78.0,69.0
?,82.0,?,?,?,82.0
5.0,?,?,?,?,?
?,?,?,?,56.0,?
4.0,?,67.0,?,?,?
?,114.0,83.0,?,?,?
4.0,93.0,?,?,79.0,?
?,?,?,?,?,?
?,?,118.0,?,?,?
?,?,?,?,?,102.0
5.0,?,?,81.0,?,91.0
5.0,?,99.0,?,?,91.0
5.0,69.0,133.0,?,?,?
?,128.0,53.0,74.0,117.0,?
?,74.0,?,?,?,?
?,79.0,?,?,90.0,?
4.0,51.0,?,?,?,?
?,?,?,93.0,?,?
?,100.0,?,86.0,?,?
?,88.0,?,?,?,?
?,?,?,?,?,?
?,?,86.0,?,93.0,?
4.0,87.0,72.0,?,63.0,?
5.0,65.0,?,?,?,101.0
?,?,66.0,110.0,?,?
4.0,?,?,?,?,90.0
5.0,59.0,?,?,?,85.0
?,?,?,?,80.0,?
?,87.0,?,76.0,?,111.0
4.0,?,?,?,85.0,?
?,?,94.0,79.0,79.0,?
?,?,?,?,?,?
?,118.0,?,?,119.0,?
4.0,?,61.0,76.0,113.0,?
5.0,88.0,?,?,?,?
4.0,?,?,87.0,?,79.0
14.0,148.0,59.0,?,?,119.0
?,?,89.0,74.0,?,93.0
4.0,?,?,?,?,85.0
4.0,?,92.0,?,?,71.0
?,94.0,?,?,118.0,?
8.0,?,?,89.0,?,?
6.0,?,89.0,?,79.0,?
?,84.0,?,?,?,?
?,138.0,?,?,?,?
?,?,109.0,?,89.0,?
8.0,?,104.0,?,?,?
8.0,94.0,?,?,128.0,?
?,64.0,?,118.0,?,97.0
6.0,?,108.0,?,103.0,?
?,?,109.0,?,?,138.0
?,?,?,?,?,?
6.0,?,?,?,74.0,?
?,?,109.0,99.0,?,?
?,?,?,?,?,138.0
8.0,?,?,104.0,79.0,?
?,?,?,84.0,?,?
8.0,?,?,?,?,?
?,?,153.0,?,?,?
8.0,?,148.0,118.0,?,?
?,74.0,?,?,59.0,?
6.0,?,?,?,?,92.0
?,69.0,153.0,113.0,?,99.0
?,?,?,89.0,?,90.0
?,?,?,128.0,?,78.0
6.0,?,59.0,?,?,?
?,84.0,131.0,128.0,93.0,?
6.0,?,64.0,89.0,141.0,86.0
6.0,?,?,99.0,?,88.0
?,?,143.0,?,?,118.0
6.0,98.0,?,133.0,69.0,?
?,?,?,109.0,91.0,?
?,?,143.0,?,?,133.0
?,123.0,64.0,93.0,148.0,?
?,?,113.0,141.0,98.0,?
?,59.0,148.0,?,59.0,97.0
?,143.0,69.0,79.0,?,?
?,94.0,133.0,84.0,?,97.0
8.0,84.0,108.0,113.0,?,?
8.0,84.0,?,89.0,?,123.0
6.0,?,?,?,98.0,81.0
6.0,99.0,?,?,?,?
?,113.0,?,?,?,?
6.0,148.0,64.0,?,?,?
8.0,?,?,?,?,?
?,?,?,138.0,?,79.0
?,133.0,84.0,?,133.0,118.0
?,?,?,?,87.0,88.0
?,113.0,?,84.0,94.0,?
6.0,?,?,?,?,?
?,?,103.0,?,?,?
?,69.0,143.0,123.0,?,97.0
?,?,94.0,99.0,?,?
6.0,?,133.0,?,?,113.0
?,?,?,?,?,92.0
