@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,77.0,79.0,69.0,68.0,?
2.0,?,76.0,?,?,?
2.0,?,?,?,50.0,75.0
2.0,68.0,77.0,?,?,?
?,98.0,?,59.0,?,86.0
3.0,52.0,?,93.0,?,76.0
?,64.0,?,?,?,69.0
3.0,?,107.0,?,?,?
3.0,64.0,108.0,64.0,54.0,93.0
?,86.0,76.0,?,?,?
?,?,54.0,64.0,103.0,94.0
?,?,?,?,102.0,?
?,64.0,82.0,?,?,?
3.0,93.0,?,74.0,103.0,?
3.0,63.0,?,81.0,78.0,?
?,82.0,?,75.0,75.0,?
5.0,?,131.0,?,54.0,?
?,?,124.0,108.0,?,?
?,85.0,?,?,65.0,?
?,?,?,?,?,?
?,93.0,?,?,79.0,?
4.0,105.0,?,?,113.0,78.0
5.0,69.0,?,?,66.0,?
?,?,?,64.0,?,102.0
?,?,94.0,81.0,?,91.0
?,?,99.0,89.0,?,91.0
?,69.0,133.0,?,?,?
?,128.0,?,74.0,117.0,105.0
5.0,?,?,69.0,?,?
?,?,93.0,?,?,72.0
?,?,?,?,51.0,84.0
?,69.0,?,?,?,79.0
?,?,?,?,?,?
4.0,88.0,?,108.0,?,77.0
?,?,84.0,?,?,112.0
?,79.0,86.0,?,?,?
?,?,72.0,112.0,?,?
5.0,?,?,79.0,?,?
4.0,?,66.0,?,?,?
?,93.0,?,?,?,90.0
?,?,118.0,108.0,?,85.0
?,?,103.0,?,?,79.0
4.0,?,89.0,?,89.0,111.0
?,?,85.0,?,?,91.0
?,?,?,?,?,113.0
?,?,?,74.0,53.0,?
?,118.0,?,69.0,?,97.0
4.0,?,?,?,113.0,?
5.0,?,?,?,?,?
?,?,?,?,?,?
?,?,?,?,?,?
5.0,?,?,?,?,?
4.0,?,?,?,103.0,85.0
4.0,?,92.0,?,90.0,?
8.0,?,?,?,?,?
?,108.0,?,?,?,143.0
6.0,98.0,?,?,79.0,79.0
?,?,118.0,?,?,?
8.0,?,74.0,?,143.0,118.0
?,74.0,?,?,89.0,?
8.0,?,?,94.0,?,?
8.0,94.0,?,?,128.0,?
?,?,155.0,?,?,97.0
?,84.0,108.0,138.0,?,79.0
?,?,?,94.0,?,138.0
6.0,?,?,128.0,?,?
6.0,?,?,148.0,74.0,79.0
6.0,103.0,?,?,?,?
8.0,108.0,?,?,94.0,?
?,108.0,109.0,?,?,?
8.0,138.0,?,84.0,?,?
?,?,?,113.0,?,?
8.0,?,153.0,?,?,?
?,?,148.0,?,64.0,?
?,?,?,?,?,?
6.0,?,64.0,?,133.0,?
6.0,?,?,?,59.0,?
6.0,?,68.0,?,128.0,90.0
?,?,104.0,?,?,?
?,?,59.0,?,?,88.0
?,84.0,?,128.0,93.0,81.0
6.0,113.0,?,?,141.0,86.0
?,?,?,99.0,?,?
8.0,?,143.0,?,64.0,118.0
?,98.0,?,?,69.0,?
?,98.0,?,109.0,?,101.0
?,?,?,?,74.0,?
?,?,?,93.0,?,?
6.0,84.0,?,?,?,81.0
?,59.0,148.0,125.0,?,?
?,143.0,69.0,79.0,?,?
8.0,94.0,133.0,?,?,?
?,?,?,?,93.0,?
?,84.0,?,?,?,?
?,?,?,?,?,?
?,99.0,?,138.0,?,?
?,?,?,?,?,128.0
?,?,64.0,?,138.0,?
?,?,138.0,113.0,?,?
?,?,?,138.0,?,?
8.0,?,?,?,?,?
