@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,?,?,?,68.0,95.0
2.0,?,76.0,?,?,68.0
2.0,?,?,?,?,75.0
2.0,68.0,77.0,95.0,76.0,?
?,98.0,54.0,?,95.0,86.0
3.0,?,?,93.0,52.0,?
?,?,85.0,82.0,?,69.0
?,54.0,?,92.0,54.0,?
?,?,?,?,54.0,93.0
?,86.0,?,74.0,?,?
?,107.0,?,64.0,?,?
3.0,103.0,60.0,?,?,?
?,?,?,?,75.0,69.0
3.0,?,?,?,103.0,69.0
3.0,?,?,?,?,69.0
?,?,79.0,75.0,?,?
5.0,59.0,?,?,54.0,?
?,?,?,?,56.0,85.0
4.0,?,?,?,65.0,72.0
5.0,?,?,?,?,102.0
?,?,?,?,?,?
?,105.0,?,?,?,?
5.0,69.0,?,?,?,?
?,71.0,123.0,?,59.0,?
?,?,?,?,?,91.0
5.0,?,?,?,74.0,?
5.0,?,?,?,?,?
5.0,?,53.0,?,?,?
?,?,?,69.0,?,101.0
5.0,?,93.0,118.0,90.0,?
?,51.0,?,110.0,?,84.0
?,69.0,?,93.0,81.0,79.0
4.0,?,?,86.0,112.0,?
?,?,?,?,71.0,77.0
?,?,84.0,?,?,112.0
4.0,79.0,?,?,?,?
?,?,?,?,?,?
5.0,?,?,?,?,101.0
?,?,?,?,?,71.0
4.0,93.0,79.0,?,92.0,90.0
5.0,?,118.0,108.0,?,?
?,?,103.0,90.0,?,79.0
?,?,?,?,89.0,?
?,?,?,?,85.0,?
?,?,?,?,79.0,?
?,?,130.0,74.0,53.0,101.0
?,118.0,59.0,?,?,97.0
4.0,101.0,61.0,76.0,113.0,78.0
?,88.0,?,?,?,?
?,?,87.0,87.0,79.0,?
14.0,148.0,?,?,208.0,119.0
?,?,?,74.0,89.0,?
?,?,103.0,?,?,?
?,76.0,92.0,?,?,71.0
8.0,94.0,?,?,118.0,92.0
8.0,108.0,109.0,?,?,?
6.0,98.0,89.0,?,?,79.0
8.0,?,?,?,?,?
?,?,?,?,143.0,?
6.0,74.0,?,?,89.0,?
?,?,?,?,?,?
8.0,?,128.0,?,128.0,?
?,?,155.0,?,?,?
?,84.0,?,138.0,?,?
?,108.0,?,94.0,99.0,?
?,89.0,108.0,128.0,?,81.0
6.0,103.0,?,?,74.0,?
?,?,109.0,99.0,?,?
8.0,?,?,94.0,?,?
8.0,?,109.0,?,?,?
?,?,?,?,?,?
?,?,143.0,?,?,?
?,?,153.0,?,?,?
?,?,?,?,?,104.0
?,74.0,?,?,59.0,?
?,?,64.0,?,133.0,92.0
?,?,153.0,?,?,99.0
6.0,?,68.0,?,128.0,90.0
?,?,?,?,?,78.0
?,?,59.0,84.0,?,88.0
?,84.0,?,128.0,93.0,?
6.0,?,?,89.0,?,?
?,?,?,99.0,134.0,?
8.0,?,143.0,84.0,?,?
?,?,89.0,?,?,?
?,98.0,104.0,?,?,101.0
8.0,?,?,74.0,74.0,?
8.0,?,?,?,?,?
6.0,?,?,141.0,?,81.0
6.0,?,?,?,?,?
?,?,?,79.0,?,?
?,94.0,133.0,?,125.0,?
?,?,?,?,?,90.0
?,?,?,89.0,?,?
6.0,?,108.0,133.0,98.0,?
6.0,?,84.0,?,?,83.0
8.0,?,?,84.0,?,?
?,?,64.0,?,?,?
?,?,?,?,?,?
?,?,?,?,79.0,?
?,?,?,?,133.0,?
6.0,?,113.0,106.0,87.0,88.0
?,?,104.0,84.0,94.0,?
?,?,?,?,?,99.0
6.0,?,103.0,?,99.0,90.0
?,69.0,?,123.0,?,97.0
8.0,?,?,?,99.0,?
6.0,74.0,?,99.0,?,113.0
?,?,94.0,?,?,?
?,?,?,109.0,114.0,168.0
12.0,?,?,157.0,?,?
?,?,123.0,?,?,?
14.0,99.0,?,?,?,?
?,113.0,148.0,?,?,110.0
?,94.0,163.0,?,?,?
?,133.0,104.0,119.0,?,?
14.0,?,?,?,?,143.0
12.0,74.0,?,?,?,119.0
?,?,124.0,?,?,?
?,?,137.0,148.0,?,?
12.0,123.0,?,139.0,99.0,?
12.0,?,163.0,?,79.0,?
14.0,81.0,?,?,79.0,?
?,?,?,?,?,92.0
?,?,?,?,114.0,?
?,138.0,?,119.0,?,158.0
?,?,122.0,?,109.0,?
?,79.0,?,153.0,?,?
?,?,?,?,?,?
?,?,?,?,?,138.0
?,?,124.0,?,124.0,168.0
?,89.0,128.0,148.0,?,?
12.0,79.0,?,133.0,70.0,113.0
12.0,?,113.0,?,?,?
?,84.0,?,153.0,84.0,116.0
?,?,?,158.0,?,?
