@relation dataset

@attribute sports real
@attribute religious real
@attribute nature real
@attribute theatre real
@attribute shopping real
@attribute picnic real


@data

?,?,79.0,69.0,?,95.0
2.0,?,76.0,?,?,?
?,50.0,97.0,?,50.0,?
?,68.0,77.0,95.0,?,61.0
2.0,98.0,?,59.0,95.0,86.0
?,52.0,109.0,93.0,?,76.0
?,?,85.0,82.0,?,?
3.0,?,107.0,92.0,54.0,?
3.0,64.0,108.0,?,54.0,93.0
3.0,?,?,74.0,74.0,?
?,?,54.0,?,?,?
?,103.0,?,?,?,?
?,64.0,82.0,82.0,?,69.0
?,93.0,?,74.0,?,?
?,?,?,81.0,?,?
?,?,79.0,?,?,?
?,?,131.0,?,?,86.0
5.0,?,124.0,?,?,?
?,85.0,?,?,?,?
?,?,?,65.0,114.0,?
?,?,82.0,?,79.0,90.0
4.0,?,?,?,113.0,?
?,69.0,?,74.0,66.0,?
4.0,?,?,?,59.0,102.0
?,88.0,?,?,79.0,?
?,?,?,89.0,74.0,?
5.0,?,?,?,54.0,?
?,?,53.0,74.0,117.0,?
?,?,?,?,61.0,101.0
?,79.0,93.0,?,?,72.0
?,?,115.0,110.0,?,?
?,69.0,?,?,81.0,79.0
?,?,?,?,?,?
?,?,?,?,71.0,?
?,93.0,84.0,?,?,?
4.0,?,86.0,?,?,73.0
4.0,?,72.0,?,63.0,71.0
5.0,?,?,?,?,?
?,91.0,?,110.0,?,?
?,93.0,79.0,?,?,?
?,?,118.0,108.0,63.0,85.0
5.0,65.0,103.0,90.0,80.0,?
4.0,?,89.0,76.0,?,111.0
4.0,?,?,?,85.0,91.0
?,?,94.0,79.0,79.0,113.0
5.0,?,?,?,53.0,?
4.0,?,?,69.0,119.0,97.0
?,101.0,?,76.0,113.0,?
5.0,88.0,99.0,?,83.0,?
?,?,?,87.0,?,?
?,148.0,59.0,?,?,?
?,?,?,74.0,89.0,93.0
?,?,?,?,?,85.0
?,76.0,?,?,?,?
8.0,94.0,?,?,?,92.0
8.0,?,?,?,?,?
?,98.0,89.0,?,79.0,?
?,?,118.0,102.0,?,?
?,138.0,74.0,?,143.0,?
6.0,?,109.0,103.0,89.0,?
8.0,?,?,94.0,?,?
?,?,?,89.0,?,?
8.0,?,?,118.0,64.0,97.0
6.0,?,?,?,?,?
?,?,?,94.0,99.0,138.0
?,?,108.0,128.0,116.0,81.0
?,103.0,?,?,?,?
6.0,?,109.0,99.0,?,108.0
8.0,?,99.0,94.0,?,138.0
?,108.0,109.0,104.0,?,?
?,138.0,?,84.0,?,?
?,?,?,?,?,?
?,84.0,?,?,?,?
?,?,148.0,?,?,?
?,?,?,118.0,?,99.0
6.0,?,64.0,101.0,?,92.0
?,?,153.0,113.0,59.0,99.0
6.0,123.0,?,?,128.0,90.0
?,?,?,?,?,78.0
?,124.0,59.0,?,143.0,?
?,?,?,?,93.0,?
6.0,?,?,89.0,?,86.0
?,118.0,64.0,99.0,?,?
8.0,?,143.0,?,64.0,118.0
6.0,98.0,89.0,133.0,69.0,?
?,?,104.0,?,?,?
?,?,143.0,?,?,?
?,123.0,?,93.0,148.0,?
6.0,?,113.0,?,?,?
6.0,?,?,?,?,?
?,143.0,?,?,?,?
8.0,94.0,?,84.0,?,97.0
8.0,84.0,?,113.0,?,90.0
?,84.0,?,89.0,?,?
6.0,84.0,108.0,?,98.0,81.0
?,99.0,?,?,69.0,?
8.0,?,?,?,?,128.0
?,?,64.0,?,138.0,?
8.0,?,?,?,64.0,114.0
6.0,?,?,?,79.0,?
8.0,?,84.0,?,?,?
6.0,?,?,?,?,?
8.0,113.0,104.0,84.0,94.0,148.0
6.0,?,?,?,?,?
6.0,?,103.0,?,?,?
8.0,69.0,?,?,71.0,?
8.0,118.0,?,?,99.0,?
?,?,?,?,74.0,?
?,115.0,94.0,163.0,109.0,92.0
?,?,124.0,?,?,?
12.0,?,133.0,157.0,133.0,?
12.0,104.0,123.0,?,?,?
?,?,198.0,89.0,74.0,153.0
?,?,?,99.0,?,?
?,94.0,?,?,?,?
?,133.0,?,?,?,133.0
14.0,?,?,94.0,?,143.0
?,74.0,158.0,?,74.0,?
12.0,?,124.0,?,?,?
?,94.0,137.0,?,?,?
?,?,?,?,99.0,?
?,?,?,99.0,?,143.0
?,81.0,?,?,79.0,?
?,?,?,158.0,?,?
12.0,108.0,?,?,?,100.0
?,138.0,119.0,119.0,124.0,?
?,128.0,?,134.0,109.0,120.0
?,?,203.0,?,?,119.0
12.0,?,?,128.0,104.0,?
?,?,?,?,?,138.0
?,?,124.0,119.0,124.0,168.0
12.0,?,?,148.0,111.0,?
12.0,?,183.0,?,?,113.0
?,96.0,113.0,113.0,?,?
?,84.0,?,?,?,?
?,?,?,?,?,?
?,?,74.0,?,175.0,?
?,?,?,?,?,128.0
12.0,?,?,?,?,?
?,?,123.0,?,?,?
12.0,?,104.0,?,134.0,153.0
?,113.0,?,168.0,?,?
12.0,?,?,94.0,?,119.0
?,?,64.0,?,?,97.0
?,93.0,123.0,123.0,?,100.0
?,?,?,119.0,163.0,?
?,89.0,?,?,?,158.0
10.0,?,111.0,153.0,84.0,?
12.0,138.0,?,114.0,?,102.0
?,?,158.0,?,?,?
?,?,?,?,?,116.0
?,?,168.0,148.0,?,?
?,?,?,?,?,?
12.0,104.0,?,?,?,92.0
?,?,?,?,?,?
12.0,?,128.0,?,?,?
?,?,119.0,?,119.0,?
?,?,178.0,109.0,69.0,143.0
12.0,148.0,?,?,?,?
?,?,?,109.0,?,143.0
?,153.0,74.0,?,163.0,?
?,139.0,163.0,?,?,?
14.0,163.0,?,?,?,?
?,89.0,?,89.0,79.0,153.0
12.0,79.0,183.0,104.0,?,?
12.0,?,69.0,84.0,?,?
22.0,?,158.0,?,158.0,?
22.0,?,?,109.0,?,198.0
16.0,178.0,?,114.0,?,129.0
?,?,139.0,?,139.0,148.0
?,114.0,?,124.0,?,?
?,?,158.0,?,?,?
?,120.0,?,?,?,138.0
20.0,?,193.0,163.0,?,140.0
22.0,148.0,?,?,129.0,?
?,?,?,164.0,?,?
?,?,?,129.0,?,?
22.0,?,?,?,163.0,?
?,?,188.0,163.0,109.0,?
?,163.0,84.0,129.0,193.0,?
18.0,?,178.0,178.0,89.0,140.0
18.0,114.0,?,213.0,?,128.0
?,143.0,124.0,?,?,?
?,188.0,?,104.0,208.0,?
?,?,228.0,?,84.0,?
?,?,94.0,114.0,188.0,?
22.0,?,198.0,?,?,?
20.0,114.0,203.0,109.0,?,?
?,?,?,?,?,?
?,?,?,154.0,?,183.0
?,162.0,?,?,?,?
?,132.0,?,?,119.0,?
18.0,?,?,114.0,99.0,?
?,99.0,?,?,114.0,129.0
?,?,?,154.0,?,183.0
?,114.0,?,104.0,?,?
?,133.0,?,?,?,?
?,?,?,?,?,?
22.0,?,213.0,129.0,?,178.0
22.0,188.0,?,?,?,188.0
?,?,?,129.0,?,?
?,?,?,?,?,124.0
?,184.0,?,?,233.0,?
?,?,193.0,188.0,?,?
?,178.0,?,104.0,183.0,163.0
?,114.0,?,163.0,?,?
?,132.0,?,?,?,?
?,?,?,?,89.0,?
?,?,?,173.0,?,130.0
18.0,153.0,74.0,?,?,?
?,?,?,?,?,?
?,114.0,?,?,99.0,?
?,178.0,?,?,?,?
18.0,?,?,?,?,158.0
