@relation dataset

@attribute vendor {adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,?,256.0,6000.0,256.0,?,?,199.0
amdahl,?,?,?,32.0,8.0,32.0,253.0
amdahl,29.0,?,?,32.0,8.0,?,253.0
?,29.0,8000.0,?,32.0,8.0,?,253.0
amdahl,29.0,?,?,32.0,?,16.0,132.0
amdahl,26.0,?,?,64.0,?,32.0,290.0
amdahl,23.0,16000.0,32000.0,?,16.0,32.0,?
?,?,?,32000.0,64.0,?,32.0,?
?,23.0,?,?,64.0,16.0,?,?
?,23.0,?,64000.0,?,32.0,64.0,?
?,400.0,1000.0,3000.0,0.0,?,2.0,23.0
apollo,400.0,512.0,3500.0,?,?,?,24.0
?,60.0,?,?,?,1.0,8.0,70.0
?,?,4000.0,?,65.0,?,?,?
bti,?,?,?,?,?,4.0,?
?,200.0,512.0,16000.0,?,?,?,?
burroughs,?,?,?,8.0,?,?,23.0
burroughs,?,?,5000.0,?,?,?,29.0
burroughs,?,?,2000.0,0.0,?,?,?
burroughs,110.0,5000.0,?,?,8.0,?,124.0
?,?,?,?,0.0,?,?,?
burroughs,?,3100.0,6200.0,?,?,20.0,?
burroughs,?,2300.0,6200.0,0.0,6.0,?,?
?,?,?,?,0.0,6.0,?,45.0
?,?,?,?,0.0,?,?,?
?,?,?,?,?,?,3.0,?
?,320.0,?,?,?,1.0,6.0,?
?,?,?,?,?,?,?,?
?,?,512.0,5000.0,4.0,1.0,?,?
?,?,256.0,5000.0,?,1.0,6.0,?
?,25.0,?,?,?,12.0,?,?
?,?,?,?,?,?,24.0,102.0
?,?,2620.0,10480.0,?,?,?,?
cdc,?,2620.0,10480.0,?,?,24.0,?
cdc,56.0,?,20970.0,?,?,24.0,?
?,?,5240.0,?,?,?,24.0,136.0
?,?,?,?,8.0,1.0,4.0,23.0
cdc,?,1000.0,4000.0,8.0,1.0,?,?
?,?,2000.0,8000.0,?,1.0,?,44.0
cambex,50.0,?,?,?,3.0,?,30.0
?,?,?,?,?,?,?,41.0
cambex,?,?,?,?,?,5.0,?
?,50.0,?,?,8.0,3.0,?,?
cambex,?,?,16000.0,8.0,?,6.0,?
?,?,?,?,?,?,?,?
?,133.0,?,8000.0,9.0,?,?,41.0
?,?,?,512.0,?,1.0,?,?
?,810.0,1000.0,5000.0,?,?,?,?
?,?,512.0,?,?,?,?,36.0
dec,?,512.0,?,8.0,?,8.0,?
dg,?,?,?,0.0,1.0,1.0,?
dg,700.0,?,?,0.0,1.0,1.0,19.0
?,140.0,?,16000.0,?,1.0,?,72.0
?,?,?,8000.0,0.0,1.0,2.0,?
?,110.0,?,4000.0,?,?,?,?
?,?,1000.0,12000.0,16.0,1.0,?,?
?,?,?,?,?,?,?,?
formation,800.0,256.0,8000.0,0.0,?,4.0,?
?,?,?,?,?,?,?,?
