@relation dataset

@attribute vendor {adviser, amdahl, apollo, basf, bti, burroughs, c.r.d, cdc, cambex, dec, dg, formation, four-phase, gould, hp, harris, honeywell, ibm, ipl, magnuson, microdata, nas, ncr, nixdorf, perkin-elmer, prime, siemens, sperry, sratus, wang}
@attribute MYCT real
@attribute MMIN real
@attribute MMAX real
@attribute CACH real
@attribute CHMIN real
@attribute CHMAX real
@attribute erp real


@data

?,125.0,256.0,6000.0,256.0,16.0,128.0,199.0
?,?,8000.0,32000.0,32.0,?,32.0,?
?,?,?,32000.0,32.0,?,32.0,?
?,29.0,?,?,32.0,8.0,32.0,253.0
?,?,?,?,?,8.0,?,132.0
?,26.0,8000.0,?,?,8.0,?,290.0
amdahl,?,?,?,64.0,16.0,?,381.0
?,23.0,16000.0,32000.0,?,?,?,?
amdahl,23.0,16000.0,?,?,16.0,32.0,?
?,?,32000.0,?,128.0,32.0,?,?
?,400.0,1000.0,?,?,?,?,23.0
?,400.0,?,?,?,?,?,?
?,?,?,?,?,?,8.0,70.0
basf,?,?,?,?,1.0,?,117.0
?,350.0,?,64.0,0.0,1.0,4.0,?
bti,?,?,?,0.0,4.0,?,64.0
?,?,524.0,?,?,?,15.0,?
?,143.0,?,5000.0,0.0,7.0,32.0,?
?,143.0,1000.0,2000.0,0.0,?,?,?
?,?,?,?,?,?,?,124.0
burroughs,?,?,?,0.0,?,?,?
?,?,3100.0,6200.0,?,5.0,?,?
burroughs,?,?,6200.0,0.0,?,?,?
?,?,?,6200.0,?,?,?,?
c.r.d,320.0,?,?,?,1.0,?,28.0
c.r.d,?,512.0,?,4.0,1.0,?,21.0
?,?,256.0,6000.0,?,?,6.0,?
c.r.d,320.0,256.0,3000.0,4.0,?,3.0,22.0
?,320.0,512.0,5000.0,?,?,?,?
?,?,256.0,5000.0,?,1.0,6.0,27.0
cdc,?,?,?,?,12.0,24.0,?
cdc,25.0,1310.0,?,?,?,?,?
cdc,?,2620.0,?,?,?,?,?
?,50.0,2620.0,10480.0,?,12.0,24.0,?
?,56.0,?,20970.0,?,12.0,24.0,138.0
cdc,?,5240.0,?,?,?,?,?
?,?,?,?,8.0,?,?,?
?,?,?,?,?,1.0,?,?
?,50.0,?,8000.0,?,?,?,?
?,50.0,1000.0,?,?,?,?,30.0
?,50.0,1000.0,?,?,?,?,41.0
?,?,2000.0,16000.0,?,?,?,74.0
?,50.0,?,16000.0,8.0,?,?,74.0
