@relation dataset

@attribute stg real
@attribute scg real
@attribute str real
@attribute lpr real
@attribute peg real
@attribute class {High, Low, Middle, very_low}


@data

0.0,?,?,0.0,0.0,?
0.08,0.08,0.1,?,0.9,?
0.06,?,0.05,0.25,?,?
?,0.1,0.15,?,?,?
0.08,0.08,0.08,0.98,?,?
0.09,0.15,0.4,0.1,0.66,Middle
0.1,0.1,0.43,?,0.56,?
?,0.02,?,0.4,?,very_low
?,?,0.35,0.72,?,Low
?,?,0.5,?,0.85,?
?,?,0.55,0.3,0.81,?
?,?,?,0.41,?,Low
0.1,0.1,?,0.78,?,?
?,?,?,?,0.9,?
?,?,?,?,?,?
?,0.12,?,?,?,?
0.05,?,0.7,0.01,?,?
0.1,0.25,0.1,?,0.33,?
?,?,0.05,0.27,?,?
?,?,?,?,?,?
0.12,?,?,?,?,?
0.18,?,?,?,?,?
?,?,?,?,0.65,?
0.18,0.31,?,0.42,0.28,?
?,0.29,?,?,?,Low
?,0.3,?,?,0.85,High
0.04,0.28,?,?,?,?
0.09,0.255,0.6,0.45,0.25,?
?,0.325,?,?,?,High
?,?,0.8,?,?,High
?,?,?,?,?,Middle
?,0.295,?,?,?,?
?,0.256,?,?,?,?
?,0.32,?,0.19,0.82,?
?,0.45,0.28,0.31,?,High
?,0.35,?,?,?,?
0.1,?,?,0.72,?,?
0.18,?,?,0.08,?,?
0.09,?,?,0.26,?,very_low
?,0.38,0.38,0.49,0.45,Middle
0.02,0.33,?,?,?,?
0.2,0.49,?,0.2,?,?
0.14,?,?,0.29,0.6,Middle
?,0.33,?,?,?,?
0.115,0.35,?,?,0.04,?
0.17,0.36,?,?,?,?
?,?,?,?,0.62,?
?,?,0.85,?,?,?
0.18,?,?,?,?,High
0.09,0.51,?,0.18,0.67,?
0.06,0.5,0.09,0.28,0.25,?
0.23,0.7,?,?,?,Middle
?,0.55,?,?,0.05,Low
0.24,?,?,0.18,0.86,?
0.18,?,?,?,0.55,Middle
0.1,0.6,?,0.42,?,?
0.2,0.52,?,0.84,?,?
0.09,?,0.66,0.19,?,Middle
?,0.51,?,?,0.82,?
0.08,0.58,?,?,?,?
?,?,0.53,?,0.01,Low
